État	Solde	No de compte	Code de CP	Téléphone 1	Nom long	Dernier contact	Date de naissance	Assignée à	Nom
Ouvert	"35 682,15"	800062-OB	AC42	(450) 555-5792	AMALIE ISSENMAN		1970-12-12 0:00		ISSENMAN AMALIE
Ouvert	"35 615,77"	800248-OB	BD88	(450) 555-1478	BERANGERE TABAK		1968-09-07 0:00		TABAK BERANGERE
Ouvert	"35 612,52"	800048-FS	AC55	(450) 555-5398	ALOURDES KADOTA		1968-02-03 0:00		KADOTA ALOURDES
Ouvert	"33 962,21"	800280-RE	AC43	1234567890	BENEZETTE GALLEY		1975-06-15 0:00		GALLEY BENEZETTE
Ouvert	"33 570,89"	800027-FS	AC44	(450) 555-4476	//1 PAUL Mid1 CHENIER hon1		1950-01-10 0:00		CHENIER PAUL
Ouvert	"32 554,52"	800002-NA	AC42	(450) 555-7727	AUGUSTUS BEANLAND		1948-09-12 0:00		BEANLAND AUGUSTU
Ouvert	"31 174,81"	800013-NA	AC55	(450) 555-2336	BERNARDIN LANDRY		1950-01-10 0:00		LANDRY BERNARDIN
Ouvert	"28 573,36"	800204-NA	BD66	(450) 555-8255	AYUKO ZIMMERMANN		1975-06-18 0:00		ZIMMERMANN AYUKO
Ouvert	"25 494,83"	800291-GT	AC42	(416) 668-5656	Mr. JACOB BLACK		1960-10-09 0:00		BLACK JACOB
Ouvert	"23 310,50"	800267-RE	AC43	(450) 555-5552	ALOIS GATES		1947-07-28 0:00		GATES ALOIS
Ouvert	"21 697,85"	800224-RE	AC42	(450) 555-5501	ALFONSO MCGRATH		1965-03-07 0:00		MCGRATH ALFONSO
Ouvert	"21 517,30"	800034-FS	AC42	(450) 555-9271	BANQUE NATIONALE DU CANADA REF PRIVATE 999A		1900-01-01 0:00		NATIONALE DU CAN
Ouvert	"19 427,63"	800223-RE	BD88	123 456 7890	//2 ALISSA Mid2 BIHOUR hon2		1965-03-07 0:00		BIHOUR ALISSA
Ouvert	"19 163,08"	800043-RE	AC42	4507742741	FIDUCIE TESTAMENTAIRE FAMILIALE ADRESSE OLEKSIEW		1900-01-01 0:00		FIDUCIE TESTAMEN
Ouvert	"18 916,76"	800229-FS	0AED		BALLANTY MALISKA		1965-03-07 0:00		MALISKA BALLANT
Ouvert	"18 819,75"	800215-NA	AC43		BERNADETTE&BERNARD		1936-10-10 0:00		BERNARD&BERNADET
Ouvert	"18 218,90"	800288-FS	BD66		ARNAST DEMERCHANT		1964-04-09 0:00		DEMERCHANT ARNAS
Ouvert	"17 336,80"	800204-FS	BD66	(450) 555-8255	AYUKO ZIMMERMANN		1975-06-18 0:00		ZIMMERMANN AYUKO
Ouvert	"17 066,41"	800031-FS	AC42	4185432287	NOUNOU		1953-02-17 0:00		NOUNOU
Ouvert	"16 845,54"	800054-FS	BD88		Business5		1900-01-01 0:00		Business5
Ouvert	"16 048,24"	800040-RE	AC55	5148075821	1234567 CANADA INC.		1900-01-01 0:00		1234567 CANADA I
Ouvert	"16 028,35"	800256-NA	AC42	(450) 555-9118	ADMAX ORLEAN		1981-08-12 0:00		ORLEAN ADMAX
Ouvert	"15 972,50"	800278-RE	AC42	123 456 1111	CIARAN TREN123		1975-06-15 0:00		TREN123 CIARAN
