"État"	"Solde"	"No de compte"	"Nom"	"Code de CP"	"Téléphone 1"	"Devise"	"Assignée à"
"Ouvert"	"57 280,12"	"800036-GT"	"LA FABRIQUE DE L"	"AC44"	"4502638715F"	"CAD"	""
"Ouvert"	"55 541,99"	"800013-OB"	"LANDRY BERNARDIN"	"AC55"	"(450) 555-2336"	"CAD"	""
"Ouvert"	"46 832,77"	"800001-OB"	"HEFFELFINGER ALA"	"AC42"	"(450) 555-6794"	"USD"	""
"Ouvert"	"39 718,57"	"800212-FS"	"SERGE ALICK"	"BD88"	"(450) 555-1057"	"CAD"	""
"Ouvert"	"35 969,79"	"800283-HU"	"BREESE ALAIN"	"BD88"	""	"CAD"	""
"Ouvert"	"35 682,15"	"800062-OB"	"ISSENMAN AMALIE"	"AC42"	"(450) 555-5792"	"USD"	""
"Ouvert"	"35 615,77"	"800248-OB"	"TABAK BERANGERE"	"BD88"	"(450) 555-1478"	"USD"	""
"Ouvert"	"35 612,52"	"800048-FS"	"KADOTA ALOURDES"	"AC55"	"(450) 555-5398"	"CAD"	""
"Ouvert"	"33 962,21"	"800280-RE"	"GALLEY BENEZETTE"	"AC43"	"1234567890"	"CAD"	""
"Ouvert"	"33 570,89"	"800027-FS"	"CHENIER PAUL"	"AC44"	"(450) 555-4476"	"CAD"	""
"Ouvert"	"32 554,52"	"800002-NA"	"BEANLAND AUGUSTU"	"AC42"	"(450) 555-7727"	"CAD"	""
"Ouvert"	"31 174,81"	"800013-NA"	"LANDRY BERNARDIN"	"AC55"	"(450) 555-2336"	"USD"	""
"Ouvert"	"28 573,36"	"800204-NA"	"ZIMMERMANN AYUKO"	"BD66"	"(450) 555-8255"	"CAD"	""
"Ouvert"	"25 494,83"	"800291-GT"	"BLACK JACOB"	"AC42"	"(416) 668-5656"	"CAD"	""
"Ouvert"	"23 310,50"	"800267-RE"	"GATES ALOIS"	"AC43"	"(450) 555-5552"	"CAD"	""
"Ouvert"	"21 697,85"	"800224-RE"	"MCGRATH ALFONSO"	"AC42"	"(450) 555-5501"	"CAD"	""
"Ouvert"	"21 517,30"	"800034-FS"	"NATIONALE DU CAN"	"AC42"	"(450) 555-9271"	"CAD"	""
"Ouvert"	"19 427,63"	"800223-RE"	"BIHOUR ALISSA"	"BD88"	"123 456 7890"	"CAD"	""
"Ouvert"	"19 163,08"	"800043-RE"	"FIDUCIE TESTAMEN"	"AC42"	"4507742741"	"CAD"	""
"Ouvert"	"18 916,76"	"800229-FS"	"MALISKA BALLANT"	"0AED"	""	"CAD"	""
"Ouvert"	"18 819,75"	"800215-NA"	"BERNARD&BERNADET"	"AC43"	""	"CAD"	""
"Ouvert"	"18 218,90"	"800288-FS"	"DEMERCHANT ARNAS"	"BD66"	""	"CAD"	""
"Ouvert"	"17 336,80"	"800204-FS"	"ZIMMERMANN AYUKO"	"BD66"	"(450) 555-8255"	"CAD"	""
"Ouvert"	"17 066,41"	"800031-FS"	"NOUNOU"	"AC42"	"4185432287"	"CAD"	""
"Ouvert"	"16 845,54"	"800054-FS"	"Business5"	"BD88"	""	"CAD"	""
"Ouvert"	"16 048,24"	"800040-RE"	"1234567 CANADA I"	"AC55"	"5148075821"	"CAD"	""
"Ouvert"	"16 028,35"	"800256-NA"	"ORLEAN ADMAX"	"AC42"	"(450) 555-9118"	"CAD"	""
"Ouvert"	"15 972,50"	"800278-RE"	"TREN123 CIARAN"	"AC42"	"123 456 1111"	"CAD"	""
