"Status"	"Balance"	"Account No."	"Name"	"IA Code"	"Telephone 1"	"Currency"	"Last Contact"	"Full Name"	"Date of Birth"	"Assigned to"
"Open"	"82,550.22"	"800072-SF"	"CATANI BRAY"	"AC42"	"(450) 555-2128"	"USD"	""	"BRAY CATANI"	"1953-02-11 12:00:00 AM"	""
"Open"	"74,399.78"	"800082-RE"	"NEVINS BENNETT"	"BD88"	"(450) 555-1298"	"CAD"	""	"BENNETT NEVINS"	"1975-06-18 12:00:00 AM"	""
"Open"	"69,818.98"	"800075-RE"	"BORTOLUS BRITES"	"BD88"	"(450) 555-3387"	"CAD"	""	"BRITES BORTOLUS"	"1975-06-18 12:00:00 AM"	""
"Open"	"63,736.98"	"800060-OB"	"GRUEN CHANTAL"	"AC42"	"(450) 555-7403"	"USD"	""	"CHANTAL GRUEN"	"1970-12-12 12:00:00 AM"	""
"Open"	"57,981.48"	"800217-SF"	"ADLER BRUCE"	"AC43"	"(450) 555-7061"	"USD"	""	"BRUCE ADLER"	"1965-03-07 12:00:00 AM"	""
"Open"	"57,280.12"	"800036-GT"	"JACOBSON BEVERAL"	"AC44"	"(450) 555-9221"	"CAD"	""	"BEVERALY JACOBSON"	"1967-04-23 12:00:00 AM"	""
"Open"	"55,541.99"	"800013-OB"	"LANDRY BERNARDIN"	"AC55"	"(450) 555-2336"	"CAD"	""	"BERNARDIN LANDRY"	"1950-01-10 12:00:00 AM"	""
"Open"	"49,897.57"	"300008-NA"	"VALIDATIONS CALC"	"BD88"	"(450) 555-4444"	"CAD"	""	"VALIDATIONS CALCULS"	"1980-01-01 12:00:00 AM"	""
"Open"	"49,897.57"	"300005-NA"	"CALCULS ESCOMPTE"	"BD88"	"(450) 555-4444"	"CAD"	""	"CALCULS ESCOMPTES"	"1980-01-01 12:00:00 AM"	""
"Open"	"46,832.77"	"800001-OB"	"HEFFELFINGER ALA"	"AC42"	"(450) 555-6794"	"USD"	""	"ALAIN HEFFELFINGER"	"1948-09-12 12:00:00 AM"	""
"Open"	"39,718.57"	"800212-FS"	"SERGE ALICK"	"BD88"	"(450) 555-3598"	"CAD"	""	"ALICK SERGE"	"1936-10-10 12:00:00 AM"	"Nicolas Copernic"
"Open"	"35,969.79"	"800283-HU"	"BREESE ALAIN"	"BD88"	"(450) 555-1106"	"CAD"	""	"ALAIN BREESE"	"1975-06-15 12:00:00 AM"	""
"Open"	"35,682.15"	"800062-OB"	"ISSENMAN AMALIE"	"AC42"	"(450) 555-5792"	"USD"	""	"AMALIE ISSENMAN"	"1970-12-12 12:00:00 AM"	""
"Open"	"35,615.77"	"800248-OB"	"TABAK BERANGERE"	"BD88"	"(450) 555-1478"	"USD"	""	"BERANGERE TABAK"	"1968-09-07 12:00:00 AM"	""
"Open"	"35,612.52"	"800048-FS"	"KADOTA ALOURDES"	"AC55"	"(450) 555-5398"	"CAD"	""	"ALOURDES KADOTA"	"1968-02-03 12:00:00 AM"	""
"Open"	"33,962.21"	"800280-RE"	"GALLEY BENEZETTE"	"AC43"	"(450) 555-3727"	"CAD"	""	"BENEZETTE GALLEY"	"1975-06-15 12:00:00 AM"	""
"Open"	"33,570.89"	"800027-FS"	"CHENIER PAUL"	"AC44"	"(450) 555-4476"	"CAD"	""	"PAUL CHENIER"	"1950-01-10 12:00:00 AM"	""
"Open"	"32,554.52"	"800002-NA"	"BEANLAND AUGUSTU"	"AC42"	"(450) 555-7727"	"CAD"	""	"AUGUSTUS BEANLAND"	"1948-09-12 12:00:00 AM"	""
"Open"	"31,174.81"	"800013-NA"	"LANDRY BERNARDIN"	"AC55"	"(450) 555-2336"	"USD"	""	"BERNARDIN LANDRY"	"1950-01-10 12:00:00 AM"	""
"Open"	"28,573.36"	"800204-NA"	"ZIMMERMANN AYUKO"	"BD66"	"(450) 555-8255"	"CAD"	""	"AYUKO ZIMMERMANN"	"1975-06-18 12:00:00 AM"	""
"Open"	"26,710.77"	"300014-NA"	"VALIDATION CR"	"BD88"	"(450) 555-4444"	"CAD"	""	"VALIDATION CR"	"1980-01-01 12:00:00 AM"	""
"Open"	"25,494.83"	"800291-GT"	"BLACK JACOB"	"AC42"	"(416) 668-5656"	"CAD"	""	"JACOB BLACK"	"1960-10-09 12:00:00 AM"	""
