"Name"	"Account No."	"IA Code"	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Margin"	"Total Value"
"BORTOLUS BRITES"	"800075-SF"	"BD88"	"E - Margin Long"	""	"(450) 555-3387"	"(450) 555-3798"	"85.00"	"USD"	"0.00"	"280,999.00"
"BOWMAN BARBEL"	"800034-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-9271"	"(450) 555-2623"	"21,517.30"	"CAD"	"n/a"	"131,493.44"
"BOWMAN BARBEL"	"800034-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-9271"	"(450) 555-2623"	"5,108.90"	"CAD"	"n/a"	"9,264.10"
"BOWMAN BARBEL"	"800034-LV"	"AC42"	"N -"	""	"(450) 555-9271"	"(450) 555-2623"	"16.20"	"CAD"	"n/a"	"2,267.81"
"BOWMAN BARBEL"	"800034-NA"	"AC42"	"A - Cash"	""	"(450) 555-9271"	"(450) 555-2623"	"0.00"	"CAD"	"n/a"	"0.00"
"BOWMAN BARBEL"	"800034-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-9271"	"(450) 555-2623"	"2,033.48"	"CAD"	"0.00"	"77,970.29"
"BRABANTB BERVERL"	"800225-NA"	"BD66"	"A - Cash"	""	"(450) 555-5808"	"(450) 555-3177"	"0.00"	"CAD"	"n/a"	"0.00"
"BRABANTB BERVERL"	"800225-OB"	"BD66"	"A - Cash"	""	"(450) 555-5808"	"(450) 555-3177"	"0.00"	"USD"	"n/a"	"0.00"
"BRABANTB BERVERL"	"800225-RE"	"BD66"	"E - Margin Long"	""	"(450) 555-5808"	"(450) 555-3177"	"(1,345.57)"	"CAD"	"0.00"	"785,951.96"
"BRABANTB BERVERL"	"800225-SF"	"BD66"	"E - Margin Long"	""	"(450) 555-5808"	"(450) 555-3177"	"3,497.46"	"USD"	"0.00"	"109,439.18"
"BRACKHAUS BRAD"	"800028-JJ"	"AC44"	"J -"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	"n/a"	"0.00"
"BRACKHAUS BRAD"	"800028-NA"	"AC44"	"A - Cash"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	"n/a"	"0.00"
"BRACKHAUS BRAD"	"800028-OB"	"AC44"	"A - Cash"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"USD"	"n/a"	"0.00"
"BRASSERIE STAN"	"800275-NA"	"BD77"	"A - Cash"	""	"(450) 555-1983"	"(450) 555-4522"	"0.00"	"CAD"	"n/a"	"0.00"
"BREESE ALAIN"	"800282-NA"	"BD66"	"A - Cash"	""	"(450) 555-9334"	"(450) 555-9512"	"0.00"	"CAD"	"n/a"	"0.00"
"BREESE ALAIN"	"800283-HU"	"BD88"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"(450) 555-1106"	"(450) 555-8881"	"35,969.79"	"CAD"	"n/a"	"35,969.79"
"BREESE ALAIN"	"800283-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-1106"	"(450) 555-8881"	"0.00"	"CAD"	"0.00"	"0.00"
"BRODEUR MARTIN"	"800017-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-9114"	"(450) 555-8987"	"4,953.12"	"CAD"	"n/a"	"184,401.01"
"BRODEUR MARTIN"	"800017-NA"	"AC42"	"A - Cash"	""	"(450) 555-9114"	"(450) 555-8987"	"3,220.57"	"CAD"	"n/a"	"8,742.57"
"BROGAN CLARENCE"	"800081-HU"	"BD66"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"(450) 555-6934"	"(450) 555-0534"	"0.00"	"CAD"	"n/a"	"0.00"
"BROGAN CLARENCE"	"800081-LY"	"BD66"	"Y - Life Annuity"	""	"(450) 555-6934"	"(450) 555-0534"	"1,958.90"	"CAD"	"n/a"	"150,646.01"
"BROGAN CLARENCE"	"800081-RE"	"BD66"	"E - Margin Long"	""	"(450) 555-6934"	"(450) 555-0534"	"799.58"	"CAD"	"0.00"	"281,499.23"
"BUCHER BRASSEURS"	"800057-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-7203"	"(450) 555-8729"	"4,837.12"	"CAD"	"n/a"	"312,917.80"
"BUCHER BRASSEURS"	"800057-NA"	"AC42"	"A - Cash"	""	"(450) 555-7203"	"(450) 555-8729"	"0.00"	"CAD"	"n/a"	"0.00"
"BUCHER BRASSEURS"	"800057-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-7203"	"(450) 555-8729"	"848.50"	"CAD"	"0.00"	"113,118.37"
"BULLETIN ACURA"	"800259-FS"	"AC43"	"S - Retirement Savings Plan"	""	"(450) 555-8616"	"(450) 555-9526"	"0.00"	"CAD"	"n/a"	"0.00"
"BULLETIN ACURA"	"800259-GT"	"AC43"	"T - Retirement Income Funds"	""	"(450) 555-8616"	"(450) 555-9526"	"218.03"	"CAD"	"n/a"	"534,864.72"
"BULLETIN ACURA"	"800259-JW"	"AC43"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8616"	"(450) 555-9526"	"5,000.00"	"CAD"	"n/a"	"5,000.00"
"BULLETIN ACURA"	"800259-NA"	"AC43"	"A - Cash"	""	"(450) 555-8616"	"(450) 555-9526"	"1,607.97"	"CAD"	"n/a"	"227,801.12"
"BURDETT ALAIN"	"800281-NA"	"BD66"	"A - Cash"	""	"(450) 555-9313"	"(450) 555-9586"	"924.94"	"CAD"	"n/a"	"477,289.15"
"CALCUL SCORE"	"800303-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	"n/a"	"0.00"
"CALCULS ESCOMPTE"	"300005-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"49,897.57"	"CAD"	"n/a"	"149,654.06"
"CALCULS GAINS/PE"	"300010-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"268,778.65"	"CAD"	"n/a"	"516,371.02"
"CALCULS GAINS/PE"	"300010-OB"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"273,850.16"	"USD"	"n/a"	"482,877.78"
"CALCULS USD"	"300006-OB"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"17,804.38"	"USD"	"n/a"	"195,776.65"
"CALDER CARILYNE"	"800274-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-8856"	"(450) 555-8077"	"1,436.85"	"CAD"	"n/a"	"60,482.00"
"CALDER CARILYNE"	"800274-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-8856"	"(450) 555-8077"	"0.00"	"CAD"	"0.00"	"0.00"
"CANESSO BEATRICE"	"800258-GT"	"AC42"	"T - Retirement Income Funds"	""	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	"n/a"	"0.00"
"CANESSO BEATRICE"	"800258-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	"0.00"	"0.00"
"CAPEK ADRIANA"	"800059-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-3924"	"(450) 555-6516"	"5,393.06"	"CAD"	"n/a"	"1,028,680.13"
"CAPEK ADRIANA"	"800059-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-3924"	"(450) 555-6516"	"0.00"	"CAD"	"n/a"	"5,205.15"
"CAPEK ADRIANA"	"800059-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-3924"	"(450) 555-6516"	"(20.01)"	"CAD"	"0.00"	"687,757.79"
"CAPEK ADRIANA"	"800059-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-3924"	"(450) 555-6516"	"0.00"	"USD"	"0.00"	"79,244.77"
"CASTLE ARDEN"	"800284-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-9890"	"(450) 555-4077"	"505.40"	"CAD"	"n/a"	"40,172.61"
"CASTLE ARDEN"	"800284-HU"	"BD66"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"(450) 555-9890"	"(450) 555-4077"	"0.00"	"CAD"	"n/a"	"0.00"
"CASTLE ARDEN"	"800284-NA"	"BD66"	"A - Cash"	""	"(450) 555-9890"	"(450) 555-4077"	"0.00"	"CAD"	"n/a"	"0.00"
"CASTLE ARDEN"	"800284-OB"	"BD66"	"A - Cash"	""	"(450) 555-9890"	"(450) 555-4077"	"0.00"	"USD"	"n/a"	"0.00"
"CATANI BRAY"	"800072-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-2128"	"(450) 555-7689"	"(1,208.31)"	"CAD"	"0.00"	"482,322.17"
"CATANI BRAY"	"800072-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-2128"	"(450) 555-7689"	"82,550.22"	"USD"	"0.00"	"161,496.22"
"CELLARD AMIR"	"800200-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-9360"	"(450) 555-5958"	"6,043.91"	"CAD"	"n/a"	"151,145.91"
"CELLARD AMIR"	"800200-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-9360"	"(450) 555-5958"	"18.14"	"CAD"	"0.00"	"19.51"
"CHADILLON ANNEKE"	"800007-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-0404"	"(450) 555-5460"	"320.91"	"CAD"	"n/a"	"521,426.42"
"CHADILLON ANNEKE"	"800007-NA"	"AC42"	"A - Cash"	""	"(450) 555-0404"	"(450) 555-5460"	"(811.54)"	"CAD"	"n/a"	"1,232,286.40"
"CHADILLON ANNEKE"	"800008-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-0404"	"(450) 555-5460"	"0.00"	"CAD"	"n/a"	"0.00"
"CHADILLON ANNEKE"	"800008-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-0404"	"(450) 555-5460"	"106.19"	"CAD"	"n/a"	"5,570.67"
"CHADILLON ANNEKE"	"800008-NA"	"AC42"	"A - Cash"	""	"(450) 555-0404"	"(450) 555-5460"	"5,943.20"	"CAD"	"n/a"	"383,990.09"
"CHADILLON ANNEKE"	"800008-OB"	"AC42"	"A - Cash"	""	"(450) 555-0404"	"(450) 555-5460"	"233,938.96"	"USD"	"n/a"	"790,406.89"
"CHAMPS TRF"	"600001-NA"	"BD88"	"A - Cash"	""	""	""	"0.00"	"CAD"	"n/a"	"0.00"
"CHAMPS TRF"	"600001-RE"	"BD88"	"E - Margin Long"	""	""	""	"0.00"	"CAD"	"0.00"	"0.00"
"CHAMPS TRF VIDE"	"600002-NA"	"BD88"	"A - Cash"	""	""	""	"0.00"	"CAD"	"n/a"	"0.00"
"CHAMPS TRF VIDE"	"600003-NA"	"BD88"	"A - Cash"	""	""	""	"0.00"	"CAD"	"n/a"	"0.00"
"CHAMPS TRF VIDE"	"600004-NA"	"BD88"	"A - Cash"	""	""	""	"0.00"	"CAD"	"n/a"	"0.00"
