"Is Joint"	"Client No."	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Tel type 4"	"Tel type 3"	"Tel type 2"	"Tel type 1"	"Status"	"Segmentation"	"Model Number"	"Model Name"	"Management Level"	"Language"	"Full Name"	"Email 3"	"Email 2"	"Email 1"	"Date of Birth"	"Communication"	"Client Relationship No."	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"	"Name"
"No"	"800002"	"(450) 555-7727"	"(450) 555-1322"	"276,793.46"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"AUGUSTUS BEANLAND"	""	""	"BING.ALLIE@yahoo.com"	"09/12/1948"	""	""	"0.00"	""	"(450) 555-2299"	""	"2,526,078.05"	"BEANLAND AUGUSTU"
"No"	"800238"	"(450) 555-5907"	"(450) 555-1414"	"17,044.37"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"RAYMOND BEAUCHEMIN"	""	""	"CARTERS.CHOUINIERE@videotron.ca"	"10/11/1959"	""	""	"0.00"	""	"(450) 555-2860"	""	"1,563,718.37"	"BEAUCH RAYMOND"
"No"	"800202"	"(450) 555-3088"	"(450) 555-1218"	"8,192.46"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ANGELA BELLEROSE"	""	""	"CHARTRAND.BROUILLARD@videotron.ca"	"06/18/1975"	""	""	"n/a"	""	"(450) 555-9588"	""	"95,601.37"	"BELLEROSE ANGELA"
"No"	"800058"	"(450) 555-4422"	"(450) 555-6940"	"13,292.29"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"CARILYNE BELLINI"	""	""	"BINNEY.BIGNUCOLO@videotron.ca"	"12/12/1970"	""	""	"0.00"	""	"(450) 555-6078"	""	"397,986.16"	"BELLINI CARILYNE"
"No"	"800231"	"(450) 555-2263"	"(450) 555-8913"	"(19,622.61)"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"FABRICE BELLEROSE BELVAN"	""	""	"ALUN.CHAPMAN@usa.net"	"10/11/1959"	""	""	"n/a"	""	"(450) 555-8880"	""	"1,342,223.01"	"BELVAN BELLEROSE"
"No"	"800219"	"(450) 555-0398"	"(450) 555-7757"	"477.20"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ARSENE BIANCHI"	""	""	"CATHRINE.CARDEIRO@videotron.ca"	"03/07/1965"	""	""	"n/a"	""	"(450) 555-4364"	""	"6,173.80"	"BIANCHI ARSENE"
"No"	"800223"	"(450) 555-2932"	"(450) 555-6137"	"20,476.53"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ALISSA BIHOUR"	""	""	"AUREL.CASSIR@yahoo.com"	"03/07/1965"	""	""	"0.00"	""	"(450) 555-2693"	""	"984,496.19"	"BIHOUR ALISSA"
"No"	"800291"	"(416) 668-5656"	"(416) 668-0909"	"26,185.62"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"JACOB BLACK"	""	""	"JACOB.BLACK@caramail.com"	"10/09/1960"	""	""	"0.00"	""	"(416) 668-0909"	""	"101,777.40"	"BLACK JACOB"
"No"	"800255"	"(450) 555-2250"	"(450) 555-9406"	"13,683.24"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CARMEN BLANCHARD"	""	""	"BIBIANNE.FAGGIONI@yahoo.com"	"08/12/1981"	""	""	"0.00"	""	"(450) 555-1419"	""	"438,356.26"	"BLANCHARD CARMEN"
"No"	"800207"	"(450) 555-7052"	"(450) 555-7611"	"12,955.51"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BLUMARMIDON BLOOMFIELD"	""	""	"BEDARD.BUFFONE@yahoo.com"	"06/18/1975"	""	""	"0.00"	""	"(450) 555-5513"	""	"1,293,450.27"	"BLOOMFIELD BLUMA"
"No"	"800055"	"(450) 555-8078"	"(450) 555-6495"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"FRANCOIS BOMBARDIER"	""	""	"AINSLIE.BERTUCCINI@usa.net"	"12/12/1970"	""	""	"n/a"	""	"(450) 555-9282"	""	"161,676.52"	"BOMBARDIER FRAN"
"No"	"800075"	"(450) 555-3387"	"(450) 555-3798"	"74,139.89"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BRITES BORTOLUS"	""	""	"AUDREY.BORTOLUS@hotmail.com"	"06/18/1975"	""	""	"0.00"	""	"(450) 555-4395"	""	"1,766,644.10"	"BORTOLUS BRITES"
"No"	"800034"	"(450) 555-9271"	"(450) 555-2623"	"28,675.88"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BARBEL BOWMAN"	""	""	"BLAINE.BARTLEY@yahoo.com"	"07/22/1936"	""	""	"0.00"	""	"(450) 555-8693"	""	"220,995.64"	"BOWMAN BARBEL"
"No"	"800225"	"(450) 555-5808"	"(450) 555-3177"	"2,356.49"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"BERVERLY BRABANTB"	""	""	"BERYL.CATY@yahoo.com"	"03/07/1965"	""	""	"0.00"	""	"(450) 555-2074"	""	"901,793.33"	"BRABANTB BERVERL"
"No"	"800028"	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BRAD BRACKHAUS"	""	""	"BANQUE.HILLIER@yahoo.com"	"07/22/1936"	""	""	"n/a"	""	"(450) 555-0388"	""	"0.00"	"BRACKHAUS BRAD"
"No"	"800275"	"(450) 555-1983"	"(450) 555-4522"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BRASSERIE CHEZ STAN ENR."	""	""	"CARLOS.COURTNALL@caramail.com"	"06/15/1975"	""	""	"n/a"	""	"(450) 555-1950"	""	"0.00"	"BRASSERIE STAN"
"No"	"800282"	"(450) 555-9334"	"(450) 555-9512"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ALAIN BREESE"	""	""	"BREESE.SHERMAN@yahoo.com"	"06/15/1975"	""	""	"n/a"	""	"(450) 555-3334"	""	"0.00"	"BREESE ALAIN"
"No"	"800283"	"(450) 555-1106"	"(450) 555-8881"	"35,969.79"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ALAIN BREESE"	""	""	"ADOLFO.CHICHAK@usa.net"	"06/15/1975"	""	""	"0.00"	""	"(450) 555-6194"	""	"35,969.79"	"BREESE ALAIN"
"No"	"800017"	"(450) 555-9114"	"(450) 555-8987"	"8,173.69"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"MARTIN BRODEUR VIGNEUX"	""	""	"AUBUT.BRUCE@hotmail.com"	"01/10/1950"	""	""	"n/a"	""	"(450) 555-9241"	""	"193,143.58"	"BRODEUR MARTIN"
"No"	"800081"	"(450) 555-6934"	"(450) 555-0534"	"2,758.48"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CLARENCE BROGAN"	""	""	"BARBEL.BOWMAN@yahoo.com"	"06/18/1975"	""	""	"0.00"	""	"(450) 555-4339"	""	"432,145.24"	"BROGAN CLARENCE"
"No"	"800057"	"(450) 555-7203"	"(450) 555-8729"	"5,685.62"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"BRASSEURS BUCHER"	""	""	"ARSENE.BIANCHI@hotmail.com"	"12/12/1970"	""	""	"0.00"	""	"(450) 555-7607"	""	"426,036.17"	"BUCHER BRASSEURS"
"No"	"800259"	"(450) 555-8616"	"(450) 555-9526"	"6,826.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"ACURA BULLETIN"	""	""	"BRUCE.KEEHN@caramail.com"	"08/12/1981"	""	""	"n/a"	""	"(450) 555-5647"	""	"767,665.84"	"BULLETIN ACURA"
"No"	"800281"	"(450) 555-9313"	"(450) 555-9586"	"924.94"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ALAIN BURDETT"	""	""	"BILL.SHERMAN@yahoo.com"	"06/15/1975"	""	""	"n/a"	""	"(450) 555-3347"	""	"477,289.15"	"BURDETT ALAIN"
"No"	"300005"	"(450) 555-4444"	"(450) 555-4441"	"49,897.57"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CALCULS ESCOMPTES"	""	""	"julie.lamarche@croesus.com"	"01/01/1980"	""	""	"n/a"	""	"(450) 555-4442"	""	"149,654.06"	"CALCULS ESCOMPTE"
"No"	"300010"	"(450) 555-4444"	"(450) 555-4441"	"558,649.04"	"CAD"	"4"	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CALCULS GAINS/PERTES"	""	""	"julie.lamarche@croesus.com"	"01/01/1980"	""	""	"n/a"	""	"(450) 555-4442"	"(450) 555-4443"	"1,027,497.15"	"CALCULS GAINS/PE"
"No"	"300006"	"(450) 555-4444"	"(450) 555-4441"	"18,845.94"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CALCULS USD"	""	""	"julie.lamarche@croesus.com"	"01/01/1980"	""	""	"n/a"	""	"(450) 555-4442"	""	"207,229.58"	"CALCULS USD"
"No"	"800274"	"(450) 555-8856"	"(450) 555-8077"	"1,436.85"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CARILYNE CALDER"	""	""	"CERTIFICAT.COULSON@videotron.ca"	"06/15/1975"	""	""	"0.00"	""	"(450) 555-0261"	""	"60,482.00"	"CALDER CARILYNE"
"No"	"800258"	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BEATRICE CANESSO"	""	""	"BRYSON.CORMIER@caramail.com"	"08/12/1981"	""	""	"0.00"	""	"(450) 555-2887"	""	"0.00"	"CANESSO BEATRICE"
"No"	"800059"	"(450) 555-3924"	"(450) 555-6516"	"5,373.05"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"ADRIANA CAPEK"	""	""	"AHMED.BINDAL@usa.net"	"12/12/1970"	""	""	"0.00"	""	"(450) 555-9312"	""	"1,805,523.66"	"CAPEK ADRIANA"
"No"	"800284"	"(450) 555-9890"	"(450) 555-4077"	"505.40"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ARDEN CASTLE"	""	""	"BALANCED.CRADDOCK@yahoo.com"	"06/15/1975"	""	""	"n/a"	""	"(450) 555-4057"	""	"40,172.61"	"CASTLE ARDEN"
"No"	"800072"	"(450) 555-2128"	"(450) 555-7689"	"86,171.10"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BRAY CATANI"	""	""	"ANDREA.BONDY@hotmail.com"	"02/11/1953"	""	""	"0.00"	""	"(450) 555-2334"	""	"653,265.92"	"CATANI BRAY"
"No"	"800200"	"(450) 555-9360"	"(450) 555-5958"	"6,062.05"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"AMIR CELLARD"	""	""	"BRODEUR.DEMAERE@caramail.com"	"06/18/1975"	""	""	"0.00"	""	"(450) 555-2687"	""	"151,165.42"	"CELLARD AMIR"
"No"	"800007"	"(450) 555-0404"	"(450) 555-5460"	"(490.63)"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"ANNEKE CHADILLON"	""	""	"ALICE.ANTON@usa.net"	"09/12/1948"	""	""	"n/a"	""	"(450) 555-9951"	""	"1,753,712.82"	"CHADILLON ANNEKE"
"No"	"800008"	"(450) 555-0404"	"(450) 555-5460"	"253,673.78"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"ANNEKE CHADILLON"	""	""	"ALICE.ANTON@usa.net"	"09/12/1948"	""	""	"n/a"	""	"(450) 555-9951"	""	"1,226,206.45"	"CHADILLON ANNEKE"
"No"	"600001"	""	""	"0.00"	"CAD"	""	""	""	""	"Open"	""	""	""	""	"French"	"CHAMPS TRF"	""	""	"julie.lamarche@croesus.com"	"01/01/1980"	""	""	"0.00"	""	""	""	"0.00"	"CHAMPS TRF"
"No"	"600002"	""	""	"0.00"	"CAD"	""	""	""	""	"Open"	""	""	""	""	"French"	"CHAMPS TRF VIDE"	""	""	"julie.lamarche@croesus.com"	"01/01/1980"	""	""	"n/a"	""	""	""	"0.00"	"CHAMPS TRF VIDE"
"No"	"600003"	""	""	"0.00"	"CAD"	""	""	""	""	"Open"	""	""	""	""	"French"	"CHAMPS TRF VIDE"	""	""	"julie.lamarche@croesus.com"	"01/01/1980"	""	""	"n/a"	""	""	""	"0.00"	"CHAMPS TRF VIDE"
"No"	"600004"	""	""	"0.00"	"CAD"	""	""	""	""	"Open"	""	""	""	""	"French"	"CHAMPS TRF VIDE"	""	""	"julie.lamarche@croesus.com"	"01/01/1980"	""	""	"n/a"	""	""	""	"0.00"	"CHAMPS TRF VIDE"
"No"	"800244"	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ADRIAN CHATEAUNEUF"	""	""	"ali.hachemi@croesus.com"	"05/20/1941"	""	""	"n/a"	""	"(450) 555-9312"	""	"0.00"	"CHATEAUNEUF ADRI"
"No"	"800294"	"(450) 555-1057"	"(450) 555-2279"	"515.59"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ADRIAN CHATEAUNEUF"	""	""	"ali.hachemi@croesus.com"	"05/20/1941"	""	""	"0.00"	""	"(450) 555-9312"	""	"2,538.60"	"CHATEAUNEUF ADRI"
"No"	"800027"	"(450) 555-4476"	"(450) 555-9713"	"36,594.64"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"PAUL CHENIER"	""	""	"ARIANE.BANG@hotmail.com"	"01/10/1950"	""	""	"n/a"	""	"(450) 555-0250"	""	"973,434.77"	"CHENIER PAUL"
"No"	"800253"	"(450) 555-8945"	"(450) 555-6431"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"DUHAMEL CICANSKY"	""	""	"ALOYSIUS.HISCOCKS@usa.net"	"08/12/1981"	""	""	"n/a"	""	"(450) 555-8676"	""	"0.00"	"CICANSKY DUHAMEL"
"No"	"800209"	"(450) 555-5562"	"(450) 555-5034"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"BRETT CLEMENT"	""	""	"ARLETTE.BULL@hotmail.com"	"10/10/1936"	""	""	"0.00"	""	"(450) 555-1383"	""	"0.00"	"CLEMENT BRETT"
"No"	"800080"	"(450) 555-6290"	"(450) 555-3377"	"5,005.94"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BORDELEAU CONWAY"	""	""	"CHEVONNE.BOUTETTE@videotron.ca"	"06/18/1975"	""	""	"n/a"	""	"(450) 555-5398"	""	"895,929.90"	"CONWAY BORDELEAU"
"No"	"800012"	"(450) 555-0007"	"(450) 555-1949"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"BOURSE COUSSON"	""	""	"CARRIE.ARSENEAU@videotron.ca"	"01/10/1950"	""	""	"n/a"	""	"(450) 555-5018"	""	"0.00"	"COUSSON BOURSE"
"No"	"800051"	"(450) 555-6110"	"(450) 555-9648"	"0.00"	"USD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CHRYSTIAN CROIL"	""	""	"CARLO.BENTLEY@caramail.com"	"05/07/1960"	""	""	"n/a"	""	"(450) 555-8752"	""	"0.00"	"CROIL CHRYSTIAN"
"No"	"800292"	"(416) 666-9876"	"(416) 666-6543"	"7,129.08"	"CAD"	""	""	"2"	"1"	"Open"	""	""	""	""	"English"	"CARLISLE CULLEN"	""	""	"CARLISLE.CULLEM@caramail.com"	"10/09/1940"	""	""	"0.00"	""	""	""	"286,921.11"	"CULLEN CARLISLE"
"No"	"800289"	"(416) 666-9876"	"(416) 666-6543"	"0.00"	"USD"	""	""	"2"	"1"	"Open"	""	""	""	""	"English"	"EDWARD CULLEN"	""	""	"EDWARD.CULLEM@caramail.com"	"05/09/1964"	""	""	"n/a"	""	""	""	"2.65"	"CULLEN EDWARD"
"No"	"800010"	"(450) 555-8486"	"(450) 555-2810"	"1,111.61"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"AMERICO DABADIE"	""	""	"CATHARINE.ARCILLA@videotron.ca"	"01/10/1950"	""	""	"n/a"	""	"(450) 555-3448"	""	"73,594.54"	"DABADIE AMERICO"
"No"	"800251"	"(450) 555-4859"	"(450) 555-0474"	"12,613.56"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ANDREA DEEM"	""	""	"ali.hachemi@croesus.com"	"09/07/1968"	""	""	"0.00"	""	"(450) 555-0181"	""	"1,327,792.14"	"DEEM ANDREA"
"No"	"800047"	"(450) 555-2059"	"(450) 555-3010"	"(8,501.45)"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"YOGOURT DELISLE"	""	""	"CARILYNE.BELLINI@caramail.com"	"02/03/1968"	""	""	"0.00"	""	"(450) 555-1849"	""	"567,024.82"	"DELISLE YOGOURT"
"No"	"800288"	"(450) 555-4579"	"(450) 555-5962"	"18,218.90"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"ARNAST DEMERCHANT"	""	""	"BERNICE.CROWLE@yahoo.com"	"04/09/1964"	""	""	"n/a"	""	"(450) 555-9607"	""	"44,559.16"	"DEMERCHANT ARNAS"
"No"	"800263"	"(450) 555-1974"	"(450) 555-1470"	"15,431.66"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"AQUARIUS DODOK"	""	""	"BELLA.LARRIVEE@yahoo.com"	"07/28/1947"	""	""	"0.00"	""	"(450) 555-9842"	""	"2,345,914.92"	"DODOK AQUARIUS"
"No"	"800039"	"(450) 555-4676"	"(450) 555-4168"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ALVARO DYNAMIQUE"	""	""	"AUGUSTUS.BEANLAND@hotmail.com"	"01/30/1960"	""	""	"n/a"	""	"(450) 555-7727"	""	"0.00"	"DYNAMIQUE ALVARO"
"No"	"800032"	"(450) 555-1113"	"(450) 555-1905"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BERTHE ERDMAN"	""	""	"CARLSON.BARKWELL@caramail.com"	"07/22/1936"	""	""	"n/a"	""	"(450) 555-9310"	""	"0.00"	"ERDMAN BERTHE"
"No"	"800063"	"(450) 555-8191"	"(450) 555-7525"	"473,998.64"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BERNATCHEZ EVERTON"	""	""	"CHINDA.BLAIKIE@videotron.ca"	"12/12/1970"	""	""	"n/a"	""	"(450) 555-2841"	""	"1,833,423.99"	"EVERTON BERNATCH"
"No"	"~E-00001"	""	""	"2,574.00"	"CAD"	""	""	""	""	"Open"	""	""	""	""	"French"	"TEMP EXTERNAL"	""	""	""	""	""	""	"n/a"	""	""	""	"2,574.00"	"EXTERNAL TEMP"
"No"	"~E-00000"	""	""	"66,605.92"	"CAD"	""	""	""	""	"Open"	""	""	""	""	"French"	"TEST EXTERNAL"	""	""	""	"09/26/2011"	""	""	"0.00"	""	""	""	"83,234.60"	"EXTERNAL TEST"
"No"	"800237"	"(450) 555-2466"	"(450) 555-8267"	"10,630.96"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ANESTIS FATA"	""	""	"BOUDREAU.CHIRIKDJIAN@caramail.com"	"10/11/1959"	""	""	"0.00"	""	"(450) 555-7542"	""	"492,899.76"	"FATA ANESTIS"
"No"	"800214"	"(450) 555-8651"	"(450) 555-9211"	"3,107.75"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CATHY FORTIN"	""	""	"CARILYNE.CALDER@caramail.com"	"10/10/1936"	""	""	"n/a"	""	"(450) 555-5404"	""	"120,218.91"	"FORTIN CAT"
"No"	"800235"	"(450) 555-6802"	"(450) 555-2905"	"4,072.72"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ALIETTE FOSTEN"	""	""	"ALYCE.CHERRIER@usa.net"	"10/11/1959"	""	""	"0.00"	""	"(450) 555-8093"	""	"657,540.57"	"FOSTEN ALIETTE"
"No"	"800024"	"(450) 555-7248"	"(450) 555-5038"	"27.80"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CELIA FRANCOIS"	""	""	"BRANT.BALDING@caramail.com"	"01/10/1950"	""	""	"0.00"	""	"(450) 555-6324"	""	"27.80"	"FRANCOIS CELIA"
