"Is Joint"	"Name"	"Client No."	"IA Code"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"
"No"	"CHADILLON ANNEKE"	"800007"	"AC42"	"(450) 555-0404"	"(450) 555-5460"	"(490.63)"	"CAD"	"n/a"	""	"(450) 555-9951"	""	"1,753,712.82"
"No"	"CHADILLON ANNEKE"	"800008"	"AC42"	"(450) 555-0404"	"(450) 555-5460"	"253,673.78"	"CAD"	"n/a"	""	"(450) 555-9951"	""	"1,226,206.45"
"No"	"CHAMPS TRF"	"600001"	"BD88"	""	""	"0.00"	"CAD"	"0.00"	""	""	""	"0.00"
"No"	"CHAMPS TRF VIDE"	"600002"	"BD88"	""	""	"0.00"	"CAD"	"n/a"	""	""	""	"0.00"
"No"	"CHAMPS TRF VIDE"	"600003"	"BD88"	""	""	"0.00"	"CAD"	"n/a"	""	""	""	"0.00"
"No"	"CHAMPS TRF VIDE"	"600004"	"BD88"	""	""	"0.00"	"CAD"	"n/a"	""	""	""	"0.00"
"No"	"CHATEAUNEUF ADRI"	"800244"	"AC42"	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"CAD"	"n/a"	""	"(450) 555-9312"	""	"0.00"
"No"	"CHATEAUNEUF ADRI"	"800294"	"AC42"	"(450) 555-1057"	"(450) 555-2279"	"515.59"	"CAD"	"0.00"	""	"(450) 555-9312"	""	"2,538.60"
"No"	"CHENIER PAUL"	"800027"	"AC44"	"(450) 555-4476"	"(450) 555-9713"	"36,594.64"	"CAD"	"n/a"	""	"(450) 555-0250"	""	"973,434.77"
"No"	"CICANSKY DUHAMEL"	"800253"	"BD77"	"(450) 555-8945"	"(450) 555-6431"	"0.00"	"CAD"	"n/a"	""	"(450) 555-8676"	""	"0.00"
"No"	"CLEMENT BRETT"	"800209"	"AC42"	"(450) 555-5562"	"(450) 555-5034"	"0.00"	"CAD"	"0.00"	""	"(450) 555-1383"	""	"0.00"
"No"	"CONWAY BORDELEAU"	"800080"	"BD66"	"(450) 555-6290"	"(450) 555-3377"	"5,005.94"	"CAD"	"n/a"	""	"(450) 555-5398"	""	"895,929.90"
"No"	"COUSSON BOURSE"	"800012"	"AC42"	"(450) 555-0007"	"(450) 555-1949"	"0.00"	"CAD"	"n/a"	""	"(450) 555-5018"	""	"0.00"
"No"	"CROIL CHRYSTIAN"	"800051"	"AC55"	"(450) 555-6110"	"(450) 555-9648"	"0.00"	"USD"	"n/a"	""	"(450) 555-8752"	""	"0.00"
"No"	"CULLEN CARLISLE"	"800292"	"BD88"	"(416) 666-9876"	"(416) 666-6543"	"7,129.08"	"CAD"	"0.00"	""	""	""	"286,921.11"
"No"	"CULLEN EDWARD"	"800289"	"AC42"	"(416) 666-9876"	"(416) 666-6543"	"0.00"	"USD"	"n/a"	""	""	""	"2.65"
"No"	"DABADIE AMERICO"	"800010"	"AC42"	"(450) 555-8486"	"(450) 555-2810"	"1,111.61"	"CAD"	"n/a"	""	"(450) 555-3448"	""	"73,594.54"
"No"	"DEEM ANDREA"	"800251"	"AC42"	"(450) 555-4859"	"(450) 555-0474"	"12,613.56"	"CAD"	"0.00"	""	"(450) 555-0181"	""	"1,327,792.14"
"No"	"DELISLE YOGOURT"	"800047"	"AC55"	"(450) 555-2059"	"(450) 555-3010"	"(8,501.45)"	"CAD"	"0.00"	""	"(450) 555-1849"	""	"567,024.82"
"No"	"DEMERCHANT ARNAS"	"800288"	"BD66"	"(450) 555-4579"	"(450) 555-5962"	"18,218.90"	"CAD"	"n/a"	""	"(450) 555-9607"	""	"44,559.16"
"No"	"DODOK AQUARIUS"	"800263"	"BD66"	"(450) 555-1974"	"(450) 555-1470"	"15,431.66"	"CAD"	"0.00"	""	"(450) 555-9842"	""	"2,345,914.92"
"No"	"DYNAMIQUE ALVARO"	"800039"	"AC42"	"(450) 555-4676"	"(450) 555-4168"	"0.00"	"CAD"	"n/a"	""	"(450) 555-7727"	""	"0.00"
"No"	"ERDMAN BERTHE"	"800032"	"AC55"	"(450) 555-1113"	"(450) 555-1905"	"0.00"	"CAD"	"n/a"	""	"(450) 555-9310"	""	"0.00"
"No"	"EVERTON BERNATCH"	"800063"	"AC42"	"(450) 555-8191"	"(450) 555-7525"	"473,998.64"	"CAD"	"n/a"	""	"(450) 555-2841"	""	"1,833,423.99"
"No"	"EXTERNAL TEMP"	"~E-00001"	"BD88"	""	""	"2,574.00"	"CAD"	"n/a"	""	""	""	"2,574.00"
"No"	"EXTERNAL TEST"	"~E-00000"	"AC42"	""	""	"66,605.92"	"CAD"	"0.00"	""	""	""	"83,234.60"
"No"	"FATA ANESTIS"	"800237"	"BD88"	"(450) 555-2466"	"(450) 555-8267"	"10,630.96"	"CAD"	"0.00"	""	"(450) 555-7542"	""	"492,899.76"
"No"	"FORTIN CAT"	"800214"	"BD88"	"(450) 555-8651"	"(450) 555-9211"	"3,107.75"	"CAD"	"n/a"	""	"(450) 555-5404"	""	"120,218.91"
"No"	"FOSTEN ALIETTE"	"800235"	"BD66"	"(450) 555-6802"	"(450) 555-2905"	"4,072.72"	"CAD"	"0.00"	""	"(450) 555-8093"	""	"657,540.57"
"No"	"FRANCOIS CELIA"	"800024"	"AC55"	"(450) 555-7248"	"(450) 555-5038"	"27.80"	"CAD"	"0.00"	""	"(450) 555-6324"	""	"27.80"
"No"	"FRESEY CHRISTINE"	"800046"	"AC55"	"(450) 555-3143"	"(450) 555-2128"	"31,075.36"	"CAD"	"0.00"	""	"(450) 555-0669"	""	"1,469,459.41"
"No"	"GALLATI BROCHU"	"800076"	"BD88"	"(450) 555-4536"	"(450) 555-9434"	"1,219.59"	"CAD"	"n/a"	""	"(450) 555-2551"	""	"10,996.27"
"No"	"GALLEY BENEZETTE"	"800280"	"AC43"	"(450) 555-3727"	"(450) 555-4080"	"215,121.45"	"CAD"	"0.00"	""	"(450) 555-9786"	""	"1,604,231.24"
"No"	"GARTON BAYNE"	"800021"	"AC44"	"(450) 555-7564"	"(450) 555-0541"	"(27,223.37)"	"CAD"	"n/a"	""	"(450) 555-5501"	""	"1,385,183.46"
"No"	"GATES ALOIS"	"800267"	"AC43"	"(450) 555-5552"	"(450) 555-4777"	"27,233.61"	"CAD"	"0.00"	""	"(450) 555-6300"	""	"1,200,707.22"
"No"	"GERRARD BROCK"	"800023"	"AC42"	"(450) 555-2673"	"(450) 555-1714"	"0.00"	"CAD"	"n/a"	""	"(450) 555-5063"	""	"0.00"
"No"	"GHILZON BOURBON"	"800250"	"AC42"	"(450) 555-4517"	"(450) 555-3322"	"0.00"	"CAD"	"n/a"	""	"(450) 555-2217"	""	"0.00"
"No"	"GIRARDIN ANGELLA"	"800277"	"AC42"	"(450) 555-7492"	"(450) 555-1520"	"27,229.24"	"CAD"	"0.00"	""	"(450) 555-4251"	""	"1,032,303.72"
"No"	"GP VALIDATION"	"300007"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"952,722.73"	"CAD"	"n/a"	""	"(450) 555-4442"	"(450) 555-4443"	"952,722.73"
"No"	"GRACIE AMIOT"	"800213"	"AC42"	"(450) 555-6400"	"(450) 555-0551"	"9,178.02"	"CAD"	"n/a"	""	"(450) 555-1473"	""	"1,040,331.72"
"No"	"GREENSPOON SOWLI"	"800031"	"AC42"	"(450) 555-6375"	"(450) 555-4339"	"140,392.51"	"CAD"	"n/a"	""	"(450) 555-4534"	""	"824,573.84"
"No"	"GREICO BARRY"	"800269"	"AC42"	"(450) 555-8618"	"(450) 555-2516"	"0.00"	"CAD"	"n/a"	""	"(450) 555-8094"	""	"0.00"
"No"	"GRUEN CHANTAL"	"800060"	"AC42"	"(450) 555-7403"	"(450) 555-9104"	"266,432.63"	"CAD"	"n/a"	""	"(450) 555-1306"	""	"999,539.12"
"No"	"GUERASSIMENKO AL"	"800085"	"AC42"	"(450) 555-2559"	"(450) 555-4855"	"3,150.94"	"CAD"	"0.00"	""	"(450) 555-2499"	""	"136,858.80"
"No"	"GUIMOND OLIVIER"	"800279"	"AC42"	"(450) 555-8609"	"(450) 555-8745"	"9,522.84"	"CAD"	"0.00"	""	"(450) 555-0091"	""	"1,804,711.05"
"No"	"GURAK BONACE"	"800061"	"AC42"	"(450) 555-5681"	"(450) 555-2065"	"0.00"	"CAD"	"0.00"	""	"(450) 555-5030"	""	"0.00"
"No"	"HARTER AURORE"	"800287"	"BD66"	"(450) 555-0474"	"(450) 555-7343"	"11,408.47"	"CAD"	"n/a"	""	"(450) 555-9184"	""	"1,000,448.72"
"No"	"HEFFELFINGER ALA"	"800001"	"AC42"	"(450) 555-6794"	"(450) 555-3879"	"34,190.80"	"CAD"	"n/a"	""	"(450) 555-3513"	""	"1,275,809.41"
"No"	"HOFFMAN ARRY"	"800249"	"BD88"	"(450) 555-6934"	"(450) 555-4795"	"162,759.21"	"CAD"	"n/a"	""	"(450) 555-2219"	""	"21,360,971.70"
"No"	"HOLLIS ACURA"	"800271"	"BD77"	"(450) 555-7821"	"(450) 555-9043"	"0.00"	"CAD"	"n/a"	""	"(450) 555-4080"	""	"0.00"
"No"	"HUMPHREY ANTONIN"	"800243"	"AC42"	"(450) 555-0805"	"(450) 555-6049"	"511.06"	"CAD"	"n/a"	""	"(450) 555-3135"	""	"96,755.89"
"No"	"ISMAN CAHTERINE"	"800220"	"AC42"	"(450) 555-2470"	"(450) 555-4704"	"0.00"	"CAD"	"0.00"	""	"(450) 555-0964"	""	"0.00"
"No"	"ISSENMAN AMALIE"	"800062"	"AC42"	"(450) 555-5792"	"(450) 555-5859"	"40,424.08"	"CAD"	"n/a"	""	"(450) 555-3247"	""	"235,515.87"
"No"	"JACOBSON BEVERAL"	"800036"	"AC44"	"(450) 555-9221"	"(450) 555-8285"	"358,856.66"	"CAD"	"n/a"	""	"(450) 555-9221"	""	"991,182.99"
"No"	"JAKOBSEN ANTONIU"	"800254"	"AC42"	"(450) 555-7000"	"(450) 555-6489"	"0.00"	"CAD"	"n/a"	""	"(450) 555-5568"	""	"0.00"
"No"	"JANELLE CARLEY"	"800221"	"BD88"	"(450) 555-8323"	"(450) 555-5347"	"3,265.27"	"CAD"	"n/a"	""	"(450) 555-5330"	""	"643,760.16"
"No"	"JANSEN BABCOCK"	"800078"	"BD88"	"(450) 555-0097"	"(450) 555-7078"	"0.00"	"CAD"	"n/a"	""	"(450) 555-6370"	""	"0.00"
"No"	"JOAN CAYLEY"	"800087"	"AC42"	"(450) 555-4064"	"(450) 555-0850"	"12,409.99"	"CAD"	"0.00"	""	"(450) 555-9125"	""	"406,276.14"
"No"	"KADOTA ALOURDES"	"800048"	"AC55"	"(450) 555-5398"	"(450) 555-5398"	"35,147.92"	"CAD"	"n/a"	""	"(450) 555-4403"	""	"809,372.92"
"No"	"KING MCKENZIE"	"800077"	"BD88"	"(450) 555-6516"	"(450) 555-7029"	"6,846.68"	"CAD"	"0.00"	""	"(450) 555-7381"	""	"170,018.56"
"No"	"KINOSHITA CHARTR"	"800260"	"BD66"	"(450) 555-1222"	"(450) 555-2627"	"562.82"	"CAD"	"0.00"	""	"(450) 555-7387"	""	"717,687.42"
"No"	"KLINGMAN AILLEEN"	"800079"	"BD66"	"(450) 555-5954"	"(450) 555-2795"	"1,963.11"	"CAD"	"n/a"	""	"(450) 555-6027"	""	"824,826.09"
"No"	"KNIGHT AMEDEE"	"800234"	"BD66"	"(450) 555-1766"	"(450) 555-1473"	"12,994.59"	"CAD"	"0.00"	""	"(450) 555-4070"	""	"1,031,946.70"
"No"	"KRABSEN BUBSIE"	"800042"	"AC42"	"(450) 555-9672"	"(450) 555-7949"	"0.00"	"CAD"	"n/a"	""	"(450) 555-1172"	""	"0.00"
"No"	"KROEGER BABE"	"800014"	"AC42"	"(450) 555-4622"	"(450) 555-8363"	"0.00"	"CAD"	"0.00"	""	"(450) 555-0128"	""	"0.00"
"No"	"LAFERRIERE BLAKE"	"800272"	"BD88"	"(450) 555-4522"	"(450) 555-5815"	"27,967.43"	"CAD"	"0.00"	""	"(450) 555-8881"	""	"751,089.04"
"No"	"LANDRY BERNARDIN"	"800013"	"AC55"	"(450) 555-2336"	"(450) 555-7096"	"88,540.53"	"CAD"	"n/a"	""	"(450) 555-7846"	""	"1,948,134.98"
"No"	"LAPICO BERNICE"	"800218"	"AC42"	"(450) 555-6452"	"(450) 555-5224"	"608.13"	"CAD"	"n/a"	""	"(450) 555-2110"	""	"401,796.81"
"No"	"LAWLEY AIDAN"	"800050"	"AC55"	"(450) 555-6989"	"(450) 555-8616"	"0.00"	"USD"	"n/a"	""	"(450) 555-6910"	""	"0.00"
"No"	"LESTRAT ALUN"	"800037"	"AC44"	"(450) 555-2241"	"(450) 555-5351"	"11,006.85"	"CAD"	"n/a"	""	"(450) 555-5840"	""	"750,957.45"
"No"	"LEVEILLEE ABBAYE"	"800247"	"AC42"	"(450) 555-6604"	"(450) 555-3152"	"1,946.17"	"CAD"	"n/a"	""	"(450) 555-3933"	""	"890,334.75"
"No"	"LOUIS BRENNAN"	"800018"	"AC55"	"(450) 555-2486"	"(450) 555-6577"	"0.00"	"CAD"	"n/a"	""	"(450) 555-8865"	""	"0.00"
"No"	"LYE ALINE"	"800052"	"BD66"	"(450) 555-9363"	"(450) 555-9832"	"3,918.96"	"CAD"	"n/a"	""	"(450) 555-8992"	""	"589,870.70"
"No"	"LYTLE ALEX"	"800276"	"BD88"	"(450) 555-7542"	"(450) 555-3195"	"0.00"	"CAD"	"n/a"	""	"(450) 555-8412"	""	"0.00"
"No"	"MACDONALD CEDARS"	"800071"	"BD88"	"(450) 555-0523"	"(450) 555-7723"	"1,768.44"	"CAD"	"n/a"	""	"(450) 555-5770"	""	"106,493.04"
"No"	"MAHEU MATHIEU"	"800069"	"BD88"	"(450) 555-0843"	"(450) 555-8003"	"11,302.74"	"CAD"	"0.00"	""	"(450) 555-9745"	""	"161,133.13"
"No"	"MAINELLA ANGIOLI"	"800038"	"AC42"	"(450) 555-7211"	"(450) 555-3571"	"0.00"	"CAD"	"n/a"	""	"(450) 555-3616"	""	"458,579.49"
"No"	"MAKRIS ACACIA"	"800020"	"AC42"	"(450) 555-3128"	"(450) 555-7332"	"121,305.66"	"CAD"	"0.00"	""	"(450) 555-7588"	""	"4,384,122.51"
"No"	"MALISKA BALLANTY"	"800229"	"BD88"	"(450) 555-4364"	"(450) 555-5087"	"29,742.82"	"CAD"	"n/a"	""	"(450) 555-1113"	""	"810,126.69"
"No"	"MALITO CELINE"	"800009"	"AC42"	"(450) 555-8881"	"(450) 555-3223"	"0.00"	"CAD"	"n/a"	""	"(450) 555-4649"	""	"0.00"
"No"	"MALO BEAULIEU"	"800053"	"BD88"	"(450) 555-0152"	"(450) 555-5756"	"9,840.14"	"CAD"	"n/a"	""	"(450) 555-1298"	""	"417,945.16"
"No"	"MARCIL CARLE"	"800246"	"BD66"	"(450) 555-4339"	"(450) 555-3138"	"5,522.58"	"CAD"	"n/a"	""	"(450) 555-1328"	""	"550,348.48"
"No"	"MARSTON BRITT"	"800003"	"AC42"	"(450) 555-8077"	"(450) 555-1655"	"10,434.74"	"CAD"	"n/a"	""	"(450) 555-3691"	""	"817,586.93"
"No"	"MARTELLO AUDETTE"	"800268"	"AC42"	"(450) 555-1284"	"(450) 555-5778"	"4,111.26"	"CAD"	"0.00"	""	"(450) 555-3267"	""	"873,447.62"
"No"	"MASSIE BENNO"	"800205"	"BD88"	"(450) 555-4830"	"(450) 555-4237"	"19,858.84"	"CAD"	"n/a"	""	"(450) 555-1332"	""	"7,584,703.95"
"No"	"MCCOMBE AURELIAN"	"800222"	"BD77"	"(450) 555-6658"	"(450) 555-6615"	"0.00"	"CAD"	"n/a"	""	"(450) 555-1316"	""	"0.00"
"No"	"MCDOWALL CAYLEY"	"800086"	"AC42"	"(450) 555-4064"	"(450) 555-0850"	"11,094.54"	"CAD"	"0.00"	""	"(450) 555-9125"	""	"157,674.81"
"No"	"MCGILLICUDDY BLA"	"800006"	"AC42"	"(450) 555-2490"	"(450) 555-3099"	"(6,659.96)"	"CAD"	"0.00"	""	"(450) 555-3496"	""	"2,059,865.64"
"No"	"MCGRATH ALFONSO"	"800224"	"AC42"	"(450) 555-5501"	"(450) 555-3816"	"21,875.49"	"CAD"	"0.00"	""	"(450) 555-2397"	""	"874,364.59"
"No"	"MCINTAGGART ALDE"	"800203"	"AC42"	"(450) 555-2933"	"(450) 555-0804"	"13,294.55"	"CAD"	"0.00"	""	"(450) 555-3578"	""	"602,915.68"
"No"	"MCMULLIN CELESTE"	"800273"	"BD88"	"(450) 555-0869"	"(450) 555-3055"	"29,680.29"	"CAD"	"0.00"	""	"(450) 555-2933"	""	"2,074,462.16"
"No"	"MCNEIL BELISLE"	"800030"	"AC55"	"(450) 555-8360"	"(450) 555-3453"	"39,308.65"	"CAD"	"n/a"	""	"(450) 555-8921"	""	"412,911.57"
"No"	"MIGUÉ BECHARA"	"800016"	"AC44"	"(450) 555-5962"	"(450) 555-9688"	"0.00"	"CAD"	"0.00"	""	"(450) 555-1163"	""	"0.00"
"No"	"MURDOCK BRUCE"	"800201"	"AC42"	"(450) 555-7515"	"(450) 555-1014"	"1,260.05"	"CAD"	"n/a"	""	"(450) 555-5468"	""	"73,332.75"
"No"	"MUTCHMORE ANNU"	"800206"	"BD77"	"(450) 555-7763"	"(450) 555-0545"	"9,136.78"	"CAD"	"0.00"	""	"(450) 555-3782"	""	"1,136,101.67"
"No"	"NEILL ANTOINETTE"	"800083"	"BD66"	"(450) 555-2470"	"(450) 555-9021"	"0.00"	"CAD"	"n/a"	""	"(450) 555-0636"	""	"0.00"
"No"	"NEVINS BENNETT"	"800082"	"BD88"	"(450) 555-1298"	"(450) 555-7980"	"93,297.43"	"CAD"	"0.00"	""	"(450) 555-3222"	""	"1,993,045.46"
"No"	"NOEL AQUARIUS"	"800029"	"AC42"	"(450) 555-5750"	"(450) 555-8918"	"0.00"	"CAD"	"n/a"	""	"(450) 555-1771"	""	"0.00"
