No de compte	Traitement	Transaction	Code de CP	Type	Symbole	Quantité	Prix	Devise	Total	Commission	Gains/Pertes	Int. courus	Frais	PBR manuel	Solde
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	B30199	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	A25074	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	OBA	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	LQD	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	HYG	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XSB	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XRB	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XCB	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XBB	1 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	TIP	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	SHV	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	SHY	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	FXY	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	CUF.DB.D	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	RYT.NT.M	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	R41490	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Dépôt	1USD	0,00	0,000	CAD	5 000,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	B55444	10 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	A36754	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	R13369	10 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	M22687	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	R76899	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	R35681	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	M85693	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	T83520	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	BA.UN	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	AET.UN	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	NA.PR.N	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	AES.PR.C	200	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	T	200	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	AEM	200	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	AA	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	FEZ	250	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	FEU	250	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XIN	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XFN	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XGD	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XIT	1 500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XMA	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XIU	750	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XSP	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	EWJ	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	RRB.UN	1 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	CBL170	100 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	NA	1 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	DIS	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	AGU	200	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	IAH	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	V56635	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	M85805	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	Q49599	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	Q42798	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	B55248	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	B30199	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	A25074	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	OBA	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	LQD	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	HYG	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XSB	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XRB	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XCB	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	XBB	1 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	TIP	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	SHV	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	SHY	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	FXY	100	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	CUF.DB.D	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	RYT.NT.M	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Transfert	R41490	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800300-NA	2010/01/25	2010/01/11	BD88	Dépôt	1CAD	0,00	0,000	CAD	5 000,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800291-SF	2010/01/25	2010/01/25	AC42	Retrait	1USD	0,00	0,000	USD	(2 000,00)	0,00	0,00	0,00	0,00	0,000	(2 590,01)
800291-RE	2010/01/25	2010/01/25	AC42	Transfert	1CAD	0,00	0,000	CAD	2 500,00	0,00	0,00	0,00	0,00	0,000	3 432,32
800291-GT	2010/01/25	2010/01/25	AC42	Transfert	1CAD	0,00	0,000	CAD	(3 164,56)	0,00	0,00	0,00	664,56	0,000	25 494,83
800285-RE	2010/01/25	2010/01/25	AC42	Valeur comptable	1CAD	0,00	0,000	CAD	699,68	0,00	0,00	0,00	0,00	0,000	(8 797,69)
800285-RE	2010/01/25	2010/01/25	AC42	Valeur comptable	DYN9152	(424,063)	0,000	CAD	5 076,49	0,00	0,00	0,00	0,00	0,000	(8 797,69)
800285-RE	2010/01/25	2010/01/25	AC42	Valeur comptable	DYN9152	424,063	0,000	CAD	(5 776,17)	0,00	0,00	0,00	0,00	0,000	(8 797,69)
800285-RE	2010/01/25	2010/01/22	AC42	Cotisation	1CAD	0,00	0,970	CAD	(9 790,00)	0,00	0,00	0,00	0,00	0,000	(8 797,69)
800285-RE	2010/01/25	2010/01/22	AC42	Cotisation	1CAD	0,00	0,990	CAD	(9 975,00)	0,00	0,00	0,00	0,00	0,000	992,31
800285-RE	2010/01/25	2010/01/22	AC42	Cotisation	V61442	(10 000)	0,970	CAD	9 790,00	0,00	(210,00)	0,00	0,00	0,000	10 967,31
800285-RE	2010/01/25	2010/01/22	AC42	Cotisation	V76606	(10 000)	0,990	CAD	9 975,00	0,00	(9 901,00)	9 876,00	0,00	0,000	1 177,31
800285-FS	2010/01/25	2010/01/25	AC42	Dividendes	CP	8	0,000	CAD	1,98	0,00	0,00	0,00	0,00	0,000	3 917,74
800279-SF	2010/01/25	2010/01/25	AC42	Dividendes	GE	20	0,000	USD	1,70	0,00	0,00	0,00	0,30	0,000	5 459,07
800279-SF	2010/01/25	2010/01/25	AC42	Dividendes	PNC	7	0,000	USD	0,59	0,00	0,00	0,00	0,11	0,000	5 457,37
800279-RE	2010/01/25	2010/01/25	AC42	Valeur comptable	1CAD	0,00	0,000	CAD	2 020,84	0,00	0,00	0,00	0,00	0,000	3 744,41
800279-RE	2010/01/25	2010/01/25	AC42	Valeur comptable	DYN9152	(1 224,790)	0,000	CAD	19 149,42	0,00	0,00	0,00	0,00	0,000	3 744,41
800279-RE	2010/01/25	2010/01/25	AC42	Valeur comptable	DYN9152	1 224,790	0,000	CAD	(21 170,26)	0,00	0,00	0,00	0,00	0,000	3 744,41
800278-RE	2010/01/25	2010/01/25	AC42	Dividendes	GE	195	0,000	CAD	17,53	0,00	0,00	0,00	3,10	0,000	15 972,50
800277-RE	2010/01/25	2010/01/25	AC42	Dividendes	CP	238	0,000	CAD	58,91	0,00	0,00	0,00	0,00	0,000	1 995,56
800277-OB	2010/01/25	2010/01/25	AC42	Dividendes	GE	475	0,000	USD	40,37	0,00	0,00	0,00	7,13	0,000	10 498,04
800273-SF	2010/01/25	2010/01/25	BD88	Vente	PEP	(5)	60,393	USD	301,96	0,00	25,16	0,00	0,01	0,000	786,75
800273-SF	2010/01/25	2010/01/25	BD88	Fractionnement	TSL	8	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	484,79
800273-SF	2010/01/25	2010/01/25	BD88	Achat	TSL	7	21,930	USD	(153,51)	0,00	0,00	0,00	0,00	0,000	484,79
800273-OB	2010/01/25	2010/01/25	BD88	Dividendes	GE	70	0,000	USD	5,95	0,00	0,00	0,00	1,05	0,000	4 766,76
800273-NA	2010/01/25	2010/01/25	BD88	Dividendes	CP	34	0,000	CAD	8,42	0,00	0,00	0,00	0,00	0,000	8 601,04
800272-FS	2010/01/25	2010/01/25	BD88	Vente	760960	(7,000)	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	13 843,40
800272-FS	2010/01/25	2010/01/25	BD88	Achat	760983	7,000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	13 843,40
800266-RE	2010/01/25	2010/01/22	BD77	Retrait	1CAD	0,00	0,000	CAD	(5 000,00)	0,00	0,00	0,00	0,00	0,000	0,55
800266-RE	2010/01/25	2010/01/22	BD77	Vente	FID285	(470,207)	0,000	CAD	5 000,00	0,00	68,62	0,00	0,00	0,000	5 000,55
800266-RE	2010/01/25	2010/01/22	BD77	Dividendes	MFC302	2,155	13,177	CAD	0,00	0,00	0,00	0,00	0,00	0,000	0,55
800265-NA	2010/01/25	2010/01/22	BD77	Dividendes	MFC432	1,700	13,177	CAD	0,00	0,00	0,00	0,00	0,00	0,000	2 077,33
800264-NA	2010/01/25	2010/01/25	BD66	Retrait	1CAD	0,00	0,000	CAD	(1 200,00)	0,00	0,00	0,00	0,00	0,000	3 415,56
800257-RE	2010/01/25	2010/01/25	AC42	Dividendes	GE	1 400	0,000	CAD	125,90	0,00	0,00	0,00	22,22	0,000	(52 202,91)
800252-RE	2010/01/25	2010/01/25	AC42	Intérêts	Q12015	10 000	0,000	CAD	257,50	0,00	0,00	0,00	0,00	0,000	2 766,14
800251-RE	2010/01/25	2010/01/25	AC42	Dividendes	GE	1 000	0,000	CAD	89,93	0,00	0,00	0,00	15,87	0,000	5 622,86
800249-NA	2010/01/25	2010/01/25	BD88	Intérêts	Q12463	200 000	0,000	CAD	1 500,00	0,00	0,00	0,00	0,00	0,000	149 888,26
