account_number, mgmt_start_date, uma_template, UMA_CASH_MVT, UMA_DATE_PROCH_INTEGR , UMA_MODEL_NO, ALLOCATION_UMA_1A7
05-H147-E,2010-03-20,Template1,167,2010-03-21,~M-00007-0,2
05-H14N-A,2010-03-20,Template1,168,2010-03-21,~M-00007-0,2
05-H21R-E,2010-03-20,Template1,169,2010-03-21,~M-00007-0,2
05-H2M6-F,2010-03-20,Template1,170,2010-03-21,~M-00007-0,2
05-H2V9-E,2010-03-20,Template1,171,2010-03-21,~M-00007-0,2
05-H4G4-E,2010-03-20,Template1,172,2010-03-21,~M-00007-0,2
05-H5FL-E,2010-03-20,Template1,173,2010-03-21,~M-00007-0,2
05-H60Z-A,2010-03-20,Template1,174,2010-03-21,~M-00007-0,2
05-H8FZ-E,2010-03-20,Template1,175,2010-03-21,~M-00007-0,2
05-H9TW-F,2010-03-20,Template1,176,2010-03-21,~M-00007-0,2
05-HA0S-A,2010-03-20,Template1,177,2010-03-21,~M-00007-0,2
05-HAS8-B,2010-03-20,Template1,178,2010-03-21,~M-00007-0,2
05-HBLM-X,2010-03-20,Template1,179,2010-03-21,~M-00007-0,2
05-HCWD-E,2010-03-20,Template1,180,2010-03-21,~M-00007-0,2
05-HFDE-E,2010-03-20,Template1,181,2010-03-21,~M-00007-0,2
05-HFGH-B,2010-03-20,Template1,182,2010-03-21,~M-00007-0,2
05-HHGJ-E,2010-03-20,Template1,183,2010-03-21,~M-00007-0,2
05-HL8N-T,2010-03-20,Template1,184,2010-03-21,~M-00007-0,2
05-HLD0-E,2010-03-20,Template1,185,2010-03-21,~M-00007-0,2
05-HLHX-E,2010-03-20,Template1,186,2010-03-21,~M-00007-0,2
05-HMVM-A,2010-03-20,Template1,187,2010-03-21,~M-00007-0,2
05-HNBY-A,2010-03-20,Template1,188,2010-03-21,~M-00007-0,2
05-HNXQ-X,2010-03-20,Template1,189,2010-03-21,~M-00007-0,2
05-HQ49-A,2010-03-20,Template1,190,2010-03-21,~M-00007-0,2
05-HQM6-E,2010-03-20,Template1,191,2010-03-21,~M-00007-0,2
05-HRAY-E,2010-03-20,Template1,192,2010-03-21,~M-00007-0,2
05-HRFU-A,2010-03-20,Template1,193,2010-03-21,~M-00007-0,2
05-HRSV-E,2010-03-20,Template1,194,2010-03-21,~M-00007-0,2
05-HT5N-E,2010-03-20,Template1,195,2010-03-21,~M-00007-0,2
05-HTRD-E,2010-03-20,Template1,196,2010-03-21,~M-00007-0,2
05-HTTP-A,2010-03-20,Template1,197,2010-03-21,~M-00007-0,2
05-HTUK-E,2010-03-20,Template1,198,2010-03-21,~M-00007-0,2
05-HUDM-A,2010-03-20,Template1,199,2010-03-21,~M-00007-0,2
05-HUMM-A,2010-03-20,Template1,200,2010-03-21,~M-00007-0,2
05-HUU1-A,2010-03-20,Template1,201,2010-03-21,~M-00007-0,2
05-HVFS-A,2010-03-20,Template1,202,2010-03-21,~M-00007-0,2
05-HWJF-A,2010-03-20,Template1,203,2010-03-21,~M-00007-0,2
05-HXMP-E,2010-03-20,Template1,204,2010-03-21,~M-00007-0,2
05-HYDS-E,2010-03-20,Template1,205,2010-03-21,~M-00007-0,2
05-HYMS-A,2010-03-20,Template1,206,2010-03-21,~M-00007-0,2
08-091X-E,2010-03-20,Template1,207,2010-03-21,~M-00007-0,2
0B-CABB-A,2010-03-20,Template1,208,2010-03-21,~M-00007-0,2
0B-CABC-A,2010-03-20,Template1,209,2010-03-21,~M-00007-0,2
0B-CABD-A,2010-03-20,Template1,210,2010-03-21,~M-00007-0,2
0B-CABF-A,2010-03-20,Template1,211,2010-03-21,~M-00007-0,2
0B-CABN-A,2010-03-20,Template1,212,2010-03-21,~M-00007-0,2
0B-CABP-A,2010-03-20,Template1,213,2010-03-21,~M-00007-0,2
0B-CABR-A,2010-03-20,Template1,214,2010-03-21,~M-00007-0,2
0B-CABT-A,2010-03-20,Template1,215,2010-03-21,~M-00007-0,2
0B-CABW-A,2010-03-20,Template1,216,2010-03-21,~M-00007-0,2
0B-CABX-A,2010-03-20,Template1,217,2010-03-21,~M-00007-0,2
0B-CABX-B,2010-03-20,Template1,218,2010-03-21,~M-00007-0,2
0B-CACA-A,2010-03-20,Template1,219,2010-03-21,~M-00007-0,2
0B-CACB-A,2010-03-20,Template1,220,2010-03-21,~M-00007-0,2
0B-CACD-A,2010-03-20,Template1,221,2010-03-21,~M-00007-0,2
11-01VW-E,2010-03-20,Template1,222,2010-03-21,~M-00007-0,2
11-01VW-F,2010-03-20,Template1,223,2010-03-21,~M-00007-0,2
11-01VX-E,2010-03-20,Template1,224,2010-03-21,~M-00007-0,2
11-0HNK-A,2010-03-20,Template1,225,2010-03-21,~M-00007-0,2
11-1ABV-A,2010-03-20,Template1,226,2010-03-21,~M-00007-0,2
11-1CX2-A,2010-03-20,Template1,227,2010-03-21,~M-00007-0,2
11-1F1K-E,2010-03-20,Template1,228,2010-03-21,~M-00007-0,2
11-1F1T-X,2010-03-20,Template1,229,2010-03-21,~M-00007-0,2
11-1F33-A,2010-03-20,Template1,230,2010-03-21,~M-00007-0,2
11-1F7H-E,2010-03-20,Template1,231,2010-03-21,~M-00007-0,2
11-1FR7-E,2010-03-20,Template1,232,2010-03-21,~M-00007-0,2
11-1FR7-F,2010-03-20,Template1,233,2010-03-21,~M-00007-0,2
11-1FVY-E,2010-03-20,Template1,234,2010-03-21,~M-00007-0,2
11-1N2V-E,2010-03-20,Template1,235,2010-03-21,~M-00007-0,2
11-1QA0-A,2010-03-20,Template1,236,2010-03-21,~M-00007-0,2
11-1QCG-E,2010-03-20,Template1,237,2010-03-21,~M-00007-0,2
11-1R2G-A,2010-03-20,Template1,238,2010-03-21,~M-00007-0,2
11-1WVK-E,2010-03-20,Template1,239,2010-03-21,~M-00007-0,2
11-1ZXG-A,2010-03-20,Template1,240,2010-03-21,~M-00007-0,2
11-4CA6-E,2010-03-20,Template1,241,2010-03-21,~M-00007-0,2
11-4CAQ-E,2010-03-20,Template1,242,2010-03-21,~M-00007-0,2
11-4GQY-E,2010-03-20,Template1,243,2010-03-21,~M-00007-0,2
11-4RC2-E,2010-03-20,Template1,244,2010-03-21,~M-00007-0,2
11-4RZZ-A,2010-03-20,Template1,245,2010-03-21,~M-00007-0,2
11-4THX-A,2010-03-20,Template1,246,2010-03-21,~M-00007-0,2
11-57WP-E,2010-03-20,Template1,247,2010-03-21,~M-00007-0,2
11-57Y4-E,2010-03-20,Template1,248,2010-03-21,~M-00007-0,2
11-57YR-E,2010-03-20,Template1,249,2010-03-21,~M-00007-0,2
11-5TTX-A,2010-03-20,Template1,250,2010-03-21,~M-00007-0,2
11-5V2G-E,2010-03-20,Template1,251,2010-03-21,~M-00007-0,2
11-5Z92-A,2010-03-20,Template1,252,2010-03-21,~M-00007-0,2
11-610Z-E,2010-03-20,Template1,253,2010-03-21,~M-00007-0,2
11-668Z-E,2010-03-20,Template1,254,2010-03-21,~M-00007-0,2
11-6G39-A,2010-03-20,Template1,255,2010-03-21,~M-00007-0,2
11-732E-R,2010-03-20,Template1,256,2010-03-21,~M-00007-0,2
11-7350-E,2010-03-20,Template1,257,2010-03-21,~M-00007-0,2
11-73RZ-S,2010-03-20,Template1,258,2010-03-21,~M-00007-0,2
11-79B1-E,2010-03-20,Template1,259,2010-03-21,~M-00007-0,2
11-79NY-A,2010-03-20,Template1,260,2010-03-21,~M-00007-0,2
11-79NY-B,2010-03-20,Template1,261,2010-03-21,~M-00007-0,2
11-7B5H-A,2010-03-20,Template1,262,2010-03-21,~M-00007-0,2
11-7BZT-E,2010-03-20,Template1,263,2010-03-21,~M-00007-0,2
11-7V2T-E,2010-03-20,Template1,264,2010-03-21,~M-00007-0,2
11-7WTN-E,2010-03-20,Template1,265,2010-03-21,~M-00007-0,2
11-7XT2-T,2010-03-20,Template1,266,2010-03-21,~M-00007-0,2
11-7ZFK-T,2010-03-20,Template1,267,2010-03-21,~M-00007-0,2
11-80ZH-E,2010-03-20,Template1,268,2010-03-21,~M-00007-0,2
11-88GN-A,2010-03-20,Template1,269,2010-03-21,~M-00007-0,2
11-89W2-A,2010-03-20,Template1,270,2010-03-21,~M-00007-0,2
11-89W3-A,2010-03-20,Template1,271,2010-03-21,~M-00007-0,2
11-8HT8-7,2010-03-20,Template1,272,2010-03-21,~M-00007-0,2
11-8HT8-S,2010-03-20,Template1,273,2010-03-21,~M-00007-0,2
11-8HYT-7,2010-03-20,Template1,274,2010-03-21,~M-00007-0,2
11-8HYT-S,2010-03-20,Template1,275,2010-03-21,~M-00007-0,2
11-8T16-A,2010-03-20,Template1,276,2010-03-21,~M-00007-0,2
11-A14E-E,2010-03-20,Template1,277,2010-03-21,~M-00007-0,2
11-A62Q-E,2010-03-20,Template1,278,2010-03-21,~M-00007-0,2
11-B7Q6-A,2010-03-20,Template1,279,2010-03-21,~M-00007-0,2
11-BQBR-E,2010-03-20,Template1,280,2010-03-21,~M-00007-0,2
11-BQFY-A,2010-03-20,Template1,281,2010-03-21,~M-00007-0,2
11-BR72-E,2010-03-20,Template1,282,2010-03-21,~M-00007-0,2
11-C007-E,2010-03-20,Template1,283,2010-03-21,~M-00007-0,2
11-C8QY-E,2010-03-20,Template1,284,2010-03-21,~M-00007-0,2
11-CR3G-A,2010-03-20,Template1,285,2010-03-21,~M-00007-0,2
11-CTA5-A,2010-03-20,Template1,286,2010-03-21,~M-00007-0,2
11-CTZR-A,2010-03-20,Template1,287,2010-03-21,~M-00007-0,2
11-CYXW-S,2010-03-20,Template1,288,2010-03-21,~M-00007-0,2
11-ECXR-E,2010-03-20,Template1,289,2010-03-21,~M-00007-0,2
11-F75X-A,2010-03-20,Template1,290,2010-03-21,~M-00007-0,2
11-FR09-A,2010-03-20,Template1,291,2010-03-21,~M-00007-0,2
11-FTR6-E,2010-03-20,Template1,292,2010-03-21,~M-00007-0,2
11-FZG7-A,2010-03-20,Template1,293,2010-03-21,~M-00007-0,2
11-GN6H-E,2010-03-20,Template1,294,2010-03-21,~M-00007-0,2
11-GQH5-A,2010-03-20,Template1,295,2010-03-21,~M-00007-0,2
11-GQR3-A,2010-03-20,Template1,296,2010-03-21,~M-00007-0,2
11-GTGV-E,2010-03-20,Template1,297,2010-03-21,~M-00007-0,2
11-H7HV-E,2010-03-20,Template1,298,2010-03-21,~M-00007-0,2
11-KY63-E,2010-03-20,Template1,299,2010-03-21,~M-00007-0,2
11-RQ72-A,2010-03-20,Template1,300,2010-03-21,~M-00007-0,2
11-RQVZ-A,2010-03-20,Template1,301,2010-03-21,~M-00007-0,2
11-RQVZ-B,2010-03-20,Template1,302,2010-03-21,~M-00007-0,2
11-RRNX-E,2010-03-20,Template1,303,2010-03-21,~M-00007-0,2
11-RY5V-A,2010-03-20,Template1,304,2010-03-21,~M-00007-0,2
11-RY5V-B,2010-03-20,Template1,305,2010-03-21,~M-00007-0,2
11-RYZ9-A,2010-03-20,Template1,306,2010-03-21,~M-00007-0,2
11-T1GR-E,2010-03-20,Template1,307,2010-03-21,~M-00007-0,2
11-T314-A,2010-03-20,Template1,308,2010-03-21,~M-00007-0,2
11-T3R6-E,2010-03-20,Template1,309,2010-03-21,~M-00007-0,2
11-T83N-A,2010-03-20,Template1,310,2010-03-21,~M-00007-0,2
11-T8E0-S,2010-03-20,Template1,311,2010-03-21,~M-00007-0,2
11-T92V-E,2010-03-20,Template1,312,2010-03-21,~M-00007-0,2
11-T93W-F,2010-03-20,Template1,313,2010-03-21,~M-00007-0,2
11-T9GG-E,2010-03-20,Template1,314,2010-03-21,~M-00007-0,2
11-T9GG-T,2010-03-20,Template1,315,2010-03-21,~M-00007-0,2
11-T9YW-S,2010-03-20,Template1,316,2010-03-21,~M-00007-0,2
11-V0AN-A,2010-03-20,Template1,317,2010-03-21,~M-00007-0,2
11-V0YV-A,2010-03-20,Template1,318,2010-03-21,~M-00007-0,2
11-V1B4-A,2010-03-20,Template1,319,2010-03-21,~M-00007-0,2
11-V2AV-A,2010-03-20,Template1,320,2010-03-21,~M-00007-0,2
11-V2RR-E,2010-03-20,Template1,321,2010-03-21,~M-00007-0,2
11-V5KV-A,2010-03-20,Template1,322,2010-03-21,~M-00007-0,2
11-V5QW-E,2010-03-20,Template1,323,2010-03-21,~M-00007-0,2
11-V5YG-E,2010-03-20,Template1,324,2010-03-21,~M-00007-0,2
11-V5ZR-E,2010-03-20,Template1,325,2010-03-21,~M-00007-0,2
11-V6V7-E,2010-03-20,Template1,326,2010-03-21,~M-00007-0,2
11-V6VN-E,2010-03-20,Template1,327,2010-03-21,~M-00007-0,2
11-V6WV-A,2010-03-20,Template1,328,2010-03-21,~M-00007-0,2
11-V6XN-A,2010-03-20,Template1,329,2010-03-21,~M-00007-0,2
11-VA11-E,2010-03-20,Template1,330,2010-03-21,~M-00007-0,2
11-VAGV-E,2010-03-20,Template1,331,2010-03-21,~M-00007-0,2
11-VAQR-A,2010-03-20,Template1,332,2010-03-21,~M-00007-0,2
11-VB49-E,2010-03-20,Template1,333,2010-03-21,~M-00007-0,2
11-VB6V-E,2010-03-20,Template1,334,2010-03-21,~M-00007-0,2
11-VC13-A,2010-03-20,Template1,335,2010-03-21,~M-00007-0,2
11-VHW0-A,2010-03-20,Template1,336,2010-03-21,~M-00007-0,2
11-VHW0-B,2010-03-20,Template1,337,2010-03-21,~M-00007-0,2
11-VHW5-A,2010-03-20,Template1,338,2010-03-21,~M-00007-0,2
11-VKQ5-A,2010-03-20,Template1,339,2010-03-21,~M-00007-0,2
11-VKRW-F,2010-03-20,Template1,340,2010-03-21,~M-00007-0,2
11-VKVQ-A,2010-03-20,Template1,341,2010-03-21,~M-00007-0,2
11-VKVV-A,2010-03-20,Template1,342,2010-03-21,~M-00007-0,2
11-VKY1-X,2010-03-20,Template1,343,2010-03-21,~M-00007-0,2
11-VNF8-E,2010-03-20,Template1,344,2010-03-21,~M-00007-0,2
11-VQ67-A,2010-03-20,Template1,345,2010-03-21,~M-00007-0,2
11-VQ67-B,2010-03-20,Template1,346,2010-03-21,~M-00007-0,2
11-VQ7N-A,2010-03-20,Template1,347,2010-03-21,~M-00007-0,2
11-VRF0-A,2010-03-20,Template1,348,2010-03-21,~M-00007-0,2
11-VVA4-X,2010-03-20,Template1,349,2010-03-21,~M-00007-0,2
11-VVBG-X,2010-03-20,Template1,350,2010-03-21,~M-00007-0,2
11-VVC3-E,2010-03-20,Template1,351,2010-03-21,~M-00007-0,2
11-VW0N-A,2010-03-20,Template1,352,2010-03-21,~M-00007-0,2
11-VW4N-E,2010-03-20,Template1,353,2010-03-21,~M-00007-0,2
11-VW65-A,2010-03-20,Template1,354,2010-03-21,~M-00007-0,2
11-VW95-A,2010-03-20,Template1,355,2010-03-21,~M-00007-0,2
11-VWRG-A,2010-03-20,Template1,356,2010-03-21,~M-00007-0,2
11-VWVV-A,2010-03-20,Template1,357,2010-03-21,~M-00007-0,2
11-VWW8-E,2010-03-20,Template1,358,2010-03-21,~M-00007-0,2
11-VWZ9-A,2010-03-20,Template1,359,2010-03-21,~M-00007-0,2
11-VX20-A,2010-03-20,Template1,360,2010-03-21,~M-00007-0,2
11-VX53-A,2010-03-20,Template1,361,2010-03-21,~M-00007-0,2
11-VX69-A,2010-03-20,Template1,362,2010-03-21,~M-00007-0,2
11-VXB9-E,2010-03-20,Template1,363,2010-03-21,~M-00007-0,2
11-VYBG-A,2010-03-20,Template1,364,2010-03-21,~M-00007-0,2
11-VZWW-A,2010-03-20,Template1,365,2010-03-21,~M-00007-0,2
11-W03Q-A,2010-03-20,Template1,366,2010-03-21,~M-00007-0,2
11-W07Z-A,2010-03-20,Template1,367,2010-03-21,~M-00007-0,2
11-W15W-A,2010-03-20,Template1,368,2010-03-21,~M-00007-0,2
11-W173-B,2010-03-20,Template1,369,2010-03-21,~M-00007-0,2
11-W1KH-A,2010-03-20,Template1,370,2010-03-21,~M-00007-0,2
11-W2HR-A,2010-03-20,Template1,371,2010-03-21,~M-00007-0,2
11-W2Q0-A,2010-03-20,Template1,372,2010-03-21,~M-00007-0,2
11-W39E-E,2010-03-20,Template1,373,2010-03-21,~M-00007-0,2
11-W39E-F,2010-03-20,Template1,374,2010-03-21,~M-00007-0,2
11-W4HQ-A,2010-03-20,Template1,375,2010-03-21,~M-00007-0,2
11-W553-E,2010-03-20,Template1,376,2010-03-21,~M-00007-0,2
11-WAA1-A,2010-03-20,Template1,377,2010-03-21,~M-00007-0,2
11-WT34-E,2010-03-20,Template1,378,2010-03-21,~M-00007-0,2
11-WT34-X,2010-03-20,Template1,379,2010-03-21,~M-00007-0,2
11-WT5K-X,2010-03-20,Template1,380,2010-03-21,~M-00007-0,2
11-WT5R-E,2010-03-20,Template1,381,2010-03-21,~M-00007-0,2
11-WTH6-A,2010-03-20,Template1,382,2010-03-21,~M-00007-0,2
11-WTQZ-A,2010-03-20,Template1,383,2010-03-21,~M-00007-0,2
11-WTZX-E,2010-03-20,Template1,384,2010-03-21,~M-00007-0,2
11-WWQ4-E,2010-03-20,Template1,385,2010-03-21,~M-00007-0,2
11-WWRZ-A,2010-03-20,Template1,386,2010-03-21,~M-00007-0,2
11-WWTX-E,2010-03-20,Template1,387,2010-03-21,~M-00007-0,2
11-WWV6-E,2010-03-20,Template1,388,2010-03-21,~M-00007-0,2
11-WWX8-E,2010-03-20,Template1,389,2010-03-21,~M-00007-0,2
11-WX22-A,2010-03-20,Template1,390,2010-03-21,~M-00007-0,2
11-WYR3-A,2010-03-20,Template1,391,2010-03-21,~M-00007-0,2
11-WZ03-E,2010-03-20,Template1,392,2010-03-21,~M-00007-0,2
11-X0B3-E,2010-03-20,Template1,393,2010-03-21,~M-00007-0,2
11-X0B3-F,2010-03-20,Template1,394,2010-03-21,~M-00007-0,2
11-X0NV-E,2010-03-20,Template1,395,2010-03-21,~M-00007-0,2
11-X0RQ-A,2010-03-20,Template1,396,2010-03-21,~M-00007-0,2
11-X16R-A,2010-03-20,Template1,397,2010-03-21,~M-00007-0,2
11-X1A0-A,2010-03-20,Template1,398,2010-03-21,~M-00007-0,2
11-X1AR-E,2010-03-20,Template1,399,2010-03-21,~M-00007-0,2
11-X1V2-E,2010-03-20,Template1,400,2010-03-21,~M-00007-0,2
11-X278-E,2010-03-20,Template1,401,2010-03-21,~M-00007-0,2
11-X3KX-E,2010-03-20,Template1,402,2010-03-21,~M-00007-0,2
11-X408-E,2010-03-20,Template1,403,2010-03-21,~M-00007-0,2
11-X441-A,2010-03-20,Template1,404,2010-03-21,~M-00007-0,2
11-X4T9-E,2010-03-20,Template1,405,2010-03-21,~M-00007-0,2
11-X4WV-A,2010-03-20,Template1,406,2010-03-21,~M-00007-0,2
11-X4WV-B,2010-03-20,Template1,407,2010-03-21,~M-00007-0,2
11-X64Q-E,2010-03-20,Template1,408,2010-03-21,~M-00007-0,2
11-X6AN-A,2010-03-20,Template1,409,2010-03-21,~M-00007-0,2
11-X6BQ-A,2010-03-20,Template1,410,2010-03-21,~M-00007-0,2
11-X6XX-E,2010-03-20,Template1,411,2010-03-21,~M-00007-0,2
11-X7G7-A,2010-03-20,Template1,412,2010-03-21,~M-00007-0,2
11-X7G8-A,2010-03-20,Template1,413,2010-03-21,~M-00007-0,2
11-X8BR-E,2010-03-20,Template1,414,2010-03-21,~M-00007-0,2
11-X8W5-A,2010-03-20,Template1,415,2010-03-21,~M-00007-0,2
11-XR95-A,2010-03-20,Template1,416,2010-03-21,~M-00007-0,2
11-XR9V-A,2010-03-20,Template1,417,2010-03-21,~M-00007-0,2
11-XRBK-E,2010-03-20,Template1,418,2010-03-21,~M-00007-0,2
11-XRQY-E,2010-03-20,Template1,419,2010-03-21,~M-00007-0,2
11-XRX9-X,2010-03-20,Template1,420,2010-03-21,~M-00007-0,2
11-XRXT-A,2010-03-20,Template1,421,2010-03-21,~M-00007-0,2
11-XRZX-A,2010-03-20,Template1,422,2010-03-21,~M-00007-0,2
11-XTB5-E,2010-03-20,Template1,423,2010-03-21,~M-00007-0,2
11-XTNG-E,2010-03-20,Template1,424,2010-03-21,~M-00007-0,2
11-XW0H-A,2010-03-20,Template1,425,2010-03-21,~M-00007-0,2
11-XWTW-A,2010-03-20,Template1,426,2010-03-21,~M-00007-0,2
11-XX04-X,2010-03-20,Template1,427,2010-03-21,~M-00007-0,2
11-XXFQ-X,2010-03-20,Template1,428,2010-03-21,~M-00007-0,2
11-XXKW-A,2010-03-20,Template1,429,2010-03-21,~M-00007-0,2
11-XXV5-A,2010-03-20,Template1,430,2010-03-21,~M-00007-0,2
11-XY00-A,2010-03-20,Template1,431,2010-03-21,~M-00007-0,2
11-XY01-A,2010-03-20,Template1,432,2010-03-21,~M-00007-0,2
11-XY0T-E,2010-03-20,Template1,433,2010-03-21,~M-00007-0,2
11-XY0T-F,2010-03-20,Template1,434,2010-03-21,~M-00007-0,2
11-XY45-E,2010-03-20,Template1,435,2010-03-21,~M-00007-0,2
11-XY45-F,2010-03-20,Template1,436,2010-03-21,~M-00007-0,2
11-XY46-A,2010-03-20,Template1,437,2010-03-21,~M-00007-0,2
11-Y002-E,2010-03-20,Template1,438,2010-03-21,~M-00007-0,2
11-Y00P-E,2010-03-20,Template1,439,2010-03-21,~M-00007-0,2
11-Y01G-E,2010-03-20,Template1,440,2010-03-21,~M-00007-0,2
11-Y01G-F,2010-03-20,Template1,441,2010-03-21,~M-00007-0,2
11-Y02N-A,2010-03-20,Template1,442,2010-03-21,~M-00007-0,2
11-Y03X-E,2010-03-20,Template1,443,2010-03-21,~M-00007-0,2
11-Y06V-F,2010-03-20,Template1,444,2010-03-21,~M-00007-0,2
11-Y07Q-E,2010-03-20,Template1,445,2010-03-21,~M-00007-0,2
11-Y0G3-A,2010-03-20,Template1,446,2010-03-21,~M-00007-0,2
11-Y0G4-A,2010-03-20,Template1,447,2010-03-21,~M-00007-0,2
11-Y0GR-A,2010-03-20,Template1,448,2010-03-21,~M-00007-0,2
11-Y0H7-E,2010-03-20,Template1,449,2010-03-21,~M-00007-0,2
11-Y0H7-F,2010-03-20,Template1,450,2010-03-21,~M-00007-0,2
11-Y0HP-E,2010-03-20,Template1,451,2010-03-21,~M-00007-0,2
11-Y0T1-A,2010-03-20,Template1,452,2010-03-21,~M-00007-0,2
11-Y0WH-E,2010-03-20,Template1,453,2010-03-21,~M-00007-0,2
11-Y0YT-F,2010-03-20,Template1,454,2010-03-21,~M-00007-0,2
11-Y108-A,2010-03-20,Template1,455,2010-03-21,~M-00007-0,2
