Acct. No.	Source	Settlement	Security	Rate	Note	Name	Manual Invest. Cost	MV Ind.	Invest. Cap. G/L	Interest Portion	Description	Client No.	Cash Flow	Processing	Transaction	IA Code	Type	Symbol	Quantity	Price	Cur.	Total	Commission	Gains/Losses	Accrued Int.	Fees	Manual ACB	Cash Balance
800401-NA	ACH	12/11/2009	M22142	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-CANADA GOVT     1JN15	800401	0.00	01/25/2010	12/11/2009	BD88	Buy	M22142	10,000	85.000	CAD	(8,500.00)	0.00	0.00	0.00	0.00	0.000	491,500.00
800401-NA	TRF	12/11/2009	M85810	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	PRIN-QUEBEC PROV   28JN10	800401	9,936.90	01/25/2010	12/11/2009	BD88	Transfer	M85810	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800401-NA	TRF	12/11/2009	M22691	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	INT-HYDRO QUEBEC   16JA20	800401	6,222.70	01/25/2010	12/11/2009	BD88	Transfer	M22691	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800401-NA	DEP	12/11/2009		1.00000000	Depot	PROJ. INC. RPT	0.000		0.00	0.00	BALANCE ( CAD )	800401	500,000.00	01/25/2010	12/11/2009	BD88	Deposit	1CAD	0.00	0.000	CAD	500,000.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800400-NA	VEN	01/27/2010	M60899	1.00000000	Vente	PROJ. INC. RPT	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800400	0.00	01/25/2010	01/22/2010	BD88	Sell	M60899	(10,000)	99.950	CAD	9,995.00	0.00	0.00	0.00	0.00	0.000	453,258.00
800400-NA	ACH	01/20/2010	M86062	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-MONTREAL       30JA11	800400	0.00	01/25/2010	01/20/2010	BD88	Buy	M86062	10,000	99.000	CAD	(9,900.00)	0.00	0.00	0.00	0.00	0.000	443,263.00
800400-NA	ACH	01/20/2010	M22142	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-CANADA GOVT     1JN15	800400	0.00	01/25/2010	01/20/2010	BD88	Buy	M22142	10,000	85.500	CAD	(8,550.00)	0.00	0.00	0.00	0.00	0.000	453,163.00
800400-NA	DEP	01/11/2010		1.00000000	Depot	PROJ. INC. RPT	0.000		0.00	0.00	BALANCE ( CAD )	800400	500,000.00	01/25/2010	01/11/2010	BD88	Deposit	1CAD	0.00	0.000	CAD	500,000.00	0.00	0.00	0.00	0.00	0.000	461,713.00
800400-NA	ACH	12/31/2009	M60899	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800400	0.00	01/25/2010	12/31/2009	BD88	Buy	M60899	10,000	99.900	CAD	(9,990.00)	0.00	0.00	0.00	0.00	0.000	(38,287.00)
800400-NA	TRF	12/28/2009	M02717	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	PRIN-QUEBEC HYDRO  26SP11	800400	9,723.10	01/25/2010	12/28/2009	BD88	Transfer	M02717	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	TRF	12/28/2009	M84827	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	INT-QUEBEC HYDRO   15AG14	800400	8,592.40	01/25/2010	12/28/2009	BD88	Transfer	M84827	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	TRF	12/11/2009	M60899	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800400	9,989.20	01/25/2010	12/11/2009	BD88	Transfer	M60899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	TRF	12/11/2009	X10428	1.06000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	TIME WARN   8.75% 10JA15*	800400	10,997.50	01/25/2010	12/11/2009	BD88	Transfer	X10428	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	ACH	12/11/2009	M22762	1.06000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-HYDRO QUE  U$  13JA13	800400	0.00	01/25/2010	12/11/2009	BD88	Buy	M22762	10,000	93.500	USD	(9,911.00)	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	ACH	12/11/2009	M86062	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-MONTREAL       30JA11	800400	0.00	01/25/2010	12/11/2009	BD88	Buy	M86062	10,000	98.860	CAD	(9,886.00)	0.00	0.00	0.00	0.00	0.000	(18,386.00)
800400-NA	ACH	12/11/2009	M22142	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-CANADA GOVT     1JN15	800400	0.00	01/25/2010	12/11/2009	BD88	Buy	M22142	10,000	85.000	CAD	(8,500.00)	0.00	0.00	0.00	0.00	0.000	(8,500.00)
800400-NA	TRF	12/11/2009	M85810	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	PRIN-QUEBEC PROV   28JN10	800400	9,936.90	01/25/2010	12/11/2009	BD88	Transfer	M85810	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	0.00
800400-NA	TRF	12/11/2009	M22691	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	INT-HYDRO QUEBEC   16JA20	800400	6,222.70	01/25/2010	12/11/2009	BD88	Transfer	M22691	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	0.00
800302-OB	TRF	01/11/2010	B55444	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	PROV QUE U$ 6.125% 22JA11	800302	10,838.04	01/25/2010	01/11/2010	BD88	Transfer	B55444	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	A36754	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	US TREAS NT  2.75% 15FB19	800302	9,348.05	01/25/2010	01/11/2010	BD88	Transfer	A36754	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	R13369	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ALCAN INC U$  5.2% 15JA14	800302	10,842.05	01/25/2010	01/11/2010	BD88	Transfer	R13369	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	M22687	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	INT-HYDRO QUEBEC   16JA18	800302	6,787.10	01/25/2010	01/11/2010	BD88	Transfer	M22687	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	R76899	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	CDN TIRE GIC 3.7%23JA12CA	800302	10,047.38	01/25/2010	01/11/2010	BD88	Transfer	R76899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	R35681	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	BELL ALIANT 6.29%  17FB15	800302	10,889.38	01/25/2010	01/11/2010	BD88	Transfer	R35681	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	M85693	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	PRIN-MONTREAL       1DC19	800302	6,111.74	01/25/2010	01/11/2010	BD88	Transfer	M85693	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	T83520	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	HSBCB GIC NCI3.15%12AG13A	800302	9,827.39	01/25/2010	01/11/2010	BD88	Transfer	T83520	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	068061	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	BELL ALIANT REG COMM  T/U	800302	13,588.75	01/25/2010	01/11/2010	BD88	Transfer	BA.UN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	000527	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ARC ENERGY T/U	800302	10,426.77	01/25/2010	01/11/2010	BD88	Transfer	AET.UN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	459947	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	NATL BK CDA S21 5.375% PF	800302	12,890.40	01/25/2010	01/11/2010	BD88	Transfer	NA.PR.N	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	000768	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	AES TR III 6.75% CV PFD	800302	9,530.00	01/25/2010	01/11/2010	BD88	Transfer	AES.PR.C	200	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	000944	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	AT & T INC	800302	5,394.00	01/25/2010	01/11/2010	BD88	Transfer	T	200	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	006882	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	AGNICO-EAGLE MINES LTD	800302	11,934.04	01/25/2010	01/11/2010	BD88	Transfer	AEM	200	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	011368	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ALCOA INC	800302	17,450.00	01/25/2010	01/11/2010	BD88	Transfer	AA	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	642181	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	STREETTRACKS INDX SH FND*	800302	14,316.01	01/25/2010	01/11/2010	BD88	Transfer	FEZ	250	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	642180	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	STREETTRACKS INDX SH FND*	800302	12,670.00	01/25/2010	01/11/2010	BD88	Transfer	FEU	250	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355701	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CDN MSCI C$ ETF	800302	8,986.42	01/25/2010	01/11/2010	BD88	Transfer	XIN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355710	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CD SP/TSX FNL ETF	800302	10,581.96	01/25/2010	01/11/2010	BD88	Transfer	XFN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355711	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CD SP/TSX GLD ETF	800302	10,722.60	01/25/2010	01/11/2010	BD88	Transfer	XGD	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355700	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CD SP/TSX INF ETF	800302	10,213.39	01/25/2010	01/11/2010	BD88	Transfer	XIT	1,500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	399701	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CD SP/TSX MAT ETF	800302	9,490.79	01/25/2010	01/11/2010	BD88	Transfer	XMA	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355696	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CDN S&P/TSX 60ETF	800302	12,817.65	01/25/2010	01/11/2010	BD88	Transfer	XIU	750	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	399699	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CDN S&P500 C$ ETF	800302	12,871.00	01/25/2010	01/11/2010	BD88	Transfer	XSP	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	354845	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES MSCI JAPAN INDEX	800302	10,210.00	01/25/2010	01/11/2010	BD88	Transfer	EWJ	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	103187	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	CONNOR,CLRK&LUN R/R T/U	800302	7,245.39	01/25/2010	01/11/2010	BD88	Transfer	RRB.UN	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	933323	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	CIBC MANAHLDVF1B  /N	800302	9,416.39	01/25/2010	01/11/2010	BD88	Transfer	CBL170	100,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	460009	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	NATIONAL BANK OF CDA	800302	57,216.29	01/25/2010	01/11/2010	BD88	Transfer	NA	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	221374	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	DISNEY WALT COMPANY	800302	31,360.00	01/25/2010	01/11/2010	BD88	Transfer	DIS	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	006906	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	AGRIUM INC	800302	13,877.79	01/25/2010	01/11/2010	BD88	Transfer	AGU	200	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	350717	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	INTERNET ARCHITECT	800302	51,628.00	01/25/2010	01/11/2010	BD88	Transfer	IAH	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	V56635	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	MANULIFE FIN 4.896% 2JN14	800302	10,408.53	01/25/2010	01/11/2010	BD88	Transfer	V56635	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	M85805	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	INT-PROV QUEBEC     1DC14	800302	8,242.10	01/25/2010	01/11/2010	BD88	Transfer	M85805	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	Q49599	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	MONTREAL BEO    5% 30OC13	800302	10,426.55	01/25/2010	01/11/2010	BD88	Transfer	Q49599	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	Q42798	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	LAVAL BEO    4.55% 27JN12	800302	10,200.15	01/25/2010	01/11/2010	BD88	Transfer	Q42798	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	B55248	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	PROV QUEBEC     5% 1DC15S	800302	10,628.73	01/25/2010	01/11/2010	BD88	Transfer	B55248	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	B30199	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ONTARIO  5.375%     2DC12	800302	10,651.66	01/25/2010	01/11/2010	BD88	Transfer	B30199	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	A25074	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	CDA HOUS TR  3.95% 15JN13	800302	10,256.26	01/25/2010	01/11/2010	BD88	Transfer	A25074	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	A21334	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	CANADA      5.25%  1JN12	800302	10,586.65	01/25/2010	01/11/2010	BD88	Transfer	OBA	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	354933	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES IBOXX$ INV GR CRP	800302	10,536.00	01/25/2010	01/11/2010	BD88	Transfer	LQD	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355230	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES IBOXX $ HI YLD BD	800302	8,960.00	01/25/2010	01/11/2010	BD88	Transfer	HYG	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355698	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CDN DEX ST BD ETF	800302	14,151.31	01/25/2010	01/11/2010	BD88	Transfer	XSB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	399704	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CDN DEX R/RET ETF	800302	9,927.26	01/25/2010	01/11/2010	BD88	Transfer	XRB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	399709	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CDN DEX CP BD ETF	800302	9,835.11	01/25/2010	01/11/2010	BD88	Transfer	XCB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355697	0.96993210	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES CD DEX UNI BD ETF	800302	28,457.81	01/25/2010	01/11/2010	BD88	Transfer	XBB	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	354947	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES BARC TIPS BOND FD	800302	10,439.00	01/25/2010	01/11/2010	BD88	Transfer	TIP	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	355695	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES BARC SHORT TSY BD	800302	11,022.00	01/25/2010	01/11/2010	BD88	Transfer	SHV	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	354934	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	ISHARES BARC 1-3 YR TR BD	800302	8,328.00	01/25/2010	01/11/2010	BD88	Transfer	SHY	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	TRF	01/11/2010	211596	1.00000000	TRF	1CALCUL SCORE	0.000		0.00	0.00	CURRENCYSHS JAPANESE YEN	800302	10,773.00	01/25/2010	01/11/2010	BD88	Transfer	FXY	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
