""	"Solde"	"No de compte"	"Nom"	"Code de CP"	"Téléphone 1"	"Devise"	"Nom long"	"Dernier contact"	"Date de naissance"	"Âge"	"Assignée à"
"Ouvert"	"19 163,08"	"800043-RE"	"FIDUCIE TESTAMEN"	"AC42"	"4507742741"	"CAD"	"FIDUCIE TESTAMENTAIRE FAMILIALE ADRESSE OLEKSIEW"	""	"1900-01-01 00:00:00"	"118"	""
"Ouvert"	"18 916,76"	"800229-FS"	"MALISKA BALLANT"	"0AED"	""	"CAD"	"BALLANTY MALISKA"	""	"1965-03-07 00:00:00"	"53"	""
"Ouvert"	"18 819,75"	"800215-NA"	"BERNARD&BERNADET"	"AC43"	""	"CAD"	"BERNADETTE&BERNARD"	""	"1936-10-10 00:00:00"	"82"	""
"Ouvert"	"18 218,90"	"800288-FS"	"DEMERCHANT ARNAS"	"BD66"	""	"CAD"	"ARNAST DEMERCHANT"	""	"1964-04-09 00:00:00"	"54"	""
"Ouvert"	"17 336,80"	"800204-FS"	"ZIMMERMANN AYUKO"	"BD66"	"(450) 555-8255"	"CAD"	"AYUKO ZIMMERMANN"	""	"1975-06-18 00:00:00"	"43"	""
"Ouvert"	"17 066,41"	"800031-FS"	"NOUNOU"	"AC42"	"4185432287"	"CAD"	"NOUNOU"	""	"1953-02-17 00:00:00"	"65"	""
"Ouvert"	"16 845,54"	"800054-FS"	"Business5"	"BD88"	""	"CAD"	"Business5"	""	"1900-01-01 00:00:00"	"118"	""
"Ouvert"	"16 048,24"	"800040-RE"	"1234567 CANADA I"	"AC55"	"5148075821"	"CAD"	"1234567 CANADA INC."	""	"1900-01-01 00:00:00"	"118"	""
"Ouvert"	"16 028,35"	"800256-NA"	"ORLEAN ADMAX"	"AC42"	"(450) 555-9118"	"CAD"	"ADMAX ORLEAN"	""	"1981-08-12 00:00:00"	"37"	""
"Ouvert"	"15 972,50"	"800278-RE"	"TREN123 CIARAN"	"AC42"	"123 456 1111"	"CAD"	"CIARAN TREN123"	""	"1975-06-15 00:00:00"	"43"	""
