No client	Téléphone 1	Téléphone 2	Solde	Devise	Revenu brut	carolet	Bouquet	bateau F	Bagage	Arbre F	Type tél. 4	Type tél. 3	Type tél. 2	Type tél. 1	Segmentation	Nom modèle	Nom complet	No modèle	Langue	Interlocuteur	Date de naissance	Courriel 3	Courriel 2	Courriel 1	Communication	Marge	Dern. Communication	Âge	Téléphone 3	Téléphone 4	Valeur totale	Nom
800056	(450) 555-3889	(450) 555-9951	"368,09"	CAD								3	2	1			BETTIE ARAMBASICH		Français	Non	1970-12-12			sebastien.marcotte@croesus.com		"0,00"		47	(450) 555-8752		"509 330,42"	ARAMBASICH BETTI
800049	(450) 555-9327	(450) 555-0037	"14 407,74"	CAD						"325,00"		3	2	1			ARVIS ARMAND		Français	Non	1960-05-07			ANTONIN.BENHAM@hotmail.com		"0,00"		58	(450) 555-6449		"712 348,77"	ARMAND ARVIS
800245	(450) 555-8632	(450) 555-0609	"4 128,33"	CAD			Catégorie	% en autres produits dérivés		8522.36		3	2	1		SUBSTITUT_MOD2	ADIRONDACK ARSENAULT	~M-00014-0	Français	Non	1968-09-07			ali.hachemi@croesus.com		"0,00"		50	(450) 555-5552		"412 730,11"	ARSENAULT ADIRON
800252	(450) 555-4265	(450) 555-8593	"4 025,21"	CAD								3	2	1			Test Business à 70 caractères01234567890123456789012345678901234		Français	Non	1968-09-07			CHRISTINE.PALIOTTI@videotron.ca		"0,00"		50	(450) 555-2044		"2 459 034,14"	ATHANASOPOULOS B
800240	(450) 555-4284	(450) 555-3001	"0,00"	CAD								3	2	1	A		AUDREY AUBREY		Anglais	Non	1959-10-11			ASTRID.CLARK@hotmail.com		"0,00"		59	(450) 555-7115		"0,00"	AUBREY AUDREY
800270	(450) 555-7755	(450) 555-7411	"(5 643,79)"	CAD								3	2	1	A		ARLEEN BALBUL		Français	Non	1947-07-28			AMEDE.CARLETON@usa.net		"0,00"		71	(450) 555-0404		"841 041,28"	BALBUL ARLEEN
800035			"5 660,71"	CAD	10 000			% en autres produits dérivés				3	2	1			BANQUE NATIONALE DU CANADA REF PRIVATE 197A		Français	Oui	1900-01-01			CANDIDE.BATEMAN@caramail.com		"0,00"		118	(450) 555-7794		"1 453 546,96"	BANQUE NATIONALE
900035			"0,00"	CAD		a	Catégorie	% en autres produits dérivés		896.23		3	2	1			BANQUE NATIONALE DU CANADA REF PRIVATE 197A		Français	Non	1900-01-01			Boudouaou@test.com		"0,00"		118	777 888 9999		"0,00"	BANQUE NATIONALE
800232			"649,99"	CAD								3	2	1			CATHERIN BARBOUR		Français	Non	1959-10-11			BARBARA.CHARITY@yahoo.com		"0,00"		59	(450) 555-4988		"728 813,17"	BARBOUR CATHERIN
800068	(450) 555-6025	(450) 555-5840	"390,66"	CAD			Numéro de titre	Autres obligations		85.25		3	2	1	D	SOUS_MODELE	CARLSON BARKWELL	~M-00016-0	Français	Non	1953-02-11			AYOTTE.BOEHMLER@yahoo.com	Téléphone	"0,00"		65	(450) 555-5028		"250 286,36"	BARKWELL CARLSON
800265	(450) 555-6934	(450) 555-0907	"3 268,66"	CAD								3	2	1	C		ARTHUR BARROWS		Français	Non	1947-07-28			CHARBONNEAU.OVERGAARD@videotron.ca	Téléphone	"0,00"		71	(450) 555-2160		"359 249,18"	BARROWS ARTHUR
800285	(450) 555-5251	(450) 555-1671	"1 933,46"	CAD								3	2	1	C	RECHANGE_PANIER	CHOY BASTET	~M-00015-0	Français	Non	1975-06-15			BOUDRIAS.CREATEAU@caramail.com	Téléphone	"0,00"		43	(450) 555-5182		"624 993,37"	BASTET CHOY
800002	(450) 555-7727	(450) 555-1322	"276 793,46"	CAD								3	2	1			AUGUSTUS BEANLAND		Français	Non	1948-09-12		girardkarine@croesus.com	mugurel.sco@croesus.com		"0,00"		70	(450) 555-2299		"2 526 185,98"	BEANLAND AUGUSTU
800238	(450) 555-5907	(450) 555-1414	"17 044,37"	CAD								3	2	1			RAYMOND BEAUCHEMIN		Anglais	Non	1959-10-11			CARTERS.CHOUINIERE@videotron.ca		"0,00"		59	(450) 555-2860		"1 563 718,37"	BEAUCH RAYMOND
800290			"10 505,86"	CAD									2	1			SWAN BELLA		Anglais	Non	1966-05-09			BELLA.SWAN@caramail.com		"0,00"		52			"402 047,14"	BELLA SWAN
800202	(450) 555-3088	(450) 555-1218	"8 192,46"	CAD								3	2	1			ANGELA BELLEROSE		Français	Non	1975-06-18			CHARTRAND.BROUILLARD@videotron.ca		"0,00"		43	(450) 555-9588		"95 598,26"	BELLEROSE ANGELA
800058	(450) 555-4422	(450) 555-6940	"13 292,29"	CAD								3	2	1			CARILYNE BELLINI		Anglais	Non	1970-12-12			BINNEY.BIGNUCOLO@videotron.ca		"0,00"		47	(450) 555-6078		"397 986,16"	BELLINI CARILYNE
800231	(450) 555-2263	(450) 555-8913	"(19 622,61)"	CAD			Secteur	% en contrats à terme indicels		85.36		3	2	1			BELLEROSE BELVAN ~2		Français	Non	1959-10-11			ALUN.CHAPMAN@usa.net		"0,00"		59	(450) 555-8880		"1 342 223,01"	BELVAN BELLEROSE
800219	(450) 555-0398	(450) 555-7757	"477,20"	CAD		1	Sous-catégorie	Autres obligations		12345.63		3	2	1			ARSENE BIANCHI		Français	Non	1965-03-07			CATHRINE.CARDEIRO@videotron.ca		"0,00"		53	(450) 555-4364		"6 173,80"	BIANCHI ARSENE
800223	123 456 7890	123 456-7890	"20 476,53"	CAD								3	2	1	A		//2 ALISSA Mid2 BIHOUR hon2		Français	Non	1965-03-07			TestCroesus@carmail.com		"0,00"		53	(450) 555-2693		"984 496,19"	BIHOUR ALISSA
800291	(416) 668-5656	(416) 668-0909	"26 185,62"	CAD								3	FDP_TEL2	FDP_TEL1	B		Mr. JACOB BLACK		Anglais	Non	1960-10-09			JACOB.BLACK@caramail.com		"0,00"		58	(416) 668-0909		"101 871,88"	BLACK JACOB
800255	(450) 555-2250	(450) 555-9406	"13 683,24"	CAD								3	2	1	C		CARMEN BLANCHARD		Français	Non	1981-08-12			BIBIANNE.FAGGIONI@yahoo.com		"0,00"		37	(450) 555-1419		"438 387,42"	BLANCHARD CARMEN
800207	(450) 555-7052	(450) 555-7611	"12 955,51"	CAD								3	2	1	D		BLUMARMIDON BLOOMFIELD		Français	Non	1975-06-18			BEDARD.BUFFONE@yahoo.com		"0,00"		43	(450) 555-5513		"1 107 309,75"	BLOOMFIELD BLUMA
800075	1234567890	9876543210	"75 359,48"	CAD								3	TYPE21	TYPE11			BRITES BORTOLUS		Français	Non	1975-06-18			Kach.Haja@CROESUS.COM		"0,00"		43	(450) 555-4395		"1 777 640,37"	BORTOLUS BRITES
800028	(450) 555-1414	(450) 555-1284	"0,00"	CAD								3	2	1			BRAD BRACKHAUS		Français	Non	1936-07-22			BANQUE.HILLIER@yahoo.com		"0,00"		82	(450) 555-0388		"0,00"	BRACKHAUS BRAD
800275	(450) 555-1983	(450) 555-4522	"0,00"	CAD								3	2	1			BRASSERIE CHEZ STAN ENR.		Français	Non	1975-06-15			CARLOS.COURTNALL@caramail.com		"0,00"		43	(450) 555-1950		"0,00"	BRASSERIE STAN
800282			"0,00"	CAD								3	2	1			ALAIN BREESE		Anglais	Non	1975-06-15			BREESE.SHERMAN@yahoo.com		"0,00"		43	(450) 555-3334		"0,00"	BREESE ALAIN
800283-1			"35 969,79"	CAD		t	Numéro de titre	% en actions privilégiées				3	2	1			ALAIN BREESE		Anglais	Non	1975-06-15			ADOLFO.CHICHAK@usa.net		"0,00"		43			"35 969,79"	BREESE ALAIN
800083-2	450 6626101B	1234567890	"0,00"	CAD	90 000							3	TiTi3	ToTo3			BéBé BREESE		Anglais	Non				Toto3@yahoo.ds		"0,00"					"0,00"	BREESE BÉBÉ
800283-2			"35 969,79"	CAD	120 000							3	2	1			BéBé BREESE		Anglais	Oui				ADOLFO.CHICHAK@usa.net		"0,00"					"35 969,79"	BREESE BÉBÉ
900283			"0,00"	CAD								3	2	1			BéBé BREESE		Anglais	Non	1900-01-01			Boudouaou@test.com		"0,00"		118	777 888 9999		"0,00"	BREESE BéBé
800017	(450) 555-9114	(450) 555-8987	"8 173,69"	CAD								3	2	1			MARTIN BRODEUR VIGNEUX		Anglais	Non	1950-01-10			AUBUT.BRUCE@hotmail.com		"0,00"		68	(450) 555-9241		"193 143,58"	BRODEUR MARTIN
800081-1	450 6626101B	1234567890	"2 758,48"	CAD								3	TiTi1	ToTo1			CLARENCE BROGAN		Français	Non				Toto1@yahoo.ds		"0,00"					"432 140,27"	BROGAN CLARENCE-
800057	(450) 555-7203	(450) 555-8729	"5 685,62"	CAD								3	2	1	D		BRASSEURS BUCHER		Anglais	Non	1970-12-12			ARSENE.BIANCHI@hotmail.com	Téléphone	"0,00"		47	(450) 555-7607		"426 036,17"	BUCHER BRASSEURS
800259	(450) 555-8616	(450) 555-9526	"6 826,00"	CAD								3	2	1	C		ACURA BULLETIN		Anglais	Non	1981-08-12			BRUCE.KEEHN@caramail.com	Téléphone	"0,00"		37	(450) 555-5647		"767 665,84"	BULLETIN ACURA
800281	(450) 555-9313	(450) 555-9586	"924,94"	CAD								3	2	1	D		ALAIN BURDETT		Français	Non	1975-06-15			BILL.SHERMAN@yahoo.com	Téléphone	"0,00"		43	(450) 555-3347		"476 992,31"	BURDETT ALAIN
800050	2484-4613	1241-2307	"0,00"	USD			Numéro de titre	% en bons de souscription		5874.36		3	2	1			Business1		Français	Non	1900-01-01			Pardis@ihsam.amal		"0,00"		118	(450) 555-6910		"0,00"	BUSINESS1
900051			"0,00"	CAD	900 000							3	2	1			Business1		Français	Non	1900-01-01			Boudouaou@test.com		"0,00"		118	777 888 9999		"0,00"	Business1
800052			"3 918,96"	CAD								3	2	1			Business3		Français	Non	1900-01-01			BAGGA.BERCIER@yahoo.com		"0,00"		118	(450) 555-8992		"589 870,70"	BUSINESS3
800053			"9 840,14"	CAD								3	2	1			Business4		Français	Non	1900-01-01			CATHERINE.BERLINGUETTE@videotron.ca		"0,00"		118	(450) 555-1298		"409 968,01"	BUSINESS4
800054			"16 845,54"	CAD								3	2	1			Business5		Français	Non	1900-01-01			ADRIEN.BERRROUARD@usa.net		"0,00"		118	(450) 555-8729		"453 074,31"	Business5
300005	(450) 555-4444	(450) 555-4441	"49 951,27"	CAD								3	2	1			CALCULS ESCOMPTES		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442		"149 707,76"	CALCULS ESCOMPTE
300010	(450) 555-4444	(450) 555-4441	"561 665,94"	CAD							4	3	2	1			CALCULS GAINS/PERTES		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442	(450) 555-4443	"1 031 886,31"	CALCULS GAINS/PE
300006	(450) 555-4444	(450) 555-4441	"18 845,94"	CAD								3	2	1			CALCULS USD		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442		"207 974,22"	CALCULS USD
800258	(450) 555-1070	(450) 555-0523	"0,00"	CAD								3	2	1			BEATRICE CANESSO		Français	Non	1981-08-12			BRYSON.CORMIER@caramail.com		"0,00"		37	(450) 555-2887		"0,00"	CANESSO BEATRICE
800059	(450) 555-3924	(450) 555-6516	"5 373,05"	CAD								3	2	1			ADRIANA CAPEK		Anglais	Non	1970-12-12			AHMED.BINDAL@usa.net		"0,00"		47	(450) 555-9312		"1 805 523,66"	CAPEK ADRIANA
800294-2	(450) 555-1057	(450) 555-2279	"515,59"	CAD								3	FDP_TEL2	FDP_TEL1			MME MIREILLE ELIE CARON PROF		Français	Non	1949-01-14			ali.hachemi@croesus.com		"0,00"		69			"2 538,60"	CARON MIREILLE
900999	4187792306F		"0,00"	CAD	10 000							3	2	OSSOTH2			MIREILLE CARON PROF		Français	Non	1949-01-14			Boudouaou@test.com		"0,00"		69	777 888 9999		"0,00"	CARON MIREILLE
800284	(450) 555-9890	(450) 555-4077	"505,40"	CAD								3	2	1			ARDEN CASTLE		Français	Non	1975-06-15			BALANCED.CRADDOCK@yahoo.com		"0,00"		43	(450) 555-4057		"40 172,61"	CASTLE ARDEN
800072	(450) 555-2128	(450) 555-7689	"86 171,10"	CAD								3	2	1			BRAY CATANI		Français	Non	1953-02-11			ANDREA.BONDY@hotmail.com		"0,00"		65	(450) 555-2334		"653 261,86"	CATANI BRAY
800200	(450) 555-9360	(450) 555-5958	"6 062,05"	CAD								3	2	1			AMIR CELLARD		Français	Non	1975-06-18			BRODEUR.DEMAERE@caramail.com		"0,00"		43	(450) 555-2687		"117 936,67"	CELLARD AMIR
800007	(450) 555-4475	(789) 555-9712	"253 183,15"	CAD								3	Type2	Type1			ANNEKE CHADILLON		Français	Oui	1948-09-12			test111@croesus.com		"0,00"		70	(450) 555-9951		"2 979 799,54"	CHADILLON ANNEKE
900007	(450) 555-4475	(789) 555-9712	"0,00"	CAD			Numéro de titre	% en actions privilégiées		"40,00"		3	Type2	Type1			ANNEKE CHADILLON		Français	Non	1948-09-12			test000@croesus.com		"0,00"		70	777 888 9999		"0,00"	CHADILLON ANNEKE
600001			"0,00"	CAD													CHAMPS TRF		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38			"0,00"	CHAMPS TRF
600002			"0,00"	CAD													CHAMPS TRF VIDE		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38			"0,00"	CHAMPS TRF VIDE
800032	6133897715	123 456 7890	"0,00"	CAD								3	FDP_TEL2	OSSOTH2			CHARITABLE GIFT FUNDS QUEBEC FOUNDATION		Français	Non	1900-01-01			CARLSON.BARKWELL@caramail.com		"0,00"		118	(450) 555-9310		"0,00"	CHARITABLE GIFT
800250-5	7592822		"0,00"	CAD								3	2	OSSOTH			FILS BOURBON CHARLES		Français	Oui				ed@cr.ca		"0,00"					"0,00"	CHARLES BOURBON
800244	(450) 555-1057	(450) 555-2279	"515,59"	CAD								3	FDP_TEL2	FDP_TEL1			ADRIAN CHATEAUNEUF		Français	Non	1941-05-20			ali.hachemi@croesus.com		"0,00"		77	(450) 555-9312		"2 538,60"	CHATEAUNEUF ADRI
900294	(450) 555-1057	(450) 555-2279	"0,00"	CAD	148 000							3	FDP_TEL2	FDP_TEL1			ADRIAN CHATEAUNEUF		Français	Oui	1941-05-20			ali.hachemi@croesus.com		"0,00"		77	777 888 9999		"0,00"	CHATEAUNEUF ADRI
800008-1	(514) 666-4476	(900) 555-9713	"253 673,78"	CAD								3	tyPE22	TYPE21			Mr. Aya Chef DR.		Français	Non	1936-10-10			test111@croesus.com		"0,00"		82			"1 226 086,72"	Chef Aya
800027	(450) 555-4476	(450) 555-9713	"36 594,64"	CAD								3	2	1			//1 PAUL Mid1 CHENIER hon1		Français	Non	1950-01-10			ARIANE.BANG@hotmail.com		"0,00"		68	(450) 555-0250		"973 434,77"	CHENIER PAUL
800253	(450) 555-8945	(450) 555-6431	"0,00"	CAD								3	2	1			DUHAMEL CICANSKY		Français	Non	1981-08-12			ALOYSIUS.HISCOCKS@usa.net		"0,00"		37	(450) 555-8676		"0,00"	CICANSKY DUHAMEL
800209	(450) 555-5562	(450) 555-5034	"0,00"	CAD						12354.25		3	2	1			BRETT CLEMENT		Anglais	Non	1936-10-10			ARLETTE.BULL@hotmail.com		"0,00"		82	(450) 555-1383		"0,00"	CLEMENT BRETT
800033	5144584732		"1 463,29"	CAD								3	2	FDP_TEL1			COCO		Français	Non	1900-01-01			ARTHUR.BARROWS@hotmail.com		"0,00"		118	(450) 555-1370		"521 037,01"	COCO
800080-1	450 6626101B	1234567890	"5 005,94"	CAD								3	TiTi	ToTo			BORDELEAU CONWAY		Français	Non				Toto@yahoo.ds		"0,00"					"895 925,09"	CONWAY BORDELEAU
800012	(450) 555-0007	(450) 555-1949	"0,00"	CAD								3	2	1			BOURSE COUSSON		Anglais	Non	1950-01-10			CARRIE.ARSENEAU@videotron.ca		"0,00"		68	(450) 555-5018		"0,00"	COUSSON BOURSE
800292-1	123 456 7890	(416) 666-6543	"7 129,08"	CAD									FDP_TEL2	Type1			CARLISLE CULLEN		Anglais	Non				CARLISLE.CULLEM@yahoo.ca		"0,00"					"286 801,89"	CULLEN CARLISLE
800289			"0,00"	USD									2	1			EDWARD jr. CULLEN		Français	Non	1964-05-09			EDWARD.CULLEM@caramail.com		"0,00"		54			"0,00"	CULLEN EDWARD
800010	(450) 555-4476	(450) 555-9713	"1 111,61"	CAD						9876543210		3	TEL.	TELEPHONE			AMERICO DABADIE		Français	Non	1950-01-10			test@essai.com		"0,00"		68	(450) 555-3448		"73 594,54"	DABADIE AMERICO
900010	123456789	987654321	"0,00"	CAD	18	1	Catégorie	Autres obligations		85693.25		3	Ph2	Ph1			AMERICO DABADIE		Français	Non	1950-01-10			qwerty@lfr.se		"0,00"		68	777 888 9999		"0,00"	DABADIE AMERICO
800044			"(71 385,96)"	CAD			Secteur	% en obligations à moyen-terme (5-10 ans)		12345678901		3	2	1			Tests de co-détention 1		Anglais	Non	1900-01-01			AVIS.BEDWELL@yahoo.com		"0,00"		118	(450) 555-9281		"367 036,04"	DE CO-DÉTENTION
800251	(450) 555-4859	(450) 555-0474	"12 613,56"	CAD								3	2	1			ANDREA7890123456789012345678901234567890DEEM56789012345678901234		Français	Non	1968-09-07			ali.hachemi@croesus.com		"0,00"		50	(450) 555-0181		"1 327 792,14"	DEEM567890123456
800047	(450) 555-2059	(450) 555-3010	"(8 501,45)"	CAD								3	2	1			YOGOURT DELISLE		Français	Non	1968-02-03			CARILYNE.BELLINI@caramail.com		"0,00"		50	(450) 555-1849		"567 024,82"	DELISLE YOGOURT
800288			"18 218,90"	CAD								3	2	1			ARNAST DEMERCHANT		Français	Non	1964-04-09			BERNICE.CROWLE@yahoo.com		"0,00"		54	(450) 555-9607		"44 559,16"	DEMERCHANT ARNAS
800263	(450) 555-1974	(450) 555-1470	"15 431,66"	CAD								3	2	1			AQUARIUS DODOK		Anglais	Non	1947-07-28			BELLA.LARRIVEE@yahoo.com		"0,00"		71	(450) 555-9842		"2 345 914,92"	DODOK AQUARIUS
800250-3	7592822		"0,00"	CAD								3	2	OSSOTH			MLLE BOURBON ELYSA		Français	Non				ed@cr.ca		"0,00"					"0,00"	ELYSA BOURBON
800063	(450) 555-8191	(450) 555-7525	"473 998,64"	CAD								3	2	1			BERNATCHEZ EVERTON		Français	Non	1970-12-12			CHINDA.BLAIKIE@videotron.ca		"0,00"		47	(450) 555-2841		"1 833 492,98"	EVERTON BERNATCH
800237	(450) 555-2466	(450) 555-8267	"10 630,96"	CAD								3	2	1			ANESTIS FATA		Français	Non	1959-10-11			BOUDREAU.CHIRIKDJIAN@caramail.com		"0,00"		59	(450) 555-7542		"492 899,76"	FATA ANESTIS
800043	4507742741		"23 726,11"	CAD								3	2	OSSOTH			FIDUCIE TESTAMENTAIRE FAMILIALE ADRESSE OLEKSIEW		Français	Non	1900-01-01			ALFREDA.BEDA@usa.net		"0,00"		118	(450) 555-8852		"612 472,99"	FIDUCIE TESTAMEN
800214	(450) 555-8651	(450) 555-9211	"3 107,75"	CAD								3	2	1			CATHY FORTIN		Français	Non	1936-10-10			CARILYNE.CALDER@caramail.com		"0,00"		82	(450) 555-5404		"120 218,91"	FORTIN CAT
800055-1	123456789	987654321	"0,00"	CAD								3	tt2	tt1			FRANCOIS BOMBARDIER		Français	Non				em1@qwert.com		"0,00"					"161 676,52"	FRANCOIS BOMBARD
800024	(450) 555-7248	(450) 555-5038	"27,80"	CAD								3	2	1			CELIA FRANCOIS		Français	Non	1950-01-10			BRANT.BALDING@caramail.com		"0,00"		68	(450) 555-6324		"27,80"	FRANCOIS CELIA
800055-2	123456789	987654321	"0,00"	CAD								3	tt2	tt1			FRANCOISE DAVID		Français	Non				em1@qwert.com		"0,00"					"161 676,52"	FRANCOISE DAVID
800046	(450) 555-3143	(450) 555-2128	"31 075,36"	CAD								3	2	1			CHRISTINE FRESEY		Français	Non	1968-02-03			ARGIA.BELIVEAU@hotmail.com		"0,00"		50	(450) 555-0669		"1 469 233,88"	FRESEY CHRISTINE
800280	1234567890	9876543210	"215 121,45"	CAD	111		Numéro de titre	% en autres produits dérivés		"85 552,00"		3	TYPE21	TYPE11			BENEZETTE GALLEY		Français	Non	1975-06-15			E11@CROESUS.COM		"0,00"		43	(450) 555-9786		"1 604 227,44"	GALLEY BENEZETTE
800021	(450) 555-7564	(450) 555-0541	"(27 223,37)"	CAD		8	Sous-catégorie	% en d'obligations canadiennes		852.36		3	2	1			BAYNE GARTON		Anglais	Non	1950-01-10			AAA@hotmail.com		"0,00"		68	(450) 555-5501		"1 385 172,97"	GARTON BAYNE
800267	(450) 555-5552	(450) 555-4777	"27 233,61"	CAD								3	2	1			ALOIS GATES		Français	Non	1947-07-28			BERNIE.COLELLA@yahoo.com		"0,00"		71	(450) 555-6300		"1 200 700,65"	GATES ALOIS
800041	4183346666		"388 181,71"	CAD								3	2	OSSOTH			GESTION ABCDEF INC.		Français	Non	1900-01-01			ANNEMARIE.BEAUDRY@hotmail.com		"0,00"		118	(450) 555-5602		"3 124 442,75"	GESTION ABCDEF I
800250-1	7592822		"0,00"	CAD								3	2	OSSOTH			MR BOURBON GHILZON DR		Français	Non	1968-09-07			ed@cr.ca		"0,00"		50			"0,00"	GHILZON BOURBON
800277	123 456 7890	123 456-7890	"27 229,24"	CAD								3	2	1			//1 ANGELLA Mid1 GIRARDIN hon1		Français	Non	1975-06-15			TestCroesus@carmail.com		"0,00"		43	(450) 555-4251		"1 032 303,72"	GIRARDIN ANGELLA
300007	(450) 555-4444	(450) 555-4441	"952 722,73"	CAD							4	3	2	1			GP VALIDATION		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442	(450) 555-4443	"952 722,73"	GP VALIDATION
800213	(450) 555-6400	(450) 555-0551	"9 178,02"	CAD								3	2	1			AMIOT GRACIE		Anglais	Non	1936-10-10			AUGUSTUS.CADOTTE@yahoo.com		"0,00"		82	(450) 555-1473		"1 040 331,72"	GRACIE AMIOT
800269			"0,00"	CAD								3	2	1			BARRY GREICO		Français	Non	1947-07-28			BELISLE.COMPTABLE@yahoo.com		"0,00"		71	(450) 555-8094		"0,00"	GREICO BARRY
800060			"266 432,63"	CAD		1		% en liquidités	111 rue dfffffff ftttt	8563.25		3	2	1			CHANTAL GRUEN		Français	Oui	1970-12-12			AMIOT.BIRT@hotmail.com		"0,00"		47	(450) 555-1306		"999 539,12"	GRUEN CHANTAL
800084-2	450 6626101B	1234567890	"9 184,65"	CAD								3	TiTi4	ToTo4			ALLAN GUERASSIMENKO		Français	Oui				Toto4@yahoo.ds		"0,00"					"2 599 148,85"	GUERASSIMENKO AL
800085	(450) 555-2559	(450) 555-4855	"3 150,94"	CAD	500 000							3	2	1			ALLAN GUERASSIMENKO		Anglais	Non	1975-06-18			BERTHIAUM.BRIDGMAN@yahoo.com		"0,00"		43	(450) 555-2499		"136 858,80"	GUERASSIMENKO AL
800279	(450) 555-8609	(450) 555-8745	"9 522,84"	CAD								3	2	1			OLIVIER GUIMOND		Français	Non	1975-06-15			CATHERYN.POIRE@videotron.ca		"0,00"		43	(450) 555-0091		"1 804 764,06"	GUIMOND OLIVIER
800061			"0,00"	CAD			Numéro de titre	% en autres valeurs mobilières				3	2	1			BONACE GURAK		Français	Non	1970-12-12			ARCHEVEQUE.BISH@hotmail.com		"0,00"		47	(450) 555-5030		"0,00"	GURAK BONACE
800287	(450) 555-0474	(450) 555-7343	"11 408,47"	CAD								3	2	1			AURORE HARTER		Français	Non	1964-04-09			ANGES.CROSKERY@hotmail.com		"0,00"		54	(450) 555-9184		"1 000 447,02"	HARTER AURORE
800001	(450) 555-6794	(450) 555-3879	"34 190,80"	CAD			Catégorie	% en actions privilégiées	"long texte de plusieurs 
ligne afind e valider l'affichage
dans l'export
le alt-p
les copye avec entête et
autres tests"	"123 456 789,00"		3	2	1			ALAIN HEFFELFINGER		Anglais	Non	1948-09-12			mugurel.scobiac@croesus.com		"0,00"		70	(450) 555-3513		"1 254 339,46"	HEFFELFINGER ALA
800249	(450) 555-6934	(450) 555-4795	"162 759,21"	CAD								3	2	1			ARRY HOFFMAN		Français	Non	1968-09-07			ali.hachemi@croesus.com		"0,00"		50	(450) 555-2219		"21 360 941,40"	HOFFMAN ARRY
800271	(450) 555-7821	(450) 555-9043	"0,00"	CAD						"78,00"		3	2	1			ACURA HOLLIS		Français	Non	1975-06-15			AURELIANO.CONNELL@yahoo.com		"0,00"		43	(450) 555-4080		"0,00"	HOLLIS ACURA
800243	(450) 555-0805	(450) 555-6049	"511,06"	CAD								3	2	1			ANTONINE HUMPHREY		Français	Non	1959-10-11			ali.hachemi@croesus.com		"0,00"		59	(450) 555-3135		"96 755,89"	HUMPHREY ANTONIN
800220	(450) 555-2470	(450) 555-4704	"0,00"	CAD								3	2	1			CAHTERINE ISMAN		Français	Non	1965-03-07			AUTOBUS.CARIGNAN@yahoo.com		"0,00"		53	(450) 555-0964		"0,00"	ISMAN CAHTERINE
