""	"Balance"	"Account No."	"IA Code"	"Telephone 1"	"Last Contact"	"Full Name"	"Date of Birth"	"Age"	"Assigned to"	"Name"
"Open"	"92,145.40"	"800248-NA"	"BD88"	"(450) 555-1478"	""	"BERANGERE TABAK"	"1968-09-07 12:00:00 AM"	"50"	""	"TABAK BERANGERE"
"Open"	"82,550.22"	"800072-SF"	"AC42"	"(450) 555-2128"	""	"BRAY CATANI"	"1953-02-11 12:00:00 AM"	"65"	""	"CATANI BRAY"
"Open"	"74,399.78"	"800082-RE"	"BD88"	"(450) 555-1298"	""	"BENNETT NEVINS"	"1975-06-18 12:00:00 AM"	"43"	""	"NEVINS BENNETT"
"Open"	"69,818.98"	"800075-RE"	"BD88"	"(450) 555-3387"	""	"BRITES BORTOLUS"	"1975-06-18 12:00:00 AM"	"43"	""	"BORTOLUS BRITES"
"Open"	"63,736.98"	"800060-OB"	"AC42"	"(450) 555-7403"	""	"CHANTAL GRUEN"	"1970-12-12 12:00:00 AM"	"47"	""	"GRUEN CHANTAL"
"Open"	"57,981.48"	"800217-SF"	"AC43"	"(450) 555-7061"	""	"BRUCE ADLER"	"1965-03-07 12:00:00 AM"	"53"	""	"ADLER BRUCE"
"Open"	"57,280.12"	"800036-GT"	"AC44"	"(450) 555-9221"	""	"BEVERALY JACOBSON"	"1967-04-23 12:00:00 AM"	"51"	""	"JACOBSON BEVERAL"
"Open"	"55,541.99"	"800013-OB"	"AC55"	"(450) 555-2336"	""	"BERNARDIN LANDRY"	"1950-01-10 12:00:00 AM"	"68"	""	"LANDRY BERNARDIN"
"Open"	"46,832.77"	"800001-OB"	"AC42"	"(450) 555-6794"	""	"ALAIN HEFFELFINGER"	"1948-09-12 12:00:00 AM"	"70"	""	"HEFFELFINGER ALA"
"Open"	"39,718.57"	"800212-FS"	"BD88"	"(450) 555-3598"	""	"ALICK SERGE"	"1936-10-10 12:00:00 AM"	"82"	"Nicolas Copernic"	"SERGE ALICK"
"Open"	"35,969.79"	"800283-HU"	"BD88"	"(450) 555-1106"	""	"ALAIN BREESE"	"1975-06-15 12:00:00 AM"	"43"	""	"BREESE ALAIN"
"Open"	"35,682.15"	"800062-OB"	"AC42"	"(450) 555-5792"	""	"AMALIE ISSENMAN"	"1970-12-12 12:00:00 AM"	"47"	""	"ISSENMAN AMALIE"
"Open"	"35,615.77"	"800248-OB"	"BD88"	"(450) 555-1478"	""	"BERANGERE TABAK"	"1968-09-07 12:00:00 AM"	"50"	""	"TABAK BERANGERE"
"Open"	"35,612.52"	"800048-FS"	"AC55"	"(450) 555-5398"	""	"ALOURDES KADOTA"	"1968-02-03 12:00:00 AM"	"50"	""	"KADOTA ALOURDES"
"Open"	"33,962.21"	"800280-RE"	"AC43"	"(450) 555-3727"	""	"BENEZETTE GALLEY"	"1975-06-15 12:00:00 AM"	"43"	""	"GALLEY BENEZETTE"
"Open"	"33,570.89"	"800027-FS"	"AC44"	"(450) 555-4476"	""	"PAUL CHENIER"	"1950-01-10 12:00:00 AM"	"68"	""	"CHENIER PAUL"
"Open"	"32,554.52"	"800002-NA"	"AC42"	"(450) 555-7727"	""	"AUGUSTUS BEANLAND"	"1948-09-12 12:00:00 AM"	"70"	""	"BEANLAND AUGUSTU"
"Open"	"31,174.81"	"800013-NA"	"AC55"	"(450) 555-2336"	""	"BERNARDIN LANDRY"	"1950-01-10 12:00:00 AM"	"68"	""	"LANDRY BERNARDIN"
"Open"	"28,573.36"	"800204-NA"	"BD66"	"(450) 555-8255"	""	"AYUKO ZIMMERMANN"	"1975-06-18 12:00:00 AM"	"43"	""	"ZIMMERMANN AYUKO"
"Open"	"25,494.83"	"800291-GT"	"AC42"	"(416) 668-5656"	""	"JACOB BLACK"	"1960-10-09 12:00:00 AM"	"58"	""	"BLACK JACOB"
"Open"	"23,310.50"	"800267-RE"	"AC43"	"(450) 555-5552"	""	"ALOIS GATES"	"1947-07-28 12:00:00 AM"	"71"	""	"GATES ALOIS"
"Open"	"21,697.85"	"800224-RE"	"AC42"	"(450) 555-5501"	""	"ALFONSO MCGRATH"	"1965-03-07 12:00:00 AM"	"53"	""	"MCGRATH ALFONSO"
"Open"	"21,517.30"	"800034-FS"	"AC42"	"(450) 555-9271"	""	"BARBEL BOWMAN"	"1936-07-22 12:00:00 AM"	"82"	""	"BOWMAN BARBEL"
"Open"	"19,427.63"	"800223-RE"	"BD88"	"(450) 555-2932"	""	"ALISSA BIHOUR"	"1965-03-07 12:00:00 AM"	"53"	"Nicolas Copernic"	"BIHOUR ALISSA"
"Open"	"19,163.08"	"800043-RE"	"AC42"	"(450) 555-7897"	""	"ADRESSE OLEKSIEW"	"1960-01-30 12:00:00 AM"	"58"	""	"OLEKSIEW ADRESSE"
"Open"	"18,916.76"	"800229-FS"	"BD88"	"(450) 555-4364"	""	"BALLANTYNE MALISKA"	"1965-03-07 12:00:00 AM"	"53"	""	"MALISKA BALLANTY"
"Open"	"18,819.75"	"800215-NA"	"AC43"	"(450) 555-3621"	""	"BERNARD VOYER"	"1936-10-10 12:00:00 AM"	"82"	""	"VOYER BERNARD"
"Open"	"18,218.90"	"800288-FS"	"BD66"	"(450) 555-4579"	""	"ARNAST DEMERCHANT"	"1964-04-09 12:00:00 AM"	"54"	""	"DEMERCHANT ARNAS"
"Open"	"17,336.80"	"800204-FS"	"BD66"	"(450) 555-8255"	""	"AYUKO ZIMMERMANN"	"1975-06-18 12:00:00 AM"	"43"	""	"ZIMMERMANN AYUKO"
"Open"	"17,066.41"	"800031-FS"	"AC42"	"(450) 555-6375"	""	"SOWLIN GREENSPOON"	"1936-07-22 12:00:00 AM"	"82"	""	"GREENSPOON SOWLI"
"Open"	"16,845.54"	"800054-FS"	"BD88"	"(450) 555-2656"	""	"276 184 275"	"1960-05-07 12:00:00 AM"	"58"	""	"SKRUNDZ BEAUDOIN"
"Open"	"16,048.24"	"800040-RE"	"AC55"	"(450) 555-3915"	""	"ANNEMARIE TON"	"1960-01-30 12:00:00 AM"	"58"	""	"TON ANNEMARIE"
"Open"	"16,028.35"	"800256-NA"	"AC42"	"(450) 555-9118"	""	"ADMAX ORLEAN"	"1981-08-12 12:00:00 AM"	"37"	""	"ORLEAN ADMAX"
"Open"	"15,972.50"	"800278-RE"	"AC42"	"(450) 555-2487"	""	"CIARAN TREN"	"1975-06-15 12:00:00 AM"	"43"	""	"TREN CIARAN"
