""	"Balance"	"Account No."	"Name"	"IA Code"	"Telephone 1"	"Currency"	"Last Contact"	"Full Name"	"Date of Birth"	"Age"	"Assigned to"
"Open"	"21,517.30"	"800034-FS"	"BOWMAN BARBEL"	"AC42"	"(450) 555-9271"	"CAD"	""	"BARBEL BOWMAN"	"1936-07-22 12:00:00 AM"	"82"	""
"Open"	"19,427.63"	"800223-RE"	"BIHOUR ALISSA"	"BD88"	"(450) 555-2932"	"CAD"	""	"ALISSA BIHOUR"	"1965-03-07 12:00:00 AM"	"53"	"Nicolas Copernic"
"Open"	"19,163.08"	"800043-RE"	"OLEKSIEW ADRESSE"	"AC42"	"(450) 555-7897"	"CAD"	""	"ADRESSE OLEKSIEW"	"1960-01-30 12:00:00 AM"	"58"	""
"Open"	"18,916.76"	"800229-FS"	"MALISKA BALLANTY"	"BD88"	"(450) 555-4364"	"CAD"	""	"BALLANTYNE MALISKA"	"1965-03-07 12:00:00 AM"	"53"	""
"Open"	"18,819.75"	"800215-NA"	"VOYER BERNARD"	"AC43"	"(450) 555-3621"	"CAD"	""	"BERNARD VOYER"	"1936-10-10 12:00:00 AM"	"82"	""
"Open"	"18,218.90"	"800288-FS"	"DEMERCHANT ARNAS"	"BD66"	"(450) 555-4579"	"CAD"	""	"ARNAST DEMERCHANT"	"1964-04-09 12:00:00 AM"	"54"	""
"Open"	"17,336.80"	"800204-FS"	"ZIMMERMANN AYUKO"	"BD66"	"(450) 555-8255"	"CAD"	""	"AYUKO ZIMMERMANN"	"1975-06-18 12:00:00 AM"	"43"	""
"Open"	"17,066.41"	"800031-FS"	"GREENSPOON SOWLI"	"AC42"	"(450) 555-6375"	"CAD"	""	"SOWLIN GREENSPOON"	"1936-07-22 12:00:00 AM"	"82"	""
"Open"	"16,845.54"	"800054-FS"	"SKRUNDZ BEAUDOIN"	"BD88"	"(450) 555-2656"	"CAD"	""	"276 184 275"	"1960-05-07 12:00:00 AM"	"58"	""
"Open"	"16,048.24"	"800040-RE"	"TON ANNEMARIE"	"AC55"	"(450) 555-3915"	"CAD"	""	"ANNEMARIE TON"	"1960-01-30 12:00:00 AM"	"58"	""
"Open"	"16,028.35"	"800256-NA"	"ORLEAN ADMAX"	"AC42"	"(450) 555-9118"	"CAD"	""	"ADMAX ORLEAN"	"1981-08-12 12:00:00 AM"	"37"	""
"Open"	"15,972.50"	"800278-RE"	"TREN CIARAN"	"AC42"	"(450) 555-2487"	"CAD"	""	"CIARAN TREN"	"1975-06-15 12:00:00 AM"	"43"	""
