""	"Balance"	"Account No."	"Name"	"IA Code"	"Telephone 1"	"Currency"	"Assigned to"
"Open"	"33,962.21"	"800280-RE"	"GALLEY BENEZETTE"	"AC43"	"(450) 555-3727"	"CAD"	""
"Open"	"33,570.89"	"800027-FS"	"CHENIER PAUL"	"AC44"	"(450) 555-4476"	"CAD"	""
"Open"	"32,554.52"	"800002-NA"	"BEANLAND AUGUSTU"	"AC42"	"(450) 555-7727"	"CAD"	""
"Open"	"31,174.81"	"800013-NA"	"LANDRY BERNARDIN"	"AC55"	"(450) 555-2336"	"USD"	""
"Open"	"28,573.36"	"800204-NA"	"ZIMMERMANN AYUKO"	"BD66"	"(450) 555-8255"	"CAD"	""
"Open"	"25,494.83"	"800291-GT"	"BLACK JACOB"	"AC42"	"(416) 668-5656"	"CAD"	""
"Open"	"23,310.50"	"800267-RE"	"GATES ALOIS"	"AC43"	"(450) 555-5552"	"CAD"	""
"Open"	"21,697.85"	"800224-RE"	"MCGRATH ALFONSO"	"AC42"	"(450) 555-5501"	"CAD"	""
"Open"	"21,517.30"	"800034-FS"	"BOWMAN BARBEL"	"AC42"	"(450) 555-9271"	"CAD"	""
"Open"	"19,427.63"	"800223-RE"	"BIHOUR ALISSA"	"BD88"	"(450) 555-2932"	"CAD"	"Nicolas Copernic"
"Open"	"19,163.08"	"800043-RE"	"OLEKSIEW ADRESSE"	"AC42"	"(450) 555-7897"	"CAD"	""
"Open"	"18,916.76"	"800229-FS"	"MALISKA BALLANTY"	"BD88"	"(450) 555-4364"	"CAD"	""
"Open"	"18,819.75"	"800215-NA"	"VOYER BERNARD"	"AC43"	"(450) 555-3621"	"CAD"	""
"Open"	"18,218.90"	"800288-FS"	"DEMERCHANT ARNAS"	"BD66"	"(450) 555-4579"	"CAD"	""
"Open"	"17,336.80"	"800204-FS"	"ZIMMERMANN AYUKO"	"BD66"	"(450) 555-8255"	"CAD"	""
"Open"	"17,066.41"	"800031-FS"	"GREENSPOON SOWLI"	"AC42"	"(450) 555-6375"	"CAD"	""
"Open"	"16,845.54"	"800054-FS"	"SKRUNDZ BEAUDOIN"	"BD88"	"(450) 555-2656"	"CAD"	""
"Open"	"16,048.24"	"800040-RE"	"TON ANNEMARIE"	"AC55"	"(450) 555-3915"	"CAD"	""
"Open"	"16,028.35"	"800256-NA"	"ORLEAN ADMAX"	"AC42"	"(450) 555-9118"	"CAD"	""
"Open"	"15,972.50"	"800278-RE"	"TREN CIARAN"	"AC42"	"(450) 555-2487"	"CAD"	""
