Titre	Taux	Source	Règlement	Portion de l'intérêt	Note	Nom	No client	Mouv. d'enc.	Invest. unit. manuel	Ind. VM	G/P cap. investi	Description	Traitement	Transaction	Code de CP	Type	Symbole	Quantité	Prix	Total	Commission	Gains/Pertes	Int. courus	Frais	PBR manuel	Solde	No de compte
M85810	1,00000000	TRF	2009/03/03	0,00	TRF	RAPPORT INTACC	800502	9 866,40	0,000		0,00	PRIN-PROV QUEBEC   28JN10	2010/01/25	2009/03/03	BD88	Transfert	M85810	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800502-NA
M22691	1,00000000	TRF	2009/03/03	0,00	TRF	RAPPORT INTACC	800502	5 787,70	0,000		0,00	INT-HYDRO QUEBEC   16JA20	2010/01/25	2009/03/03	BD88	Transfert	M22691	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800502-NA
	1,00000000	DEP	2009/03/03	0,00	Depot	RAPPORT INTACC	800502	500 000,00	0,000		0,00	SOLDE ( CAD )	2010/01/25	2009/03/03	BD88	Dépôt	1CAD	0,00	0,000	500 000,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800502-NA
M60899	1,00000000	VEN	2010/01/27	0,00	Vente	PROJ. INC. RPT	800401	0,00	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2010/01/22	BD88	Vente	M60899	(10 000)	99,950	9 995,00	0,00	0,00	0,00	0,00	0,000	453 258,00	800401-NA
M86062	1,00000000	ACH	2010/01/20	0,00	ACH	PROJ. INC. RPT	800401	0,00	0,000		0,00	INT-MONTREAL       30JA11	2010/01/25	2010/01/20	BD88	Achat	M86062	10 000	99,000	(9 900,00)	0,00	0,00	0,00	0,00	0,000	443 263,00	800401-NA
M22142	1,00000000	ACH	2010/01/20	0,00	ACH	PROJ. INC. RPT	800401	0,00	0,000		0,00	INT-CANADA GOVT     1JN15	2010/01/25	2010/01/20	BD88	Achat	M22142	10 000	85,500	(8 550,00)	0,00	0,00	0,00	0,00	0,000	453 163,00	800401-NA
M60899	1,00000000	ACH	2009/12/31	0,00	ACH	PROJ. INC. RPT	800401	0,00	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2009/12/31	BD88	Achat	M60899	10 000	99,900	(9 990,00)	0,00	0,00	0,00	0,00	0,000	461 713,00	800401-NA
M02717	1,00000000	TRF	2009/12/28	0,00	TRF	PROJ. INC. RPT	800401	9 723,10	0,000		0,00	PRIN-HYDRO QUEBEC  26SP11	2010/01/25	2009/12/28	BD88	Transfert	M02717	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	471 703,00	800401-NA
M84827	1,00000000	TRF	2009/12/28	0,00	TRF	PROJ. INC. RPT	800401	8 592,40	0,000		0,00	INT-HYDRO QUEBEC   15AO14	2010/01/25	2009/12/28	BD88	Transfert	M84827	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	471 703,00	800401-NA
M60899	1,00000000	TRF	2009/12/11	0,00	TRF	PROJ. INC. RPT	800401	9 989,20	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2009/12/11	BD88	Transfert	M60899	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	471 703,00	800401-NA
X10428	1,06000000	TRF	2009/12/11	0,00	TRF	PROJ. INC. RPT	800401	10 997,50	0,000		0,00	TIME WARN   8.75% 10JA15*	2010/01/25	2009/12/11	BD88	Transfert	X10428	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	471 703,00	800401-NA
M22762	1,06000000	ACH	2009/12/11	0,00	ACH	PROJ. INC. RPT	800401	0,00	0,000		0,00	INT-HYDRO QUE  U$  13JA13	2010/01/25	2009/12/11	BD88	Achat	M22762	10 000	93,500	(9 911,00)	0,00	0,00	0,00	0,00	0,000	471 703,00	800401-NA
M86062	1,00000000	ACH	2009/12/11	0,00	ACH	PROJ. INC. RPT	800401	0,00	0,000		0,00	INT-MONTREAL       30JA11	2010/01/25	2009/12/11	BD88	Achat	M86062	10 000	98,860	(9 886,00)	0,00	0,00	0,00	0,00	0,000	481 614,00	800401-NA
M22142	1,00000000	ACH	2009/12/11	0,00	ACH	PROJ. INC. RPT	800401	0,00	0,000		0,00	INT-CANADA GOVT     1JN15	2010/01/25	2009/12/11	BD88	Achat	M22142	10 000	85,000	(8 500,00)	0,00	0,00	0,00	0,00	0,000	491 500,00	800401-NA
M85810	1,00000000	TRF	2009/12/11	0,00	TRF	PROJ. INC. RPT	800401	9 936,90	0,000		0,00	PRIN-PROV QUEBEC   28JN10	2010/01/25	2009/12/11	BD88	Transfert	M85810	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800401-NA
M22691	1,00000000	TRF	2009/12/11	0,00	TRF	PROJ. INC. RPT	800401	6 222,70	0,000		0,00	INT-HYDRO QUEBEC   16JA20	2010/01/25	2009/12/11	BD88	Transfert	M22691	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800401-NA
	1,00000000	DEP	2009/12/11	0,00	Depot	PROJ. INC. RPT	800401	500 000,00	0,000		0,00	SOLDE ( CAD )	2010/01/25	2009/12/11	BD88	Dépôt	1CAD	0,00	0,000	500 000,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800401-NA
M60899	1,00000000	VEN	2010/01/27	0,00	Vente	PROJ. INC. RPT	800400	0,00	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2010/01/22	BD88	Vente	M60899	(10 000)	99,950	9 995,00	0,00	0,00	0,00	0,00	0,000	453 258,00	800400-NA
M86062	1,00000000	ACH	2010/01/20	0,00	ACH	PROJ. INC. RPT	800400	0,00	0,000		0,00	INT-MONTREAL       30JA11	2010/01/25	2010/01/20	BD88	Achat	M86062	10 000	99,000	(9 900,00)	0,00	0,00	0,00	0,00	0,000	443 263,00	800400-NA
M22142	1,00000000	ACH	2010/01/20	0,00	ACH	PROJ. INC. RPT	800400	0,00	0,000		0,00	INT-CANADA GOVT     1JN15	2010/01/25	2010/01/20	BD88	Achat	M22142	10 000	85,500	(8 550,00)	0,00	0,00	0,00	0,00	0,000	453 163,00	800400-NA
	1,00000000	DEP	2010/01/11	0,00	Depot	PROJ. INC. RPT	800400	500 000,00	0,000		0,00	SOLDE ( CAD )	2010/01/25	2010/01/11	BD88	Dépôt	1CAD	0,00	0,000	500 000,00	0,00	0,00	0,00	0,00	0,000	461 713,00	800400-NA
M60899	1,00000000	ACH	2009/12/31	0,00	ACH	PROJ. INC. RPT	800400	0,00	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2009/12/31	BD88	Achat	M60899	10 000	99,900	(9 990,00)	0,00	0,00	0,00	0,00	0,000	(38 287,00)	800400-NA
M02717	1,00000000	TRF	2009/12/28	0,00	TRF	PROJ. INC. RPT	800400	9 723,10	0,000		0,00	PRIN-HYDRO QUEBEC  26SP11	2010/01/25	2009/12/28	BD88	Transfert	M02717	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	(28 297,00)	800400-NA
M84827	1,00000000	TRF	2009/12/28	0,00	TRF	PROJ. INC. RPT	800400	8 592,40	0,000		0,00	INT-HYDRO QUEBEC   15AO14	2010/01/25	2009/12/28	BD88	Transfert	M84827	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	(28 297,00)	800400-NA
M60899	1,00000000	TRF	2009/12/11	0,00	TRF	PROJ. INC. RPT	800400	9 989,20	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2009/12/11	BD88	Transfert	M60899	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	(28 297,00)	800400-NA
X10428	1,06000000	TRF	2009/12/11	0,00	TRF	PROJ. INC. RPT	800400	10 997,50	0,000		0,00	TIME WARN   8.75% 10JA15*	2010/01/25	2009/12/11	BD88	Transfert	X10428	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	(28 297,00)	800400-NA
M22762	1,06000000	ACH	2009/12/11	0,00	ACH	PROJ. INC. RPT	800400	0,00	0,000		0,00	INT-HYDRO QUE  U$  13JA13	2010/01/25	2009/12/11	BD88	Achat	M22762	10 000	93,500	(9 911,00)	0,00	0,00	0,00	0,00	0,000	(28 297,00)	800400-NA
M86062	1,00000000	ACH	2009/12/11	0,00	ACH	PROJ. INC. RPT	800400	0,00	0,000		0,00	INT-MONTREAL       30JA11	2010/01/25	2009/12/11	BD88	Achat	M86062	10 000	98,860	(9 886,00)	0,00	0,00	0,00	0,00	0,000	(18 386,00)	800400-NA
M22142	1,00000000	ACH	2009/12/11	0,00	ACH	PROJ. INC. RPT	800400	0,00	0,000		0,00	INT-CANADA GOVT     1JN15	2010/01/25	2009/12/11	BD88	Achat	M22142	10 000	85,000	(8 500,00)	0,00	0,00	0,00	0,00	0,000	(8 500,00)	800400-NA
M85810	1,00000000	TRF	2009/12/11	0,00	TRF	PROJ. INC. RPT	800400	9 936,90	0,000		0,00	PRIN-PROV QUEBEC   28JN10	2010/01/25	2009/12/11	BD88	Transfert	M85810	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	0,00	800400-NA
M22691	1,00000000	TRF	2009/12/11	0,00	TRF	PROJ. INC. RPT	800400	6 222,70	0,000		0,00	INT-HYDRO QUEBEC   16JA20	2010/01/25	2009/12/11	BD88	Transfert	M22691	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	0,00	800400-NA
B55444	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 838,04	0,000		0,00	PROV QUE U$ 6.125% 22JA11	2010/01/25	2010/01/11	BD88	Transfert	B55444	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
A36754	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	9 348,05	0,000		0,00	US TREAS NT  2.75% 15FV19	2010/01/25	2010/01/11	BD88	Transfert	A36754	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
R13369	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 844,14	0,000		0,00	ALCAN INC U$  5.2% 15JA14	2010/01/25	2010/01/11	BD88	Transfert	R13369	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
M22687	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	6 787,10	0,000		0,00	INT-HYDRO QUEBEC   16JA18	2010/01/25	2010/01/11	BD88	Transfert	M22687	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
R76899	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 047,38	0,000		0,00	CDN TIRE CPG 3.7%23JA12CA	2010/01/25	2010/01/11	BD88	Transfert	R76899	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
R35681	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 889,38	0,000		0,00	BELL ALIANT 6.29%  17FV15	2010/01/25	2010/01/11	BD88	Transfert	R35681	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
M85693	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	6 111,74	0,000		0,00	PRIN-MONTREAL       1DC19	2010/01/25	2010/01/11	BD88	Transfert	M85693	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
T83520	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	9 827,39	0,000		0,00	BHSBC CPG NCI3.15%12AU13A	2010/01/25	2010/01/11	BD88	Transfert	T83520	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
068061	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	13 588,75	0,000		0,00	BELL ALIANT REG COMM  T/U	2010/01/25	2010/01/11	BD88	Transfert	BA.UN	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
000527	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 426,77	0,000		0,00	ARC ENERGY P/F	2010/01/25	2010/01/11	BD88	Transfert	AET.UN	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
459947	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	12 890,40	0,000		0,00	BQ NATL CDA S21 5.375% PF	2010/01/25	2010/01/11	BD88	Transfert	NA.PR.N	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
000768	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	9 530,00	0,000		0,00	AES TR III 6.75% CV PFD	2010/01/25	2010/01/11	BD88	Transfert	AES.PR.C	200	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
000944	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	5 394,00	0,000		0,00	AT & T INC	2010/01/25	2010/01/11	BD88	Transfert	T	200	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
006882	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	11 934,04	0,000		0,00	AGNICO-EAGLE MINES LTD	2010/01/25	2010/01/11	BD88	Transfert	AEM	200	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
011368	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	17 450,00	0,000		0,00	ALCOA INC	2010/01/25	2010/01/11	BD88	Transfert	AA	1 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
642181	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	14 316,01	0,000		0,00	STREETTRACKS INDX SH FND*	2010/01/25	2010/01/11	BD88	Transfert	FEZ	250	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
642180	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	12 670,00	0,000		0,00	STREETTRACKS INDX SH FND*	2010/01/25	2010/01/11	BD88	Transfert	FEU	250	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355701	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	8 986,42	0,000		0,00	ISHARES CDN MSCI C$ ETF	2010/01/25	2010/01/11	BD88	Transfert	XIN	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355710	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 581,96	0,000		0,00	ISHARES CD SP/TSX FNL ETF	2010/01/25	2010/01/11	BD88	Transfert	XFN	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355711	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 722,60	0,000		0,00	ISHARES CD SP/TSX GLD ETF	2010/01/25	2010/01/11	BD88	Transfert	XGD	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355700	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 213,39	0,000		0,00	ISHARES CD SP/TSX INF ETF	2010/01/25	2010/01/11	BD88	Transfert	XIT	1 500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
399701	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	9 490,79	0,000		0,00	ISHARES CD SP/TSX MAT ETF	2010/01/25	2010/01/11	BD88	Transfert	XMA	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355696	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	12 817,65	0,000		0,00	ISHARES CDN S&P/TSX 60ETF	2010/01/25	2010/01/11	BD88	Transfert	XIU	750	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
399699	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	12 871,00	0,000		0,00	ISHARES CDN S&P500 C$ ETF	2010/01/25	2010/01/11	BD88	Transfert	XSP	1 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
354845	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 210,00	0,000		0,00	ISHARES MSCI JAPAN INDEX	2010/01/25	2010/01/11	BD88	Transfert	EWJ	1 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
103187	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	7 245,39	0,000		0,00	FD REV R/R CONNOR,CL PART	2010/01/25	2010/01/11	BD88	Transfert	RRB.UN	1 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
933323	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	9 416,39	0,000		0,00	CIBC MANAHLDVF1B  /N	2010/01/25	2010/01/11	BD88	Transfert	CBL170	100 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
460009	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	57 216,29	0,000		0,00	BANQUE NATIONALE DU CDA	2010/01/25	2010/01/11	BD88	Transfert	NA	1 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
221374	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	31 360,00	0,000		0,00	DISNEY WALT COMPANY	2010/01/25	2010/01/11	BD88	Transfert	DIS	1 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
006906	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	13 877,79	0,000		0,00	AGRIUM INC	2010/01/25	2010/01/11	BD88	Transfert	AGU	200	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
350717	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	51 628,00	0,000		0,00	INTERNET ARCHITECT	2010/01/25	2010/01/11	BD88	Transfert	IAH	1 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
V56635	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 408,53	0,000		0,00	MANULIFE FIN 4.896% 2JN14	2010/01/25	2010/01/11	BD88	Transfert	V56635	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
M85805	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	8 242,10	0,000		0,00	INT-PROV QUEBEC     1DC14	2010/01/25	2010/01/11	BD88	Transfert	M85805	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
Q49599	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 426,55	0,000		0,00	MONTREAL ICS    5% 30OC13	2010/01/25	2010/01/11	BD88	Transfert	Q49599	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
Q42798	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 200,15	0,000		0,00	LAVAL ICS    4.55% 27JN12	2010/01/25	2010/01/11	BD88	Transfert	Q42798	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
B55248	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 628,73	0,000		0,00	PROV QUEBEC     5% 1DC15S	2010/01/25	2010/01/11	BD88	Transfert	B55248	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
B30199	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 651,66	0,000		0,00	ONTARIO  5.375%     2DC12	2010/01/25	2010/01/11	BD88	Transfert	B30199	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
A25074	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 256,26	0,000		0,00	FID CDA HAB  3.95% 15JN13	2010/01/25	2010/01/11	BD88	Transfert	A25074	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
A21334	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 586,65	0,000		0,00	CANADA      5.25%  1JN12	2010/01/25	2010/01/11	BD88	Transfert	OBA	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
354933	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 536,00	0,000		0,00	ISHARES IBOXX$ INV GR CRP	2010/01/25	2010/01/11	BD88	Transfert	LQD	100	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355230	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	8 960,00	0,000		0,00	ISHARES IBOXX $ HI YLD BD	2010/01/25	2010/01/11	BD88	Transfert	HYG	100	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355698	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	14 151,31	0,000		0,00	ISHARES CDN DEX ST BD ETF	2010/01/25	2010/01/11	BD88	Transfert	XSB	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
399704	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	9 927,26	0,000		0,00	ISHARES CDN DEX R/RET ETF	2010/01/25	2010/01/11	BD88	Transfert	XRB	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
399709	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	9 835,11	0,000		0,00	ISHARES CDN DEX CP BD ETF	2010/01/25	2010/01/11	BD88	Transfert	XCB	500	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355697	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	28 457,81	0,000		0,00	ISHARES CD DEX UNI BD ETF	2010/01/25	2010/01/11	BD88	Transfert	XBB	1 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
354947	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 439,00	0,000		0,00	ISHARES BARC TIPS BOND FD	2010/01/25	2010/01/11	BD88	Transfert	TIP	100	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
355695	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	11 022,00	0,000		0,00	ISHARES BARC SHORT TSY BD	2010/01/25	2010/01/11	BD88	Transfert	SHV	100	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
354934	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	8 328,00	0,000		0,00	ISHARES BARC 1-3 YR TR BD	2010/01/25	2010/01/11	BD88	Transfert	SHY	100	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
211596	1,00000000	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 773,00	0,000		0,00	CURRENCYSHS JAPANESE YEN	2010/01/25	2010/01/11	BD88	Transfert	FXY	100	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
R93794	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	10 424,51	0,000		0,00	COMINAR SR-D CV6.5%30SP16	2010/01/25	2010/01/11	BD88	Transfert	CUF.DB.D	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
W56807	0,96993210	TRF	2010/01/11	0,00	TRF	1CALCUL SCORE	800302	9 819,55	0,000		0,00	BRC CAP CB10 7.288%29DC49	2010/01/25	2010/01/11	BD88	Transfert	RYT.NT.M	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00	800302-OB
