"Nom"	"No client"	"Code de CP"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Marge"	"Dern. Communication"	"Âge"	"Téléphone 3"	"Téléphone 4"	"Valeur totale"
"BELVAN BELLEROSE"	"800231"	"BD66"	"(450) 555-2263"	"(450) 555-8913"	"(19 622,61)"	"CAD"	"n/d"	""	"59"	"(450) 555-8880"	""	"1 342 223,01"
"BIANCHI ARSENE"	"800219"	"BD66"	"(450) 555-0398"	"(450) 555-7757"	"477,20"	"CAD"	"n/d"	""	"53"	"(450) 555-4364"	""	"(9 844,24)"
"BIHOUR ALISSA"	"800223"	"BD88"	"(450) 555-2932"	"(450) 555-6137"	"20 476,53"	"CAD"	"0,00"	""	"53"	"(450) 555-2693"	""	"973 412,01"
"BLACK JACOB"	"800291"	"AC42"	"(416) 668-5656"	"(416) 668-0909"	"27 803,84"	"CAD"	"0,00"	""	"58"	"(416) 668-0909"	""	"126 363,13"
"BLANCHARD CARMEN"	"800255"	"AC42"	"(450) 555-2250"	"(450) 555-9406"	"13 683,24"	"CAD"	"0,00"	""	"37"	"(450) 555-1419"	""	"425 726,86"
"BLOOMFIELD BLUMA"	"800207"	"AC42"	"(450) 555-7052"	"(450) 555-7611"	"12 955,51"	"CAD"	"0,00"	""	"43"	"(450) 555-5513"	""	"1 107 309,75"
"BOMBARDIER FRAN"	"800055"	"AC42"	"(450) 555-8078"	"(450) 555-6495"	"0,00"	"CAD"	"n/d"	""	"47"	"(450) 555-9282"	""	"96 043,85"
"BORTOLUS BRITES"	"800075"	"BD88"	"(450) 555-3387"	"(450) 555-3798"	"74 139,89"	"CAD"	"0,00"	""	"43"	"(450) 555-4395"	""	"1 766 644,10"
"BOWMAN BARBEL"	"800034"	"AC42"	"(450) 555-9271"	"(450) 555-2623"	"28 675,88"	"CAD"	"0,00"	""	"82"	"(450) 555-8693"	""	"220 995,64"
"BRABANTB BERVERL"	"800225"	"BD66"	"(450) 555-5808"	"(450) 555-3177"	"2 356,49"	"CAD"	"0,00"	""	"53"	"(450) 555-2074"	""	"901 793,33"
"BRACKHAUS BRAD"	"800028"	"AC44"	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	"n/d"	""	"82"	"(450) 555-0388"	""	"0,00"
"BRASSERIE STAN"	"800275"	"BD77"	"(450) 555-1983"	"(450) 555-4522"	"0,00"	"CAD"	"n/d"	""	"43"	"(450) 555-1950"	""	"0,00"
"BREESE ALAIN"	"800282"	"BD66"	"(450) 555-9334"	"(450) 555-9512"	"0,00"	"CAD"	"n/d"	""	"43"	"(450) 555-3334"	""	"0,00"
"BREESE ALAIN"	"800283"	"BD88"	"(450) 555-1106"	"(450) 555-8881"	"35 969,79"	"CAD"	"0,00"	""	"43"	"(450) 555-6194"	""	"35 969,79"
"BRODEUR MARTIN"	"800017"	"AC42"	"(450) 555-9114"	"(450) 555-8987"	"8 173,69"	"CAD"	"n/d"	""	"68"	"(450) 555-9241"	""	"193 143,58"
"BROGAN CLARENCE"	"800081"	"BD66"	"(450) 555-6934"	"(450) 555-0534"	"2 758,48"	"CAD"	"0,00"	""	"43"	"(450) 555-4339"	""	"432 145,24"
"BUCHER BRASSEURS"	"800057"	"AC42"	"(450) 555-7203"	"(450) 555-8729"	"5 685,62"	"CAD"	"0,00"	""	"47"	"(450) 555-7607"	""	"410 864,50"
"BULLETIN ACURA"	"800259"	"AC43"	"(450) 555-8616"	"(450) 555-9526"	"6 826,00"	"CAD"	"n/d"	""	"37"	"(450) 555-5647"	""	"748 368,90"
"BURDETT ALAIN"	"800281"	"BD66"	"(450) 555-9313"	"(450) 555-9586"	"924,94"	"CAD"	"n/d"	""	"43"	"(450) 555-3347"	""	"476 994,31"
"CALCULS ESCOMPTE"	"300005"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"49 951,27"	"CAD"	"n/d"	""	"38"	"(450) 555-4442"	""	"149 707,76"
"CALCULS GAINS/PE"	"300010"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"561 665,94"	"CAD"	"n/d"	""	"38"	"(450) 555-4442"	"(450) 555-4443"	"1 031 886,31"
"CALCULS USD"	"300006"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"18 845,94"	"CAD"	"n/d"	""	"38"	"(450) 555-4442"	""	"207 974,22"
"CALDER CARILYNE"	"800274"	"BD88"	"(450) 555-8856"	"(450) 555-8077"	"1 436,85"	"CAD"	"0,00"	""	"43"	"(450) 555-0261"	""	"60 482,00"
"CANESSO BEATRICE"	"800258"	"AC42"	"(450) 555-1070"	"(450) 555-0523"	"0,00"	"CAD"	"0,00"	""	"37"	"(450) 555-2887"	""	"0,00"
"CAPEK ADRIANA"	"800059"	"AC42"	"(450) 555-3924"	"(450) 555-6516"	"5 373,05"	"CAD"	"0,00"	""	"47"	"(450) 555-9312"	""	"1 745 473,21"
"CASTLE ARDEN"	"800284"	"BD66"	"(450) 555-9890"	"(450) 555-4077"	"505,40"	"CAD"	"n/d"	""	"43"	"(450) 555-4057"	""	"40 172,61"
"CATANI BRAY"	"800072"	"AC42"	"(450) 555-2128"	"(450) 555-7689"	"86 171,10"	"CAD"	"0,00"	""	"65"	"(450) 555-2334"	""	"598 245,13"
"CELLARD AMIR"	"800200"	"AC42"	"(450) 555-9360"	"(450) 555-5958"	"6 062,05"	"CAD"	"0,00"	""	"43"	"(450) 555-2687"	""	"117 938,65"
"CHADILLON ANNEKE"	"800007"	"AC42"	"(450) 555-0404"	"(450) 555-5460"	"(490,63)"	"CAD"	"n/d"	""	"70"	"(450) 555-9951"	""	"1 753 712,82"
"CHADILLON ANNEKE"	"800008"	"AC42"	"(450) 555-0404"	"(450) 555-5460"	"253 673,78"	"CAD"	"n/d"	""	"70"	"(450) 555-9951"	""	"1 220 246,97"
"CHAMPS TRF"	"600001"	"BD88"	""	""	"0,00"	"CAD"	"0,00"	""	"38"	""	""	"0,00"
"CHAMPS TRF VIDE"	"600002"	"BD88"	""	""	"0,00"	"CAD"	"n/d"	""	"38"	""	""	"0,00"
"CHAMPS TRF VIDE"	"600003"	"BD88"	""	""	"0,00"	"CAD"	"n/d"	""	"38"	""	""	"0,00"
"CHAMPS TRF VIDE"	"600004"	"BD88"	""	""	"0,00"	"CAD"	"n/d"	""	"38"	""	""	"0,00"
"CHATEAUNEUF ADRI"	"800244"	"AC42"	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"n/d"	""	"77"	"(450) 555-9312"	""	"0,00"
"CHATEAUNEUF ADRI"	"800294"	"AC42"	"(450) 555-1057"	"(450) 555-2279"	"931,67"	"CAD"	"0,00"	""	"77"	"(450) 555-9312"	""	"500 411,66"
"CHENIER PAUL"	"800027"	"AC44"	"(450) 555-4476"	"(450) 555-9713"	"36 594,64"	"CAD"	"n/d"	""	"68"	"(450) 555-0250"	""	"973 434,77"
"CICANSKY DUHAMEL"	"800253"	"BD77"	"(450) 555-8945"	"(450) 555-6431"	"0,00"	"CAD"	"n/d"	""	"37"	"(450) 555-8676"	""	"0,00"
"CLEMENT BRETT"	"800209"	"AC42"	"(450) 555-5562"	"(450) 555-5034"	"0,00"	"CAD"	"0,00"	""	"82"	"(450) 555-1383"	""	"0,00"
"CONWAY BORDELEAU"	"800080"	"BD66"	"(450) 555-6290"	"(450) 555-3377"	"5 005,94"	"CAD"	"n/d"	""	"43"	"(450) 555-5398"	""	"895 929,90"
"COUSSON BOURSE"	"800012"	"AC42"	"(450) 555-0007"	"(450) 555-1949"	"0,00"	"CAD"	"n/d"	""	"68"	"(450) 555-5018"	""	"0,00"
"CROIL CHRYSTIAN"	"800051"	"AC55"	"(450) 555-6110"	"(450) 555-9648"	"0,00"	"USD"	"n/d"	""	"58"	"(450) 555-8752"	""	"0,00"
"CULLEN CARLISLE"	"800292"	"BD88"	"(416) 666-9876"	"(416) 666-6543"	"7 129,08"	"CAD"	"0,00"	""	"78"	""	""	"286 801,89"
"CULLEN EDWARD"	"800289"	"AC42"	"(416) 666-9876"	"(416) 666-6543"	"0,00"	"USD"	"n/d"	""	"54"	""	""	"0,00"
"DABADIE AMERICO"	"800010"	"AC42"	"(450) 555-8486"	"(450) 555-2810"	"1 111,61"	"CAD"	"n/d"	""	"68"	"(450) 555-3448"	""	"73 594,54"
"DEEM ANDREA"	"800251"	"AC42"	"(450) 555-4859"	"(450) 555-0474"	"12 613,56"	"CAD"	"0,00"	""	"50"	"(450) 555-0181"	""	"1 310 696,34"
"DELISLE YOGOURT"	"800047"	"AC55"	"(450) 555-2059"	"(450) 555-3010"	"(8 501,45)"	"CAD"	"0,00"	""	"50"	"(450) 555-1849"	""	"567 024,82"
"DEMERCHANT ARNAS"	"800288"	"BD66"	"(450) 555-4579"	"(450) 555-5962"	"18 218,90"	"CAD"	"n/d"	""	"54"	"(450) 555-9607"	""	"44 559,16"
"DODOK AQUARIUS"	"800263"	"BD66"	"(450) 555-1974"	"(450) 555-1470"	"15 431,66"	"CAD"	"0,00"	""	"71"	"(450) 555-9842"	""	"1 930 441,47"
"DYNAMIQUE ALVARO"	"800039"	"AC42"	"(450) 555-4676"	"(450) 555-4168"	"0,00"	"CAD"	"n/d"	""	"58"	"(450) 555-7727"	""	"0,00"
"ERDMAN BERTHE"	"800032"	"AC55"	"(450) 555-1113"	"(450) 555-1905"	"0,00"	"CAD"	"n/d"	""	"82"	"(450) 555-9310"	""	"(32 419,63)"
"EVERTON BERNATCH"	"800063"	"AC42"	"(450) 555-8191"	"(450) 555-7525"	"473 998,64"	"CAD"	"n/d"	""	"47"	"(450) 555-2841"	""	"1 792 994,21"
"EXTERNAL TEMP"	"~E-00001"	"BD88"	""	""	"0,00"	"CAD"	"n/d"	""	""	""	""	"2 574,00"
"EXTERNAL TEST"	"~E-00000"	"AC42"	""	""	"71 105,76"	"CAD"	"0,00"	""	"7"	""	""	"71 105,76"
"FATA ANESTIS"	"800237"	"BD88"	"(450) 555-2466"	"(450) 555-8267"	"10 630,96"	"CAD"	"0,00"	""	"59"	"(450) 555-7542"	""	"492 899,76"
"FORTIN CAT"	"800214"	"BD88"	"(450) 555-8651"	"(450) 555-9211"	"3 107,75"	"CAD"	"n/d"	""	"82"	"(450) 555-5404"	""	"120 218,91"
"FOSTEN ALIETTE"	"800235"	"BD66"	"(450) 555-6802"	"(450) 555-2905"	"4 072,72"	"CAD"	"0,00"	""	"59"	"(450) 555-8093"	""	"657 592,08"
"FRANCOIS CELIA"	"800024"	"AC55"	"(450) 555-7248"	"(450) 555-5038"	"27,80"	"CAD"	"0,00"	""	"68"	"(450) 555-6324"	""	"27,80"
"FRESEY CHRISTINE"	"800046"	"AC55"	"(450) 555-3143"	"(450) 555-2128"	"31 075,36"	"CAD"	"0,00"	""	"50"	"(450) 555-0669"	""	"1 239 735,00"
"GALLATI BROCHU"	"800076"	"BD88"	"(450) 555-4536"	"(450) 555-9434"	"1 219,59"	"CAD"	"n/d"	""	"43"	"(450) 555-2551"	""	"10 996,27"
"GALLEY BENEZETTE"	"800280"	"AC43"	"(450) 555-3727"	"(450) 555-4080"	"215 121,45"	"CAD"	"0,00"	""	"43"	"(450) 555-9786"	""	"1 604 231,24"
"GARTON BAYNE"	"800021"	"AC44"	"(450) 555-7564"	"(450) 555-0541"	"(27 223,37)"	"CAD"	"n/d"	""	"68"	"(450) 555-5501"	""	"1 385 183,46"
"GATES ALOIS"	"800267"	"AC43"	"(450) 555-5552"	"(450) 555-4777"	"27 233,61"	"CAD"	"0,00"	""	"71"	"(450) 555-6300"	""	"1 200 707,22"
"GERRARD BROCK"	"800023"	"AC42"	"(450) 555-2673"	"(450) 555-1714"	"0,00"	"CAD"	"n/d"	""	"68"	"(450) 555-5063"	""	"0,00"
"GHILZON BOURBON"	"800250"	"AC42"	"(450) 555-4517"	"(450) 555-3322"	"0,00"	"CAD"	"n/d"	""	"50"	"(450) 555-2217"	""	"0,00"
"GIRARDIN ANGELLA"	"800277"	"AC42"	"(450) 555-7492"	"(450) 555-1520"	"27 229,24"	"CAD"	"0,00"	""	"43"	"(450) 555-4251"	""	"1 032 303,72"
"GP VALIDATION"	"300007"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"952 722,73"	"CAD"	"n/d"	""	"38"	"(450) 555-4442"	"(450) 555-4443"	"952 722,73"
"GRACIE AMIOT"	"800213"	"AC42"	"(450) 555-6400"	"(450) 555-0551"	"9 178,02"	"CAD"	"n/d"	""	"82"	"(450) 555-1473"	""	"1 040 331,72"
"GREENSPOON SOWLI"	"800031"	"AC42"	"(450) 555-6375"	"(450) 555-4339"	"140 392,51"	"CAD"	"n/d"	""	"82"	"(450) 555-4534"	""	"501 986,73"
"GREICO BARRY"	"800269"	"AC42"	"(450) 555-8618"	"(450) 555-2516"	"0,00"	"CAD"	"n/d"	""	"71"	"(450) 555-8094"	""	"0,00"
"GRUEN CHANTAL"	"800060"	"AC42"	"(450) 555-7403"	"(450) 555-9104"	"266 432,63"	"CAD"	"n/d"	""	"47"	"(450) 555-1306"	""	"999 539,12"
"GUERASSIMENKO AL"	"800085"	"AC42"	"(450) 555-2559"	"(450) 555-4855"	"3 150,94"	"CAD"	"0,00"	""	"43"	"(450) 555-2499"	""	"136 858,80"
"GUIMOND OLIVIER"	"800279"	"AC42"	"(450) 555-8609"	"(450) 555-8745"	"9 522,84"	"CAD"	"0,00"	""	"43"	"(450) 555-0091"	""	"1 804 766,79"
"GURAK BONACE"	"800061"	"AC42"	"(450) 555-5681"	"(450) 555-2065"	"0,00"	"CAD"	"0,00"	""	"47"	"(450) 555-5030"	""	"0,00"
"HARTER AURORE"	"800287"	"BD66"	"(450) 555-0474"	"(450) 555-7343"	"11 408,47"	"CAD"	"n/d"	""	"54"	"(450) 555-9184"	""	"1 000 448,72"
"HEFFELFINGER ALA"	"800001"	"AC42"	"(450) 555-6794"	"(450) 555-3879"	"34 190,80"	"CAD"	"n/d"	""	"70"	"(450) 555-3513"	""	"1 254 348,20"
"HOFFMAN ARRY"	"800249"	"BD88"	"(450) 555-6934"	"(450) 555-4795"	"162 759,21"	"CAD"	"n/d"	""	"50"	"(450) 555-2219"	""	"21 360 971,70"
"HOLLIS ACURA"	"800271"	"BD77"	"(450) 555-7821"	"(450) 555-9043"	"0,00"	"CAD"	"n/d"	""	"43"	"(450) 555-4080"	""	"0,00"
"HUMPHREY ANTONIN"	"800243"	"AC42"	"(450) 555-0805"	"(450) 555-6049"	"511,06"	"CAD"	"n/d"	""	"59"	"(450) 555-3135"	""	"(9 591,06)"
"ISMAN CAHTERINE"	"800220"	"AC42"	"(450) 555-2470"	"(450) 555-4704"	"0,00"	"CAD"	"0,00"	""	"53"	"(450) 555-0964"	""	"0,00"
"ISSENMAN AMALIE"	"800062"	"AC42"	"(450) 555-5792"	"(450) 555-5859"	"40 424,08"	"CAD"	"n/d"	""	"47"	"(450) 555-3247"	""	"105 950,56"
"JACOBSON BEVERAL"	"800036"	"AC44"	"(450) 555-9221"	"(450) 555-8285"	"358 856,66"	"CAD"	"n/d"	""	"51"	"(450) 555-9221"	""	"991 182,99"
"JAKOBSEN ANTONIU"	"800254"	"AC42"	"(450) 555-7000"	"(450) 555-6489"	"0,00"	"CAD"	"n/d"	""	"37"	"(450) 555-5568"	""	"0,00"
"JANELLE CARLEY"	"800221"	"BD88"	"(450) 555-8323"	"(450) 555-5347"	"3 265,27"	"CAD"	"n/d"	""	"53"	"(450) 555-5330"	""	"643 760,16"
"JANSEN BABCOCK"	"800078"	"BD88"	"(450) 555-0097"	"(450) 555-7078"	"0,00"	"CAD"	"n/d"	""	"43"	"(450) 555-6370"	""	"0,00"
"JOAN CAYLEY"	"800087"	"AC42"	"(450) 555-4064"	"(450) 555-0850"	"12 409,99"	"CAD"	"0,00"	""	"43"	"(450) 555-9125"	""	"381 075,28"
"KADOTA ALOURDES"	"800048"	"AC55"	"(450) 555-5398"	"(450) 555-5398"	"35 147,92"	"CAD"	"n/d"	""	"50"	"(450) 555-4403"	""	"555 430,01"
"KING MCKENZIE"	"800077"	"BD88"	"(450) 555-6516"	"(450) 555-7029"	"6 846,68"	"CAD"	"0,00"	""	"43"	"(450) 555-7381"	""	"170 018,56"
"KINOSHITA CHARTR"	"800260"	"BD66"	"(450) 555-1222"	"(450) 555-2627"	"562,82"	"CAD"	"0,00"	""	"71"	"(450) 555-7387"	""	"659 895,07"
"KLINGMAN AILLEEN"	"800079"	"BD66"	"(450) 555-5954"	"(450) 555-2795"	"1 963,11"	"CAD"	"n/d"	""	"43"	"(450) 555-6027"	""	"824 826,09"
"KNIGHT AMEDEE"	"800234"	"BD66"	"(450) 555-1766"	"(450) 555-1473"	"12 994,59"	"CAD"	"0,00"	""	"59"	"(450) 555-4070"	""	"661 333,42"
"KRABSEN BUBSIE"	"800042"	"AC42"	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"CAD"	"n/d"	""	"58"	"(450) 555-1172"	""	"0,00"
"KROEGER BABE"	"800014"	"AC42"	"(450) 555-4622"	"(450) 555-8363"	"0,00"	"CAD"	"0,00"	""	"68"	"(450) 555-0128"	""	"0,00"
"LAFERRIERE BLAKE"	"800272"	"BD88"	"(450) 555-4522"	"(450) 555-5815"	"27 967,43"	"CAD"	"0,00"	""	"43"	"(450) 555-8881"	""	"751 089,04"
"LANDRY BERNARDIN"	"800013"	"AC55"	"(450) 555-2336"	"(450) 555-7096"	"88 540,53"	"CAD"	"n/d"	""	"68"	"(450) 555-7846"	""	"1 948 194,25"
"LAPICO BERNICE"	"800218"	"AC42"	"(450) 555-6452"	"(450) 555-5224"	"608,13"	"CAD"	"n/d"	""	"53"	"(450) 555-2110"	""	"401 796,81"
"LAWLEY AIDAN"	"800050"	"AC55"	"(450) 555-6989"	"(450) 555-8616"	"0,00"	"USD"	"n/d"	""	"58"	"(450) 555-6910"	""	"0,00"
"LESTRAT ALUN"	"800037"	"AC44"	"(450) 555-2241"	"(450) 555-5351"	"11 006,85"	"CAD"	"n/d"	""	"51"	"(450) 555-5840"	""	"750 956,87"
"LEVEILLEE ABBAYE"	"800247"	"AC42"	"(450) 555-6604"	"(450) 555-3152"	"1 946,17"	"CAD"	"n/d"	""	"50"	"(450) 555-3933"	""	"701 336,46"
"LOUIS BRENNAN"	"800018"	"AC55"	"(450) 555-2486"	"(450) 555-6577"	"0,00"	"CAD"	"n/d"	""	"68"	"(450) 555-8865"	""	"0,00"
"LYE ALINE"	"800052"	"BD66"	"(450) 555-9363"	"(450) 555-9832"	"3 918,96"	"CAD"	"n/d"	""	"58"	"(450) 555-8992"	""	"586 512,59"
"LYTLE ALEX"	"800276"	"BD88"	"(450) 555-7542"	"(450) 555-3195"	"0,00"	"CAD"	"n/d"	""	"43"	"(450) 555-8412"	""	"0,00"
"MACDONALD CEDARS"	"800071"	"BD88"	"(450) 555-0523"	"(450) 555-7723"	"1 768,44"	"CAD"	"n/d"	""	"65"	"(450) 555-5770"	""	"108 893,79"
"MAHEU MATHIEU"	"800069"	"BD88"	"(450) 555-0843"	"(450) 555-8003"	"11 302,74"	"CAD"	"0,00"	""	"65"	"(450) 555-9745"	""	"161 133,13"
"MAINELLA ANGIOLI"	"800038"	"AC42"	"(450) 555-7211"	"(450) 555-3571"	"0,00"	"CAD"	"n/d"	""	"51"	"(450) 555-3616"	""	"458 579,49"
"MAKRIS ACACIA"	"800020"	"AC42"	"(450) 555-3128"	"(450) 555-7332"	"121 305,66"	"CAD"	"0,00"	""	"68"	"(450) 555-7588"	""	"4 384 629,07"
"MALISKA BALLANTY"	"800229"	"BD88"	"(450) 555-4364"	"(450) 555-5087"	"29 742,82"	"CAD"	"n/d"	""	"53"	"(450) 555-1113"	""	"819 748,15"
"MALITO CELINE"	"800009"	"AC42"	"(450) 555-8881"	"(450) 555-3223"	"0,00"	"CAD"	"n/d"	""	"70"	"(450) 555-4649"	""	"0,00"
"MALO BEAULIEU"	"800053"	"BD66"	"(450) 555-0152"	"(450) 555-5756"	"9 840,14"	"CAD"	"n/d"	""	"58"	"(450) 555-1298"	""	"409 971,34"
"MARCIL CARLE"	"800246"	"BD66"	"(450) 555-4339"	"(450) 555-3138"	"5 522,58"	"CAD"	"n/d"	""	"50"	"(450) 555-1328"	""	"550 369,13"
"MARSTON BRITT"	"800003"	"AC42"	"(450) 555-8077"	"(450) 555-1655"	"10 434,74"	"CAD"	"n/d"	""	"70"	"(450) 555-3691"	""	"817 598,26"
"MARTELLO AUDETTE"	"800268"	"AC42"	"(450) 555-1284"	"(450) 555-5778"	"4 111,26"	"CAD"	"0,00"	""	"71"	"(450) 555-3267"	""	"558 259,80"
"MASSIE BENNO"	"800205"	"BD88"	"(450) 555-4830"	"(450) 555-4237"	"19 858,84"	"CAD"	"n/d"	""	"43"	"(450) 555-1332"	""	"7 584 703,95"
"MCCOMBE AURELIAN"	"800222"	"BD77"	"(450) 555-6658"	"(450) 555-6615"	"0,00"	"CAD"	"n/d"	""	"53"	"(450) 555-1316"	""	"0,00"
"MCDOWALL CAYLEY"	"800086"	"AC42"	"(450) 555-4064"	"(450) 555-0850"	"11 094,54"	"CAD"	"0,00"	""	"43"	"(450) 555-9125"	""	"157 568,79"
"MCGILLICUDDY BLA"	"800006"	"AC42"	"(450) 555-2490"	"(450) 555-3099"	"(6 659,96)"	"CAD"	"0,00"	""	"70"	"(450) 555-3496"	""	"2 044 015,64"
"MCGRATH ALFONSO"	"800224"	"AC42"	"(450) 555-5501"	"(450) 555-3816"	"21 875,49"	"CAD"	"0,00"	""	"53"	"(450) 555-2397"	""	"473 632,89"
"MCINTAGGART ALDE"	"800203"	"AC42"	"(450) 555-2933"	"(450) 555-0804"	"13 294,55"	"CAD"	"0,00"	""	"43"	"(450) 555-3578"	""	"520 184,64"
"MCMULLIN CELESTE"	"800273"	"BD88"	"(450) 555-0869"	"(450) 555-3055"	"29 680,29"	"CAD"	"0,00"	""	"43"	"(450) 555-2933"	""	"2 074 462,54"
"MCNEIL BELISLE"	"800030"	"AC55"	"(450) 555-8360"	"(450) 555-3453"	"39 308,65"	"CAD"	"n/d"	""	"82"	"(450) 555-8921"	""	"404 304,26"
"MIGUÉ BECHARA"	"800016"	"AC44"	"(450) 555-5962"	"(450) 555-9688"	"0,00"	"CAD"	"0,00"	""	"68"	"(450) 555-1163"	""	"0,00"
"MURDOCK BRUCE"	"800201"	"AC42"	"(450) 555-7515"	"(450) 555-1014"	"1 260,05"	"CAD"	"n/d"	""	"43"	"(450) 555-5468"	""	"73 332,75"
"MUTCHMORE ANNU"	"800206"	"BD77"	"(450) 555-7763"	"(450) 555-0545"	"9 136,78"	"CAD"	"0,00"	""	"43"	"(450) 555-3782"	""	"1 063 721,65"
"NEILL ANTOINETTE"	"800083"	"BD66"	"(450) 555-2470"	"(450) 555-9021"	"0,00"	"CAD"	"n/d"	""	"43"	"(450) 555-0636"	""	"0,00"
"NEVINS BENNETT"	"800082"	"BD88"	"(450) 555-1298"	"(450) 555-7980"	"93 297,43"	"CAD"	"0,00"	""	"43"	"(450) 555-3222"	""	"1 993 045,46"
"NOEL AQUARIUS"	"800029"	"AC42"	"(450) 555-5750"	"(450) 555-8918"	"0,00"	"CAD"	"n/d"	""	"82"	"(450) 555-1771"	""	"0,00"
