"No client"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Type tél. 4"	"Type tél. 3"	"Type tél. 2"	"Type tél. 1"	"Segmentation"	"Nom modèle"	"Nom complet"	"No modèle"	"Langue"	"Date de naissance"	"Courriel 3"	"Courriel 2"	"Courriel 1"	"Communication"	"Marge"	"Dern. Communication"	"Âge"	"Téléphone 3"	"Téléphone 4"	"Valeur totale"	"Nom"
"800252"	"(450) 555-4265"	"(450) 555-8593"	"4 025,21"	"CAD"	""	"3"	"2"	"1"	""	""	"BACHIR ATHANASOPOULOS"	""	"Français"	"1968/09/07"	""	""	"CHRISTINE.PALIOTTI@videotron.ca"	""	"0,00"	""	"50"	"(450) 555-2044"	""	"2 459 037,51"	"ATHANASOPOULOS B"
"800240"	"(450) 555-4284"	"(450) 555-3001"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"AUDREY AUBREY"	""	"Anglais"	"1959/10/11"	""	""	"ASTRID.CLARK@hotmail.com"	""	"n/d"	""	"59"	"(450) 555-7115"	""	"(90 797,09)"	"AUBREY AUDREY"
"800270"	"(450) 555-7755"	"(450) 555-7411"	"(5 643,79)"	"CAD"	""	"3"	"2"	"1"	""	""	"ARLEEN BALBUL"	""	"Français"	"1947/07/28"	""	""	"AMEDE.CARLETON@usa.net"	""	"n/d"	""	"71"	"(450) 555-0404"	""	"762 950,13"	"BALBUL ARLEEN"
"800232"	"(450) 555-1002"	"(450) 555-1070"	"649,99"	"CAD"	""	"3"	"2"	"1"	""	""	"CATHERINA BARBOUR"	""	"Français"	"1959/10/11"	""	""	"BARBARA.CHARITY@yahoo.com"	""	"n/d"	""	"59"	"(450) 555-4988"	""	"684 176,03"	"BARBOUR CATHERIN"
"800068"	"(450) 555-6025"	"(450) 555-5840"	"390,66"	"CAD"	""	"3"	"2"	"1"	""	""	"CARLSON BARKWELL"	""	"Français"	"1953/02/11"	""	""	"AYOTTE.BOEHMLER@yahoo.com"	""	"n/d"	""	"65"	"(450) 555-5028"	""	"229 634,16"	"BARKWELL CARLSON"
"800265"	"(450) 555-6934"	"(450) 555-0907"	"3 268,66"	"CAD"	""	"3"	"2"	"1"	""	""	"ARTHUR BARROWS"	""	"Français"	"1947/07/28"	""	""	"CHARBONNEAU.OVERGAARD@videotron.ca"	""	"n/d"	""	"71"	"(450) 555-2160"	""	"359 249,18"	"BARROWS ARTHUR"
"800033"	"(450) 555-7498"	"(450) 555-1584"	"1 463,29"	"CAD"	""	"3"	"2"	"1"	""	""	"BLAINE BARTLEY"	""	"Français"	"1936/07/22"	""	""	"ARTHUR.BARROWS@hotmail.com"	""	"0,00"	""	"82"	"(450) 555-1370"	""	"(121 197,11)"	"BARTLEY BLAINE"
"800285"	"(450) 555-5251"	"(450) 555-1671"	"1 933,46"	"CAD"	""	"3"	"2"	"1"	""	""	"CHOY BASTET"	""	"Français"	"1975/06/15"	""	""	"BOUDRIAS.CREATEAU@caramail.com"	""	"0,00"	""	"43"	"(450) 555-5182"	""	"624 999,93"	"BASTET CHOY"
"800002"	"(450) 555-7727"	"(450) 555-1322"	"276 793,46"	"CAD"	""	"3"	"2"	"1"	""	""	"AUGUSTUS BEANLAND"	""	"Français"	"1948/09/12"	""	""	"BING.ALLIE@yahoo.com"	""	"0,00"	""	"70"	"(450) 555-2299"	""	"2 525 767,96"	"BEANLAND AUGUSTU"
"800238"	"(450) 555-5907"	"(450) 555-1414"	"17 044,37"	"CAD"	""	"3"	"2"	"1"	""	""	"RAYMOND BEAUCHEMIN"	""	"Anglais"	"1959/10/11"	""	""	"CARTERS.CHOUINIERE@videotron.ca"	""	"0,00"	""	"59"	"(450) 555-2860"	""	"1 563 718,37"	"BEAUCH RAYMOND"
"800202"	"(450) 555-3088"	"(450) 555-1218"	"8 192,46"	"CAD"	""	"3"	"2"	"1"	""	""	"ANGELA BELLEROSE"	""	"Français"	"1975/06/18"	""	""	"CHARTRAND.BROUILLARD@videotron.ca"	""	"n/d"	""	"43"	"(450) 555-9588"	""	"95 601,37"	"BELLEROSE ANGELA"
"800058"	"(450) 555-4422"	"(450) 555-6940"	"13 292,29"	"CAD"	""	"3"	"2"	"1"	""	""	"CARILYNE BELLINI"	""	"Anglais"	"1970/12/12"	""	""	"BINNEY.BIGNUCOLO@videotron.ca"	""	"0,00"	""	"47"	"(450) 555-6078"	""	"372 615,15"	"BELLINI CARILYNE"
"800231"	"(450) 555-2263"	"(450) 555-8913"	"(19 622,61)"	"CAD"	""	"3"	"2"	"1"	""	""	"FABRICE BELLEROSE BELVAN"	""	"Français"	"1959/10/11"	""	""	"ALUN.CHAPMAN@usa.net"	""	"n/d"	""	"59"	"(450) 555-8880"	""	"1 342 223,01"	"BELVAN BELLEROSE"
"800219"	"(450) 555-0398"	"(450) 555-7757"	"477,20"	"CAD"	""	"3"	"2"	"1"	""	""	"ARSENE BIANCHI"	""	"Français"	"1965/03/07"	""	""	"CATHRINE.CARDEIRO@videotron.ca"	""	"n/d"	""	"53"	"(450) 555-4364"	""	"(9 844,24)"	"BIANCHI ARSENE"
"800223"	"(450) 555-2932"	"(450) 555-6137"	"20 476,53"	"CAD"	""	"3"	"2"	"1"	""	""	"ALISSA BIHOUR"	""	"Français"	"1965/03/07"	""	""	"AUREL.CASSIR@yahoo.com"	""	"0,00"	""	"53"	"(450) 555-2693"	""	"973 412,01"	"BIHOUR ALISSA"
"800291"	"(416) 668-5656"	"(416) 668-0909"	"27 803,84"	"CAD"	""	"3"	"2"	"1"	""	""	"JACOB BLACK"	""	"Anglais"	"1960/10/09"	""	""	"JACOB.BLACK@caramail.com"	""	"0,00"	""	"58"	"(416) 668-0909"	""	"126 363,13"	"BLACK JACOB"
"800255"	"(450) 555-2250"	"(450) 555-9406"	"13 683,24"	"CAD"	""	"3"	"2"	"1"	""	""	"CARMEN BLANCHARD"	""	"Français"	"1981/08/12"	""	""	"BIBIANNE.FAGGIONI@yahoo.com"	""	"0,00"	""	"37"	"(450) 555-1419"	""	"425 726,86"	"BLANCHARD CARMEN"
"800207"	"(450) 555-7052"	"(450) 555-7611"	"12 955,51"	"CAD"	""	"3"	"2"	"1"	""	""	"BLUMARMIDON BLOOMFIELD"	""	"Français"	"1975/06/18"	""	""	"BEDARD.BUFFONE@yahoo.com"	""	"0,00"	""	"43"	"(450) 555-5513"	""	"1 107 309,75"	"BLOOMFIELD BLUMA"
"800055"	"(450) 555-8078"	"(450) 555-6495"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"FRANCOIS BOMBARDIER"	""	"Français"	"1970/12/12"	""	""	"AINSLIE.BERTUCCINI@usa.net"	""	"n/d"	""	"47"	"(450) 555-9282"	""	"96 043,85"	"BOMBARDIER FRAN"
"800075"	"(450) 555-3387"	"(450) 555-3798"	"74 139,89"	"CAD"	""	"3"	"2"	"1"	""	""	"BRITES BORTOLUS"	""	"Français"	"1975/06/18"	""	""	"AUDREY.BORTOLUS@hotmail.com"	""	"0,00"	""	"43"	"(450) 555-4395"	""	"1 766 644,10"	"BORTOLUS BRITES"
"800034"	"(450) 555-9271"	"(450) 555-2623"	"28 675,88"	"CAD"	""	"3"	"2"	"1"	""	""	"BARBEL BOWMAN"	""	"Français"	"1936/07/22"	""	""	"BLAINE.BARTLEY@yahoo.com"	""	"0,00"	""	"82"	"(450) 555-8693"	""	"220 995,64"	"BOWMAN BARBEL"
"800225"	"(450) 555-5808"	"(450) 555-3177"	"2 356,49"	"CAD"	""	"3"	"2"	"1"	""	""	"BERVERLY BRABANTB"	""	"Anglais"	"1965/03/07"	""	""	"BERYL.CATY@yahoo.com"	""	"0,00"	""	"53"	"(450) 555-2074"	""	"901 793,33"	"BRABANTB BERVERL"
"800028"	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"BRAD BRACKHAUS"	""	"Français"	"1936/07/22"	""	""	"BANQUE.HILLIER@yahoo.com"	""	"n/d"	""	"82"	"(450) 555-0388"	""	"0,00"	"BRACKHAUS BRAD"
"800275"	"(450) 555-1983"	"(450) 555-4522"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"BRASSERIE CHEZ STAN ENR."	""	"Français"	"1975/06/15"	""	""	"CARLOS.COURTNALL@caramail.com"	""	"n/d"	""	"43"	"(450) 555-1950"	""	"0,00"	"BRASSERIE STAN"
"800282"	"(450) 555-9334"	"(450) 555-9512"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"ALAIN BREESE"	""	"Français"	"1975/06/15"	""	""	"BREESE.SHERMAN@yahoo.com"	""	"n/d"	""	"43"	"(450) 555-3334"	""	"0,00"	"BREESE ALAIN"
"800283"	"(450) 555-1106"	"(450) 555-8881"	"35 969,79"	"CAD"	""	"3"	"2"	"1"	""	""	"ALAIN BREESE"	""	"Français"	"1975/06/15"	""	""	"ADOLFO.CHICHAK@usa.net"	""	"0,00"	""	"43"	"(450) 555-6194"	""	"35 969,79"	"BREESE ALAIN"
"800017"	"(450) 555-9114"	"(450) 555-8987"	"8 173,69"	"CAD"	""	"3"	"2"	"1"	""	""	"MARTIN BRODEUR VIGNEUX"	""	"Anglais"	"1950/01/10"	""	""	"AUBUT.BRUCE@hotmail.com"	""	"n/d"	""	"68"	"(450) 555-9241"	""	"193 143,58"	"BRODEUR MARTIN"
"800081"	"(450) 555-6934"	"(450) 555-0534"	"2 758,48"	"CAD"	""	"3"	"2"	"1"	""	""	"CLARENCE BROGAN"	""	"Français"	"1975/06/18"	""	""	"BARBEL.BOWMAN@yahoo.com"	""	"0,00"	""	"43"	"(450) 555-4339"	""	"432 145,24"	"BROGAN CLARENCE"
"800057"	"(450) 555-7203"	"(450) 555-8729"	"5 685,62"	"CAD"	""	"3"	"2"	"1"	""	""	"BRASSEURS BUCHER"	""	"Anglais"	"1970/12/12"	""	""	"ARSENE.BIANCHI@hotmail.com"	""	"0,00"	""	"47"	"(450) 555-7607"	""	"410 864,50"	"BUCHER BRASSEURS"
"800259"	"(450) 555-8616"	"(450) 555-9526"	"6 826,00"	"CAD"	""	"3"	"2"	"1"	""	""	"ACURA BULLETIN"	""	"Anglais"	"1981/08/12"	""	""	"BRUCE.KEEHN@caramail.com"	""	"n/d"	""	"37"	"(450) 555-5647"	""	"748 368,90"	"BULLETIN ACURA"
"800281"	"(450) 555-9313"	"(450) 555-9586"	"924,94"	"CAD"	""	"3"	"2"	"1"	""	""	"ALAIN BURDETT"	""	"Français"	"1975/06/15"	""	""	"BILL.SHERMAN@yahoo.com"	""	"n/d"	""	"43"	"(450) 555-3347"	""	"476 994,31"	"BURDETT ALAIN"
"300005"	"(450) 555-4444"	"(450) 555-4441"	"49 951,27"	"CAD"	""	"3"	"2"	"1"	""	""	"CALCULS ESCOMPTES"	""	"Français"	"1980/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"38"	"(450) 555-4442"	""	"149 707,76"	"CALCULS ESCOMPTE"
"300010"	"(450) 555-4444"	"(450) 555-4441"	"561 665,94"	"CAD"	"4"	"3"	"2"	"1"	""	""	"CALCULS GAINS/PERTES"	""	"Français"	"1980/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"38"	"(450) 555-4442"	"(450) 555-4443"	"1 031 886,31"	"CALCULS GAINS/PE"
"300006"	"(450) 555-4444"	"(450) 555-4441"	"18 845,94"	"CAD"	""	"3"	"2"	"1"	""	""	"CALCULS USD"	""	"Français"	"1980/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"38"	"(450) 555-4442"	""	"207 974,22"	"CALCULS USD"
"800274"	"(450) 555-8856"	"(450) 555-8077"	"1 436,85"	"CAD"	""	"3"	"2"	"1"	""	""	"CARILYNE CALDER"	""	"Français"	"1975/06/15"	""	""	"CERTIFICAT.COULSON@videotron.ca"	""	"0,00"	""	"43"	"(450) 555-0261"	""	"60 482,00"	"CALDER CARILYNE"
"800258"	"(450) 555-1070"	"(450) 555-0523"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"BEATRICE CANESSO"	""	"Français"	"1981/08/12"	""	""	"BRYSON.CORMIER@caramail.com"	""	"0,00"	""	"37"	"(450) 555-2887"	""	"0,00"	"CANESSO BEATRICE"
"800059"	"(450) 555-3924"	"(450) 555-6516"	"5 373,05"	"CAD"	""	"3"	"2"	"1"	""	""	"ADRIANA CAPEK"	""	"Anglais"	"1970/12/12"	""	""	"AHMED.BINDAL@usa.net"	""	"0,00"	""	"47"	"(450) 555-9312"	""	"1 745 473,21"	"CAPEK ADRIANA"
"800284"	"(450) 555-9890"	"(450) 555-4077"	"505,40"	"CAD"	""	"3"	"2"	"1"	""	""	"ARDEN CASTLE"	""	"Français"	"1975/06/15"	""	""	"BALANCED.CRADDOCK@yahoo.com"	""	"n/d"	""	"43"	"(450) 555-4057"	""	"40 172,61"	"CASTLE ARDEN"
"800072"	"(450) 555-2128"	"(450) 555-7689"	"86 171,10"	"CAD"	""	"3"	"2"	"1"	""	""	"BRAY CATANI"	""	"Français"	"1953/02/11"	""	""	"ANDREA.BONDY@hotmail.com"	""	"0,00"	""	"65"	"(450) 555-2334"	""	"598 245,13"	"CATANI BRAY"
"800200"	"(450) 555-9360"	"(450) 555-5958"	"6 062,05"	"CAD"	""	"3"	"2"	"1"	""	""	"AMIR CELLARD"	""	"Français"	"1975/06/18"	""	""	"BRODEUR.DEMAERE@caramail.com"	""	"0,00"	""	"43"	"(450) 555-2687"	""	"117 938,65"	"CELLARD AMIR"
"800007"	"(450) 555-0404"	"(450) 555-5460"	"(490,63)"	"CAD"	""	"3"	"2"	"1"	""	""	"ANNEKE CHADILLON"	""	"Anglais"	"1948/09/12"	""	""	"ALICE.ANTON@usa.net"	""	"n/d"	""	"70"	"(450) 555-9951"	""	"1 753 712,82"	"CHADILLON ANNEKE"
"800008"	"(450) 555-0404"	"(450) 555-5460"	"253 673,78"	"CAD"	""	"3"	"2"	"1"	""	""	"ANNEKE CHADILLON"	""	"Anglais"	"1948/09/12"	""	""	"ALICE.ANTON@usa.net"	""	"n/d"	""	"70"	"(450) 555-9951"	""	"1 220 246,97"	"CHADILLON ANNEKE"
"600001"	""	""	"0,00"	"CAD"	""	""	""	""	""	""	"CHAMPS TRF"	""	"Français"	"1980/01/01"	""	""	"julie.lamarche@croesus.com"	""	"0,00"	""	"38"	""	""	"0,00"	"CHAMPS TRF"
"600002"	""	""	"0,00"	"CAD"	""	""	""	""	""	""	"CHAMPS TRF VIDE"	""	"Français"	"1980/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"38"	""	""	"0,00"	"CHAMPS TRF VIDE"
"600003"	""	""	"0,00"	"CAD"	""	""	""	""	""	""	"CHAMPS TRF VIDE"	""	"Français"	"1980/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"38"	""	""	"0,00"	"CHAMPS TRF VIDE"
"600004"	""	""	"0,00"	"CAD"	""	""	""	""	""	""	"CHAMPS TRF VIDE"	""	"Français"	"1980/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"38"	""	""	"0,00"	"CHAMPS TRF VIDE"
"800244"	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"ADRIAN CHATEAUNEUF"	""	"Français"	"1941/05/20"	""	""	"ali.hachemi@croesus.com"	""	"n/d"	""	"77"	"(450) 555-9312"	""	"0,00"	"CHATEAUNEUF ADRI"
"800294"	"(450) 555-1057"	"(450) 555-2279"	"931,67"	"CAD"	""	"3"	"2"	"1"	""	""	"ADRIAN CHATEAUNEUF"	""	"Français"	"1941/05/20"	""	""	"ali.hachemi@croesus.com"	""	"0,00"	""	"77"	"(450) 555-9312"	""	"500 411,66"	"CHATEAUNEUF ADRI"
"800027"	"(450) 555-4476"	"(450) 555-9713"	"36 594,64"	"CAD"	""	"3"	"2"	"1"	""	""	"PAUL CHENIER"	""	"Français"	"1950/01/10"	""	""	"ARIANE.BANG@hotmail.com"	""	"n/d"	""	"68"	"(450) 555-0250"	""	"973 434,77"	"CHENIER PAUL"
"800253"	"(450) 555-8945"	"(450) 555-6431"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"DUHAMEL CICANSKY"	""	"Français"	"1981/08/12"	""	""	"ALOYSIUS.HISCOCKS@usa.net"	""	"n/d"	""	"37"	"(450) 555-8676"	""	"0,00"	"CICANSKY DUHAMEL"
"800209"	"(450) 555-5562"	"(450) 555-5034"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"BRETT CLEMENT"	""	"Anglais"	"1936/10/10"	""	""	"ARLETTE.BULL@hotmail.com"	""	"0,00"	""	"82"	"(450) 555-1383"	""	"0,00"	"CLEMENT BRETT"
"800080"	"(450) 555-6290"	"(450) 555-3377"	"5 005,94"	"CAD"	""	"3"	"2"	"1"	""	""	"BORDELEAU CONWAY"	""	"Français"	"1975/06/18"	""	""	"CHEVONNE.BOUTETTE@videotron.ca"	""	"n/d"	""	"43"	"(450) 555-5398"	""	"895 929,90"	"CONWAY BORDELEAU"
"800012"	"(450) 555-0007"	"(450) 555-1949"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"BOURSE COUSSON"	""	"Anglais"	"1950/01/10"	""	""	"CARRIE.ARSENEAU@videotron.ca"	""	"n/d"	""	"68"	"(450) 555-5018"	""	"0,00"	"COUSSON BOURSE"
"800051"	"(450) 555-6110"	"(450) 555-9648"	"0,00"	"USD"	""	"3"	"2"	"1"	""	""	"CHRYSTIAN CROIL"	""	"Français"	"1960/05/07"	""	""	"CARLO.BENTLEY@caramail.com"	""	"n/d"	""	"58"	"(450) 555-8752"	""	"0,00"	"CROIL CHRYSTIAN"
"800292"	"(416) 666-9876"	"(416) 666-6543"	"7 129,08"	"CAD"	""	""	"2"	"1"	""	""	"CARLISLE CULLEN"	""	"Anglais"	"1940/10/09"	""	""	"CARLISLE.CULLEM@caramail.com"	""	"0,00"	""	"78"	""	""	"286 801,89"	"CULLEN CARLISLE"
"800289"	"(416) 666-9876"	"(416) 666-6543"	"0,00"	"USD"	""	""	"2"	"1"	""	""	"EDWARD CULLEN"	""	"Anglais"	"1964/05/09"	""	""	"EDWARD.CULLEM@caramail.com"	""	"n/d"	""	"54"	""	""	"0,00"	"CULLEN EDWARD"
"800010"	"(450) 555-8486"	"(450) 555-2810"	"1 111,61"	"CAD"	""	"3"	"2"	"1"	""	""	"AMERICO DABADIE"	""	"Français"	"1950/01/10"	""	""	"CATHARINE.ARCILLA@videotron.ca"	""	"n/d"	""	"68"	"(450) 555-3448"	""	"73 594,54"	"DABADIE AMERICO"
"800251"	"(450) 555-4859"	"(450) 555-0474"	"12 613,56"	"CAD"	""	"3"	"2"	"1"	""	""	"ANDREA DEEM"	""	"Français"	"1968/09/07"	""	""	"ali.hachemi@croesus.com"	""	"0,00"	""	"50"	"(450) 555-0181"	""	"1 310 696,34"	"DEEM ANDREA"
"800047"	"(450) 555-2059"	"(450) 555-3010"	"(8 501,45)"	"CAD"	""	"3"	"2"	"1"	""	""	"YOGOURT DELISLE"	""	"Français"	"1968/02/03"	""	""	"CARILYNE.BELLINI@caramail.com"	""	"0,00"	""	"50"	"(450) 555-1849"	""	"567 024,82"	"DELISLE YOGOURT"
"800288"	"(450) 555-4579"	"(450) 555-5962"	"18 218,90"	"CAD"	""	"3"	"2"	"1"	""	""	"ARNAST DEMERCHANT"	""	"Anglais"	"1964/04/09"	""	""	"BERNICE.CROWLE@yahoo.com"	""	"n/d"	""	"54"	"(450) 555-9607"	""	"44 559,16"	"DEMERCHANT ARNAS"
"800263"	"(450) 555-1974"	"(450) 555-1470"	"15 431,66"	"CAD"	""	"3"	"2"	"1"	""	""	"AQUARIUS DODOK"	""	"Anglais"	"1947/07/28"	""	""	"BELLA.LARRIVEE@yahoo.com"	""	"0,00"	""	"71"	"(450) 555-9842"	""	"1 930 441,47"	"DODOK AQUARIUS"
"800039"	"(450) 555-4676"	"(450) 555-4168"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"ALVARO DYNAMIQUE"	""	"Français"	"1960/01/30"	""	""	"AUGUSTUS.BEANLAND@hotmail.com"	""	"n/d"	""	"58"	"(450) 555-7727"	""	"0,00"	"DYNAMIQUE ALVARO"
"800032"	"(450) 555-1113"	"(450) 555-1905"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"BERTHE ERDMAN"	""	"Français"	"1936/07/22"	""	""	"CARLSON.BARKWELL@caramail.com"	""	"n/d"	""	"82"	"(450) 555-9310"	""	"(32 419,63)"	"ERDMAN BERTHE"
"800063"	"(450) 555-8191"	"(450) 555-7525"	"473 998,64"	"CAD"	""	"3"	"2"	"1"	""	""	"BERNATCHEZ EVERTON"	""	"Français"	"1970/12/12"	""	""	"CHINDA.BLAIKIE@videotron.ca"	""	"n/d"	""	"47"	"(450) 555-2841"	""	"1 792 994,21"	"EVERTON BERNATCH"
"~E-00001"	""	""	"0,00"	"CAD"	""	""	""	""	""	""	"TEMP EXTERNAL"	""	"Français"	""	""	""	""	""	"n/d"	""	""	""	""	"2 574,00"	"EXTERNAL TEMP"
"~E-00000"	""	""	"71 105,76"	"CAD"	""	""	""	""	""	""	"TEST EXTERNAL"	""	"Français"	"2011/09/26"	""	""	""	""	"0,00"	""	"7"	""	""	"71 105,76"	"EXTERNAL TEST"
"800237"	"(450) 555-2466"	"(450) 555-8267"	"10 630,96"	"CAD"	""	"3"	"2"	"1"	""	""	"ANESTIS FATA"	""	"Français"	"1959/10/11"	""	""	"BOUDREAU.CHIRIKDJIAN@caramail.com"	""	"0,00"	""	"59"	"(450) 555-7542"	""	"492 899,76"	"FATA ANESTIS"
"800214"	"(450) 555-8651"	"(450) 555-9211"	"3 107,75"	"CAD"	""	"3"	"2"	"1"	""	""	"CATHY FORTIN"	""	"Français"	"1936/10/10"	""	""	"CARILYNE.CALDER@caramail.com"	""	"n/d"	""	"82"	"(450) 555-5404"	""	"120 218,91"	"FORTIN CAT"
"800235"	"(450) 555-6802"	"(450) 555-2905"	"4 072,72"	"CAD"	""	"3"	"2"	"1"	""	""	"ALIETTE FOSTEN"	""	"Français"	"1959/10/11"	""	""	"ALYCE.CHERRIER@usa.net"	""	"0,00"	""	"59"	"(450) 555-8093"	""	"657 592,08"	"FOSTEN ALIETTE"
"800024"	"(450) 555-7248"	"(450) 555-5038"	"27,80"	"CAD"	""	"3"	"2"	"1"	""	""	"CELIA FRANCOIS"	""	"Français"	"1950/01/10"	""	""	"BRANT.BALDING@caramail.com"	""	"0,00"	""	"68"	"(450) 555-6324"	""	"27,80"	"FRANCOIS CELIA"
"800046"	"(450) 555-3143"	"(450) 555-2128"	"31 075,36"	"CAD"	""	"3"	"2"	"1"	""	""	"CHRISTINE FRESEY"	""	"Français"	"1968/02/03"	""	""	"ARGIA.BELIVEAU@hotmail.com"	""	"0,00"	""	"50"	"(450) 555-0669"	""	"1 239 735,00"	"FRESEY CHRISTINE"
"800076"	"(450) 555-4536"	"(450) 555-9434"	"1 219,59"	"CAD"	""	"3"	"2"	"1"	""	""	"BROCHU GALLATI"	""	"Français"	"1975/06/18"	""	""	"ALBANY.BOUCHARD@usa.net"	""	"n/d"	""	"43"	"(450) 555-2551"	""	"10 996,27"	"GALLATI BROCHU"
"800280"	"(450) 555-3727"	"(450) 555-4080"	"215 121,45"	"CAD"	""	"3"	"2"	"1"	""	""	"BENEZETTE GALLEY"	""	"Français"	"1975/06/15"	""	""	"AMZENA.MCINERNEY@yahoo.com"	""	"0,00"	""	"43"	"(450) 555-9786"	""	"1 604 231,24"	"GALLEY BENEZETTE"
