"No compte"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Statut"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Langue"	"Dernier achat/vente"	"Dern. trans."	"Début de gestion"	"Date de fermeture"	"Création"	"Marge"	"Valeur totale"	"Nom"
"800241-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8327"	"(450) 555-6713"	"232,00"	"CAD"	"Ouvert"	""	"ANNY ALARY"	""	"800241"	"Anglais"	""	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"5 732,00"	"ALARY ANNY"
"800241-RE"	"E - Marge couvert"	""	"(450) 555-8327"	"(450) 555-6713"	"6 341,43"	"CAD"	"Ouvert"	""	"ANNY ALARY"	""	"800241"	"Anglais"	""	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"53 771,76"	"ALARY ANNY"
"800241-SF"	"E - Marge couvert"	""	"(450) 555-8327"	"(450) 555-6713"	"0,06"	"USD"	"Ouvert"	""	"ANNY ALARY"	""	"800241"	"Anglais"	""	"2005/02/18"	""	""	"2009/12/01"	"0,00"	"0,06"	"ALARY ANNY"
"800066-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	"Ouvert"	""	"BERVERLY APPEL"	""	"800066"	"Français"	""	"2007/07/04"	""	""	"2009/12/01"	"n/d"	"0,00"	"APPEL BERVERLY"
"800066-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-4237"	"(450) 555-6129"	"13 445,90"	"CAD"	"Ouvert"	""	"BERVERLY APPEL"	""	"800066"	"Français"	"2010/01/11"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"292 739,44"	"APPEL BERVERLY"
"800066-LV"	"N -"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	"Ouvert"	""	"BERVERLY APPEL"	""	"800066"	"Français"	""	"2007/05/23"	""	""	"2009/12/01"	"n/d"	"0,00"	"APPEL BERVERLY"
"800066-NA"	"A - Comptant"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	"Ouvert"	""	"BERVERLY APPEL"	""	"800066"	"Français"	""	"2008/07/18"	""	""	"2009/12/01"	"n/d"	"0,00"	"APPEL BERVERLY"
"800066-ZM"	"O -"	""	"(450) 555-4237"	"(450) 555-6129"	"2 725,53"	"CAD"	"Ouvert"	""	"BERVERLY APPEL"	""	"800066"	"Français"	"2008/10/17"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"67 885,44"	"APPEL BERVERLY"
"800056-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-3889"	"(450) 555-9951"	"368,09"	"CAD"	"Ouvert"	""	"BETTIE ARAMBASICH"	""	"800056"	"Français"	"2010/01/13"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"503 977,40"	"ARAMBASICH BETTI"
"800056-RE"	"E - Marge couvert"	""	"(450) 555-3889"	"(450) 555-9951"	"0,00"	"CAD"	"Ouvert"	""	"BETTIE ARAMBASICH"	""	"800056"	"Français"	""	"2010/01/20"	""	""	"2009/12/01"	"0,00"	"5 353,02"	"ARAMBASICH BETTI"
"800049-NA"	"A - Comptant"	""	"(450) 555-9327"	"(450) 555-0037"	"4 537,76"	"CAD"	"Ouvert"	""	"ARVIS ARMAND"	""	"800049"	"Français"	""	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"426 980,83"	"ARMAND ARVIS"
"800049-OB"	"A - Comptant"	""	"(450) 555-9327"	"(450) 555-0037"	"9 180,42"	"USD"	"Ouvert"	""	"ARVIS ARMAND"	""	"800049"	"Français"	"2010/01/04"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"143 472,44"	"ARMAND ARVIS"
"800049-RE"	"E - Marge couvert"	""	"(450) 555-9327"	"(450) 555-0037"	"152,51"	"CAD"	"Ouvert"	""	"ARVIS ARMAND"	""	"800049"	"Français"	""	"2010/01/22"	"2010/01/25"	""	"2009/12/01"	"0,00"	"133 502,36"	"ARMAND ARVIS"
"800245-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-8632"	"(450) 555-0609"	"2 899,34"	"CAD"	"Ouvert"	""	"ADIRONDACK ARSENAULT"	""	"800245"	"Français"	""	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"129 679,18"	"ARSENAULT ADIRON"
"800245-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8632"	"(450) 555-0609"	"0,00"	"CAD"	"Ouvert"	""	"ADIRONDACK ARSENAULT"	""	"800245"	"Français"	""	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"6 128,80"	"ARSENAULT ADIRON"
"800245-RE"	"E - Marge couvert"	""	"(450) 555-8632"	"(450) 555-0609"	"1 228,99"	"CAD"	"Ouvert"	""	"ADIRONDACK ARSENAULT"	""	"800245"	"Français"	"2010/01/14"	"2010/01/18"	""	""	"2009/12/01"	"0,00"	"276 922,13"	"ARSENAULT ADIRON"
"800252-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4265"	"(450) 555-8593"	"1 259,07"	"CAD"	"Ouvert"	""	"BACHIR ATHANASOPOULOS"	""	"800252"	"Français"	"2010/01/06"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"1 188 902,91"	"ATHANASOPOULOS B"
"800252-RE"	"E - Marge couvert"	""	"(450) 555-4265"	"(450) 555-8593"	"2 766,14"	"CAD"	"Ouvert"	""	"BACHIR ATHANASOPOULOS"	""	"800252"	"Français"	""	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"1 270 134,60"	"ATHANASOPOULOS B"
"800240-NA"	"A - Comptant"	""	"(450) 555-4284"	"(450) 555-3001"	"0,00"	"CAD"	"Ouvert"	""	"AUDREY AUBREY"	""	"800240"	"Anglais"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"(33 638,09)"	"AUBREY AUDREY"
"800240-OB"	"A - Comptant"	""	"(450) 555-4284"	"(450) 555-3001"	"0,00"	"USD"	"Ouvert"	""	"AUDREY AUBREY"	""	"800240"	"Anglais"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"(54 000,00)"	"AUBREY AUDREY"
"800270-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7755"	"(450) 555-7411"	"(47,58)"	"CAD"	"Ouvert"	""	"ARLEEN BALBUL"	""	"800270"	"Français"	"2010/01/12"	"2010/01/12"	""	""	"2009/12/01"	"n/d"	"571 913,62"	"BALBUL ARLEEN"
"800270-NA"	"A - Comptant"	""	"(450) 555-7755"	"(450) 555-7411"	"(5 596,21)"	"CAD"	"Ouvert"	""	"ARLEEN BALBUL"	""	"800270"	"Français"	""	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"191 036,51"	"BALBUL ARLEEN"
"800232-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-1002"	"(450) 555-1070"	"(140,49)"	"CAD"	"Ouvert"	""	"CATHERINA BARBOUR"	""	"800232"	"Français"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"168 096,89"	"BARBOUR CATHERIN"
"800232-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-1002"	"(450) 555-1070"	"99,20"	"CAD"	"Ouvert"	""	"CATHERINA BARBOUR"	""	"800232"	"Français"	""	"2009/10/07"	""	""	"2009/12/01"	"n/d"	"5 158,50"	"BARBOUR CATHERIN"
"800232-NA"	"A - Comptant"	""	"(450) 555-1002"	"(450) 555-1070"	"691,28"	"CAD"	"Ouvert"	""	"CATHERINA BARBOUR"	""	"800232"	"Français"	"2009/12/16"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"510 920,64"	"BARBOUR CATHERIN"
"800068-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-6025"	"(450) 555-5840"	"0,00"	"CAD"	"Ouvert"	""	"CARLSON BARKWELL"	""	"800068"	"Français"	""	"2009/08/18"	""	""	"2009/12/01"	"n/d"	"0,00"	"BARKWELL CARLSON"
"800068-NA"	"A - Comptant"	""	"(450) 555-6025"	"(450) 555-5840"	"390,66"	"CAD"	"Ouvert"	""	"CARLSON BARKWELL"	""	"800068"	"Français"	"2009/12/11"	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"229 634,16"	"BARKWELL CARLSON"
"800265-LY"	"Y - Rente viagère"	""	"(450) 555-6934"	"(450) 555-0907"	"1 191,33"	"CAD"	"Ouvert"	""	"ARTHUR BARROWS"	""	"800265"	"Français"	"2009/11/25"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"192 950,85"	"BARROWS ARTHUR"
"800265-NA"	"A - Comptant"	""	"(450) 555-6934"	"(450) 555-0907"	"2 077,33"	"CAD"	"Ouvert"	""	"ARTHUR BARROWS"	""	"800265"	"Français"	""	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"166 298,33"	"BARROWS ARTHUR"
"800033-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7498"	"(450) 555-1584"	"0,00"	"CAD"	"Ouvert"	""	"BLAINE BARTLEY"	""	"800033"	"Français"	""	"2005/12/28"	""	""	"2009/12/01"	"n/d"	"0,00"	"BARTLEY BLAINE"
"800033-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-7498"	"(450) 555-1584"	"376,89"	"CAD"	"Ouvert"	""	"BLAINE BARTLEY"	""	"800033"	"Français"	"2010/01/15"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"491 542,32"	"BARTLEY BLAINE"
"800033-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-7498"	"(450) 555-1584"	"0,00"	"CAD"	"Ouvert"	""	"BLAINE BARTLEY"	""	"800033"	"Français"	""	""	""	""	"2009/12/01"	"n/d"	"0,00"	"BARTLEY BLAINE"
"800033-RE"	"E - Marge couvert"	""	"(450) 555-7498"	"(450) 555-1584"	"1 086,40"	"CAD"	"Ouvert"	""	"BLAINE BARTLEY"	""	"800033"	"Français"	""	"2009/12/31"	""	""	"2009/12/01"	"0,00"	"(612 739,43)"	"BARTLEY BLAINE"
"800285-ER"	"V - Régime d'épargne-études"	""	"(450) 555-5251"	"(450) 555-1671"	"6 630,91"	"CAD"	"Ouvert"	""	"CHOY BASTET"	""	"800285"	"Français"	""	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"63 040,06"	"BASTET CHOY"
"800285-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-5251"	"(450) 555-1671"	"3 917,74"	"CAD"	"Ouvert"	""	"CHOY BASTET"	""	"800285"	"Français"	"2009/12/30"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"94 557,64"	"BASTET CHOY"
"800285-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5251"	"(450) 555-1671"	"182,50"	"CAD"	"Ouvert"	""	"CHOY BASTET"	""	"800285"	"Français"	""	"2010/01/12"	""	""	"2009/12/01"	"n/d"	"5 189,00"	"BASTET CHOY"
"800285-NA"	"A - Comptant"	""	"(450) 555-5251"	"(450) 555-1671"	"0,00"	"CAD"	"Ouvert"	""	"CHOY BASTET"	""	"800285"	"Français"	""	"2005/05/17"	""	""	"2009/12/01"	"n/d"	"0,00"	"BASTET CHOY"
"800285-RE"	"E - Marge couvert"	""	"(450) 555-5251"	"(450) 555-1671"	"(8 797,69)"	"CAD"	"Ouvert"	""	"CHOY BASTET"	""	"800285"	"Français"	"2009/12/07"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"462 213,23"	"BASTET CHOY"
"800285-SF"	"E - Marge couvert"	""	"(450) 555-5251"	"(450) 555-1671"	"0,00"	"USD"	"Ouvert"	""	"CHOY BASTET"	""	"800285"	"Français"	""	""	""	""	"2009/12/01"	"0,00"	"0,00"	"BASTET CHOY"
"800002-NA"	"A - Comptant"	""	"(450) 555-7727"	"(450) 555-1322"	"32 554,52"	"CAD"	"Ouvert"	""	"AUGUSTUS BEANLAND"	""	"800002"	"Français"	"2010/01/19"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"1 662 487,46"	"BEANLAND AUGUSTU"
"800002-OB"	"A - Comptant"	""	"(450) 555-7727"	"(450) 555-1322"	"216 828,76"	"USD"	"Ouvert"	""	"AUGUSTUS BEANLAND"	""	"800002"	"Français"	""	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"571 307,13"	"BEANLAND AUGUSTU"
"800002-RE"	"E - Marge couvert"	""	"(450) 555-7727"	"(450) 555-1322"	"14 714,81"	"CAD"	"Ouvert"	""	"AUGUSTUS BEANLAND"	""	"800002"	"Français"	"2010/01/20"	"2010/01/20"	""	""	"2009/12/01"	"0,00"	"258 541,01"	"BEANLAND AUGUSTU"
"800002-SF"	"E - Marge couvert"	""	"(450) 555-7727"	"(450) 555-1322"	"10,29"	"USD"	"Ouvert"	""	"AUGUSTUS BEANLAND"	""	"800002"	"Français"	""	"2009/08/21"	""	""	"2009/12/01"	"0,00"	"10,29"	"BEANLAND AUGUSTU"
"800238-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	"Ouvert"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"Anglais"	""	"2007/06/13"	""	""	"2009/12/01"	"0,00"	"0,00"	"BEAUCH RAYMOND"
"800238-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	"Ouvert"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"Anglais"	""	"2002/11/29"	""	""	"2009/12/01"	"n/d"	"0,00"	"BEAUCH RAYMOND"
"800238-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-5907"	"(450) 555-1414"	"7,09"	"CAD"	"Ouvert"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"Anglais"	"2010/01/22"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"406 069,18"	"BEAUCH RAYMOND"
"800238-NA"	"A - Comptant"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	"Ouvert"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"Anglais"	""	"2007/09/19"	""	""	"2009/12/01"	"n/d"	"0,00"	"BEAUCH RAYMOND"
"800238-OB"	"A - Comptant"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"USD"	"Ouvert"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"Anglais"	""	"2007/07/04"	""	""	"2009/12/01"	"n/d"	"0,00"	"BEAUCH RAYMOND"
"800238-RE"	"E - Marge couvert"	""	"(450) 555-5907"	"(450) 555-1414"	"15 191,32"	"CAD"	"Ouvert"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"Anglais"	"2009/12/16"	"2010/01/18"	""	""	"2009/12/01"	"0,00"	"925 364,38"	"BEAUCH RAYMOND"
"800238-SF"	"E - Marge couvert"	""	"(450) 555-5907"	"(450) 555-1414"	"1 743,94"	"USD"	"Ouvert"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"Anglais"	""	"2010/01/15"	""	""	"2009/12/01"	"0,00"	"219 447,15"	"BEAUCH RAYMOND"
"800202-NA"	"A - Comptant"	""	"(450) 555-3088"	"(450) 555-1218"	"8 192,46"	"CAD"	"Ouvert"	""	"ANGELA BELLEROSE"	""	"800202"	"Français"	"2009/12/02"	"2009/12/14"	""	""	"2009/12/01"	"n/d"	"95 601,37"	"BELLEROSE ANGELA"
"800058-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4422"	"(450) 555-6940"	"2 612,16"	"CAD"	"Ouvert"	""	"CARILYNE BELLINI"	""	"800058"	"Anglais"	"2009/12/14"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"115 640,71"	"BELLINI CARILYNE"
"800058-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-4422"	"(450) 555-6940"	"108,75"	"CAD"	"Ouvert"	""	"CARILYNE BELLINI"	""	"800058"	"Anglais"	""	"2009/08/17"	""	""	"2009/12/01"	"n/d"	"5 324,76"	"BELLINI CARILYNE"
"800058-NA"	"A - Comptant"	""	"(450) 555-4422"	"(450) 555-6940"	"3 805,49"	"CAD"	"Ouvert"	""	"CARILYNE BELLINI"	""	"800058"	"Anglais"	""	"2010/01/04"	""	""	"2009/12/01"	"n/d"	"159 701,01"	"BELLINI CARILYNE"
"800058-RE"	"E - Marge couvert"	""	"(450) 555-4422"	"(450) 555-6940"	"6 765,89"	"CAD"	"Ouvert"	""	"CARILYNE BELLINI"	""	"800058"	"Anglais"	"2010/01/20"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"91 948,67"	"BELLINI CARILYNE"
"800231-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-2263"	"(450) 555-8913"	"0,00"	"CAD"	"Ouvert"	""	"FABRICE BELLEROSE BELVAN"	""	"800231"	"Français"	""	"2006/10/25"	""	""	"2009/12/01"	"n/d"	"0,00"	"BELVAN BELLEROSE"
"800231-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-2263"	"(450) 555-8913"	"(22 181,23)"	"CAD"	"Ouvert"	""	"FABRICE BELLEROSE BELVAN"	""	"800231"	"Français"	"2010/01/19"	"2010/01/19"	""	""	"2009/12/01"	"n/d"	"704 087,67"	"BELVAN BELLEROSE"
"800231-NA"	"A - Comptant"	""	"(450) 555-2263"	"(450) 555-8913"	"2 558,62"	"CAD"	"Ouvert"	""	"FABRICE BELLEROSE BELVAN"	""	"800231"	"Français"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"638 135,34"	"BELVAN BELLEROSE"
"800219-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0398"	"(450) 555-7757"	"0,00"	"CAD"	"Ouvert"	""	"ARSENE BIANCHI"	""	"800219"	"Français"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"(16 018,04)"	"BIANCHI ARSENE"
"800219-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0398"	"(450) 555-7757"	"437,80"	"CAD"	"Ouvert"	""	"ARSENE BIANCHI"	""	"800219"	"Français"	""	"2009/12/22"	""	""	"2009/12/01"	"n/d"	"6 134,32"	"BIANCHI ARSENE"
"800219-NA"	"A - Comptant"	""	"(450) 555-0398"	"(450) 555-7757"	"39,40"	"CAD"	"Ouvert"	""	"ARSENE BIANCHI"	""	"800219"	"Français"	""	"2009/04/20"	""	""	"2009/12/01"	"n/d"	"39,48"	"BIANCHI ARSENE"
"800223-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-2932"	"(450) 555-6137"	"1 048,90"	"CAD"	"Ouvert"	""	"ALISSA BIHOUR"	""	"800223"	"Français"	"2009/12/18"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"429 184,87"	"BIHOUR ALISSA"
"800223-RE"	"E - Marge couvert"	""	"(450) 555-2932"	"(450) 555-6137"	"19 427,63"	"CAD"	"Ouvert"	""	"ALISSA BIHOUR"	""	"800223"	"Français"	"2010/01/18"	"2010/01/18"	""	""	"2009/12/01"	"0,00"	"544 227,14"	"BIHOUR ALISSA"
"800291-FS"	"S - Régime d'épargne-retraite"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	"Ouvert"	""	"JACOB BLACK"	""	"800291"	"Anglais"	""	"2005/06/06"	""	""	"2009/12/01"	"n/d"	"0,00"	"BLACK JACOB"
"800291-GT"	"T - Fonds de revenu de retraite"	""	"(416) 668-5656"	"(416) 668-0909"	"25 494,83"	"CAD"	"Ouvert"	""	"JACOB BLACK"	""	"800291"	"Anglais"	"2010/01/19"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"98 513,59"	"BLACK JACOB"
"800291-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	"Ouvert"	""	"JACOB BLACK"	""	"800291"	"Anglais"	""	""	""	""	"2009/12/01"	"n/d"	"0,00"	"BLACK JACOB"
"800291-LV"	"N -"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	"Ouvert"	""	"JACOB BLACK"	""	"800291"	"Anglais"	""	"2005/05/06"	""	""	"2009/12/01"	"n/d"	"0,00"	"BLACK JACOB"
"800291-RE"	"E - Marge couvert"	""	"(416) 668-5656"	"(416) 668-0909"	"3 432,32"	"CAD"	"Ouvert"	""	"JACOB BLACK"	""	"800291"	"Anglais"	""	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"5 757,92"	"BLACK JACOB"
"800291-SF"	"E - Marge couvert"	""	"(416) 668-5656"	"(416) 668-0909"	"(2 590,01)"	"USD"	"Ouvert"	""	"JACOB BLACK"	""	"800291"	"Anglais"	""	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"(2 267,01)"	"BLACK JACOB"
"800291-VL"	"L -"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	"Ouvert"	""	"JACOB BLACK"	""	"800291"	"Anglais"	""	"2009/07/13"	""	""	"2009/12/01"	"n/d"	"0,00"	"BLACK JACOB"
"800291-ZM"	"O -"	""	"(416) 668-5656"	"(416) 668-0909"	"1 618,22"	"CAD"	"Ouvert"	""	"JACOB BLACK"	""	"800291"	"Anglais"	"2008/11/03"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"24 491,25"	"BLACK JACOB"
"800255-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-2250"	"(450) 555-9406"	"0,00"	"CAD"	"Ouvert"	""	"CARMEN BLANCHARD"	""	"800255"	"Français"	""	"2006/02/06"	""	""	"2009/12/01"	"0,00"	"0,00"	"BLANCHARD CARMEN"
"800255-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-2250"	"(450) 555-9406"	"7 083,57"	"CAD"	"Ouvert"	""	"CARMEN BLANCHARD"	""	"800255"	"Français"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"105 130,88"	"BLANCHARD CARMEN"
"800255-KX"	"X - Fonds revenus viager"	""	"(450) 555-2250"	"(450) 555-9406"	"0,00"	"CAD"	"Ouvert"	""	"CARMEN BLANCHARD"	""	"800255"	"Français"	""	"2003/09/08"	""	""	"2009/12/01"	"n/d"	"0,00"	"BLANCHARD CARMEN"
"800255-RE"	"E - Marge couvert"	""	"(450) 555-2250"	"(450) 555-9406"	"6 599,67"	"CAD"	"Ouvert"	""	"CARMEN BLANCHARD"	""	"800255"	"Français"	"2009/12/11"	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"320 595,98"	"BLANCHARD CARMEN"
"800207-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7052"	"(450) 555-7611"	"551,23"	"CAD"	"Ouvert"	""	"BLUMARMIDON BLOOMFIELD"	""	"800207"	"Français"	"2010/01/14"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"406 346,89"	"BLOOMFIELD BLUMA"
"800207-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-7052"	"(450) 555-7611"	"0,00"	"CAD"	"Ouvert"	""	"BLUMARMIDON BLOOMFIELD"	""	"800207"	"Français"	"2010/01/06"	"2010/01/06"	""	""	"2009/12/01"	"n/d"	"10 084,47"	"BLOOMFIELD BLUMA"
"800207-RE"	"E - Marge couvert"	""	"(450) 555-7052"	"(450) 555-7611"	"12 404,28"	"CAD"	"Ouvert"	""	"BLUMARMIDON BLOOMFIELD"	""	"800207"	"Français"	""	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"690 878,39"	"BLOOMFIELD BLUMA"
"800055-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-8078"	"(450) 555-6495"	"0,00"	"CAD"	"Ouvert"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"Français"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"(65 632,67)"	"BOMBARDIER FRAN"
"800055-JJ"	"J -"	""	"(450) 555-8078"	"(450) 555-6495"	"0,00"	"CAD"	"Ouvert"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"Français"	""	"2009/12/03"	""	""	"2009/12/01"	"n/d"	"0,00"	"BOMBARDIER FRAN"
"800055-NA"	"A - Comptant"	""	"(450) 555-8078"	"(450) 555-6495"	"0,00"	"CAD"	"Ouvert"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"Français"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"161 676,52"	"BOMBARDIER FRAN"
