Acct. No.	Processing	Transaction	IA Code	Type	Symbol	Quantity	Price	Cur.	Total	Commission	Gains/Losses	Accrued Int.	Fees	Manual ACB	Cash Balance
800401-NA	01/25/2010	12/28/2009	BD88	Transfer	M02717	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	01/25/2010	12/28/2009	BD88	Transfer	M84827	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	01/25/2010	12/11/2009	BD88	Transfer	M60899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	01/25/2010	12/11/2009	BD88	Transfer	X10428	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	01/25/2010	12/11/2009	BD88	Buy	M22762	10,000	93.500	USD	(9,911.00)	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	01/25/2010	12/11/2009	BD88	Buy	M86062	10,000	98.860	CAD	(9,886.00)	0.00	0.00	0.00	0.00	0.000	481,614.00
800401-NA	01/25/2010	12/11/2009	BD88	Buy	M22142	10,000	85.000	CAD	(8,500.00)	0.00	0.00	0.00	0.00	0.000	491,500.00
800401-NA	01/25/2010	12/11/2009	BD88	Transfer	M85810	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800401-NA	01/25/2010	12/11/2009	BD88	Transfer	M22691	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800401-NA	01/25/2010	12/11/2009	BD88	Deposit	1CAD	0.00	0.000	CAD	500,000.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800400-NA	01/25/2010	01/22/2010	BD88	Sell	M60899	(10,000)	99.950	CAD	9,995.00	0.00	0.00	0.00	0.00	0.000	453,258.00
800400-NA	01/25/2010	01/20/2010	BD88	Buy	M86062	10,000	99.000	CAD	(9,900.00)	0.00	0.00	0.00	0.00	0.000	443,263.00
800400-NA	01/25/2010	01/20/2010	BD88	Buy	M22142	10,000	85.500	CAD	(8,550.00)	0.00	0.00	0.00	0.00	0.000	453,163.00
800400-NA	01/25/2010	01/11/2010	BD88	Deposit	1CAD	0.00	0.000	CAD	500,000.00	0.00	0.00	0.00	0.00	0.000	461,713.00
800400-NA	01/25/2010	12/31/2009	BD88	Buy	M60899	10,000	99.900	CAD	(9,990.00)	0.00	0.00	0.00	0.00	0.000	(38,287.00)
800400-NA	01/25/2010	12/28/2009	BD88	Transfer	M02717	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	01/25/2010	12/28/2009	BD88	Transfer	M84827	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	01/25/2010	12/11/2009	BD88	Transfer	M60899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	01/25/2010	12/11/2009	BD88	Transfer	X10428	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	01/25/2010	12/11/2009	BD88	Buy	M22762	10,000	93.500	USD	(9,911.00)	0.00	0.00	0.00	0.00	0.000	(28,297.00)
800400-NA	01/25/2010	12/11/2009	BD88	Buy	M86062	10,000	98.860	CAD	(9,886.00)	0.00	0.00	0.00	0.00	0.000	(18,386.00)
800400-NA	01/25/2010	12/11/2009	BD88	Buy	M22142	10,000	85.000	CAD	(8,500.00)	0.00	0.00	0.00	0.00	0.000	(8,500.00)
800400-NA	01/25/2010	12/11/2009	BD88	Transfer	M85810	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	0.00
800400-NA	01/25/2010	12/11/2009	BD88	Transfer	M22691	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	0.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	B55444	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	A36754	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	R13369	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	M22687	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	R76899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	R35681	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	M85693	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	T83520	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	BA.UN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	AET.UN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	NA.PR.N	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	AES.PR.C	200	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	T	200	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	AEM	200	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	AA	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	FEZ	250	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	FEU	250	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XIN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XFN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XGD	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XIT	1,500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XMA	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XIU	750	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XSP	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	EWJ	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	RRB.UN	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	CBL170	100,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	NA	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	DIS	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	AGU	200	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	IAH	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	V56635	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	M85805	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	Q49599	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	Q42798	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	B55248	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	B30199	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	A25074	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	OBA	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	LQD	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	HYG	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XSB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XRB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XCB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	XBB	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	TIP	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	SHV	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	SHY	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	FXY	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	CUF.DB.D	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	RYT.NT.M	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Transfer	R41490	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800302-OB	01/25/2010	01/11/2010	BD88	Deposit	1USD	0.00	0.000	CAD	5,000.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	B55444	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	A36754	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	R13369	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	M22687	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	R76899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	R35681	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	M85693	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	T83520	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	BA.UN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	AET.UN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	NA.PR.N	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	AES.PR.C	200	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	T	200	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	AEM	200	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	AA	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	FEZ	250	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	FEU	250	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XIN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XFN	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XGD	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XIT	1,500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XMA	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XIU	750	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XSP	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	EWJ	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	RRB.UN	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	CBL170	100,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	NA	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	DIS	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	AGU	200	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	IAH	1,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	V56635	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	M85805	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	Q49599	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	Q42798	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	B55248	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	B30199	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	A25074	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	OBA	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	LQD	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	HYG	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XSB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XRB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XCB	500	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	XBB	1,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	TIP	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	SHV	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	SHY	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	FXY	100	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	CUF.DB.D	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	RYT.NT.M	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Transfer	R41490	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800300-NA	01/25/2010	01/11/2010	BD88	Deposit	1CAD	0.00	0.000	CAD	5,000.00	0.00	0.00	0.00	0.00	0.000	5,000.00
800291-SF	01/25/2010	01/25/2010	AC42	Withdrawal	1USD	0.00	0.000	USD	(2,000.00)	0.00	0.00	0.00	0.00	0.000	(2,590.01)
800291-RE	01/25/2010	01/25/2010	AC42	Transfer	1CAD	0.00	0.000	CAD	2,500.00	0.00	0.00	0.00	0.00	0.000	3,432.32
800291-GT	01/25/2010	01/25/2010	AC42	Transfer	1CAD	0.00	0.000	CAD	(3,164.56)	0.00	0.00	0.00	664.56	0.000	25,494.83
800285-RE	01/25/2010	01/25/2010	AC42	Book Value	1CAD	0.00	0.000	CAD	699.68	0.00	0.00	0.00	0.00	0.000	(8,797.69)
800285-RE	01/25/2010	01/25/2010	AC42	Book Value	DYN9152	(424.063)	0.000	CAD	5,076.49	0.00	0.00	0.00	0.00	0.000	(8,797.69)
800285-RE	01/25/2010	01/25/2010	AC42	Book Value	DYN9152	424.063	0.000	CAD	(5,776.17)	0.00	0.00	0.00	0.00	0.000	(8,797.69)
800285-RE	01/25/2010	01/22/2010	AC42	Contribution	1CAD	0.00	0.970	CAD	(9,790.00)	0.00	0.00	0.00	0.00	0.000	(8,797.69)
800285-RE	01/25/2010	01/22/2010	AC42	Contribution	1CAD	0.00	0.990	CAD	(9,975.00)	0.00	0.00	0.00	0.00	0.000	992.31
800285-RE	01/25/2010	01/22/2010	AC42	Contribution	V61442	(10,000)	0.970	CAD	9,790.00	0.00	(210.00)	0.00	0.00	0.000	10,967.31
800285-RE	01/25/2010	01/22/2010	AC42	Contribution	V76606	(10,000)	0.990	CAD	9,975.00	0.00	(9,901.00)	9,876.00	0.00	0.000	1,177.31
800285-FS	01/25/2010	01/25/2010	AC42	Dividends	CP	8	0.000	CAD	1.98	0.00	0.00	0.00	0.00	0.000	3,917.74
800279-SF	01/25/2010	01/25/2010	AC42	Dividends	GE	20	0.000	USD	1.70	0.00	0.00	0.00	0.30	0.000	5,459.07
800279-SF	01/25/2010	01/25/2010	AC42	Dividends	PNC	7	0.000	USD	0.59	0.00	0.00	0.00	0.11	0.000	5,457.37
800279-RE	01/25/2010	01/25/2010	AC42	Book Value	1CAD	0.00	0.000	CAD	2,020.84	0.00	0.00	0.00	0.00	0.000	3,744.41
800279-RE	01/25/2010	01/25/2010	AC42	Book Value	DYN9152	(1,224.790)	0.000	CAD	19,149.42	0.00	0.00	0.00	0.00	0.000	3,744.41
800279-RE	01/25/2010	01/25/2010	AC42	Book Value	DYN9152	1,224.790	0.000	CAD	(21,170.26)	0.00	0.00	0.00	0.00	0.000	3,744.41
800278-RE	01/25/2010	01/25/2010	AC42	Dividends	GE	195	0.000	CAD	17.53	0.00	0.00	0.00	3.10	0.000	15,972.50
800277-RE	01/25/2010	01/25/2010	AC42	Dividends	CP	238	0.000	CAD	58.91	0.00	0.00	0.00	0.00	0.000	1,995.56
800277-OB	01/25/2010	01/25/2010	AC42	Dividends	GE	475	0.000	USD	40.37	0.00	0.00	0.00	7.13	0.000	10,498.04
800273-SF	01/25/2010	01/25/2010	BD88	Sell	PEP	(5)	60.393	USD	301.96	0.00	25.16	0.00	0.01	0.000	786.75
800273-SF	01/25/2010	01/25/2010	BD88	Split	TSL	8	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	484.79
800273-SF	01/25/2010	01/25/2010	BD88	Buy	TSL	7	21.930	USD	(153.51)	0.00	0.00	0.00	0.00	0.000	484.79
800273-OB	01/25/2010	01/25/2010	BD88	Dividends	GE	70	0.000	USD	5.95	0.00	0.00	0.00	1.05	0.000	4,766.76
800273-NA	01/25/2010	01/25/2010	BD88	Dividends	CP	34	0.000	CAD	8.42	0.00	0.00	0.00	0.00	0.000	8,601.04
800272-FS	01/25/2010	01/25/2010	0AED	Sell	760960	(7.000)	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	13,843.40
800272-FS	01/25/2010	01/25/2010	0AED	Buy	760983	7.000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	13,843.40
800266-RE	01/25/2010	01/22/2010	BD77	Withdrawal	1CAD	0.00	0.000	CAD	(5,000.00)	0.00	0.00	0.00	0.00	0.000	0.55
800266-RE	01/25/2010	01/22/2010	BD77	Sell	FID285	(470.207)	0.000	CAD	5,000.00	0.00	68.62	0.00	0.00	0.000	5,000.55
800266-RE	01/25/2010	01/22/2010	BD77	Dividends	MFC302	2.155	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	0.55
800265-NA	01/25/2010	01/22/2010	BD77	Dividends	MFC432	1.700	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	2,077.33
800264-NA	01/25/2010	01/25/2010	BD66	Withdrawal	1CAD	0.00	0.000	CAD	(1,200.00)	0.00	0.00	0.00	0.00	0.000	3,415.56
800257-RE	01/25/2010	01/25/2010	AC42	Dividends	GE	1,400	0.000	CAD	125.90	0.00	0.00	0.00	22.22	0.000	(52,202.91)
800252-RE	01/25/2010	01/25/2010	AC42	Interest	Q12015	10,000	0.000	CAD	257.50	0.00	0.00	0.00	0.00	0.000	2,766.14
800251-RE	01/25/2010	01/25/2010	AC42	Dividends	GE	1,000	0.000	CAD	89.93	0.00	0.00	0.00	15.87	0.000	5,622.86
800249-NA	01/25/2010	01/25/2010	BD88	Interest	Q12463	200,000	0.000	CAD	1,500.00	0.00	0.00	0.00	0.00	0.000	149,888.26
