H|20100125
C|BranchCode|BranchName|IACode|IAName|ClientID|ClientName|AcctNumber|DateAdded|INVESTMENT_OBJ_INCOME|INVESTMENT_OBJ_GROWTHSHORT|INVESTMENT_OBJ_GROWTHMEDIUM|INVESTMENT_OBJ_GROWTHLONG|RISK_TOLERANCE_LOW|RISK_TOLERANCE_MEDIUM|RISK_TOLERANCE_HIGH
D|BD|Laval|BD88|C. Darwin, N. Copernic, G. Galillei|5555555|TEST INDCLIENT 004|800246|20091231|0|50|50|75|100|25|0
D|BD|Laval|BD88|C. Darwin, N. Copernic, G. Galillei|5555555|TEST INDCLIENT 004|800248|20091231|0|50|50|75|100|25|0
D|BD|Laval|BD88|C. Darwin, N. Copernic, G. Galillei|5555555|TEST INDCLIENT 004|800249|20091231|0|50|50|75|100|25|0
D|BD|Laval|BD88|C. Darwin, N. Copernic, G. Galillei|5555555|TEST INDCLIENT 004|800270|20091231|0|50|50|75|100|25|0
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80022|TEST INDCLIENT 007|800221|20091231|30|25|25|75|50|25|50
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80022|TEST INDCLIENT 007|800222|20091231|30|25|25|75|50|25|50
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80022|TEST INDCLIENT 007|800223|20091231|30|25|25|75|50|25|50
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80022|TEST INDCLIENT 007|800227|20091231|30|25|25|75|50|25|50
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80022|TEST INDCLIENT 007|800228|20091231|30|25|25|75|50|25|50
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80033|TEST INDCLIENT 008|800231|20091231|10|50|50|10|50|25|10
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80033|TEST INDCLIENT 008|800232|20091231|10|50|50|10|50|25|10
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80033|TEST INDCLIENT 008|800233|20091231|10|50|50|10|50|25|10
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80033|TEST INDCLIENT 008|800236|20091231|10|50|50|10|50|25|10
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80033|TEST INDCLIENT 008|800237|20091231|10|50|50|10|50|25|10
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80044|TEST INDCLIENT 009|800251|20091231|0|50|25|75|50|25|100
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80044|TEST INDCLIENT 009|800252|20091231|0|50|25|75|50|25|100
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80044|TEST INDCLIENT 009|800254|20091231|0|50|25|75|50|25|100
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80044|TEST INDCLIENT 009|800257|20091231|0|50|25|75|50|25|100
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80022|REL JOINT 07-08-09|800229|20091231|30|25|25|75|50|25|50
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80033|REL JOINT 07-08-09|800238|20091231|10|50|50|10|50|25|10
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80044|REL JOINT 07-08-09|800259|20091231|0|50|25|75|50|25|100
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80030|TEST CROESUS 001|800300|20100125|50|40|10|50|10|80|10
D|AC|Toronto|AC42|R. Reagan, F. Roosevelt, H. Truman|80030|TEST CROESUS 001|800301|20100125|50|40|10|50|10|80|10
