"Client No."	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Gross Income"	"carolet"	"Bouquet"	"bateau A"	"Bagage"	"Arbre A"	"Tel type 4"	"Tel type 3"	"Tel type 2"	"Tel type 1"	"Segmentation"	"Representative"	"Model Number"	"Model Name"	"Language"	"Full Name"	"Email 3"	"Email 2"	"Email 1"	"Discretionary"	"Date of Birth"	"Communication"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"	"Name"
"800056"	"(450) 555-3889"	"(450) 555-9951"	"368.09"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BETTIE ARAMBASICH"	""	""	"sebastien.marcotte@croesus.com"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-8752"	""	"509,330.42"	"ARAMBASICH BETTI"
"800049"	"(450) 555-9327"	"(450) 555-0037"	"14,407.74"	"CAD"	""	""	""	""	""	"325.00"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ARVIS ARMAND"	""	""	"ANTONIN.BENHAM@hotmail.com"	"Yes"	"05/07/1960"	""	"0.00"	""	"(450) 555-6449"	""	"712,348.77"	"ARMAND ARVIS"
"800245"	"(450) 555-8632"	"(450) 555-0609"	"4,128.33"	"CAD"	""	""	"Category"	"% Other Derivatives Content"	""	"8,522.36"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ADIRONDACK ARSENAULT"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-5552"	""	"412,730.11"	"ARSENAULT ADIRON"
"800252"	"(450) 555-4265"	"(450) 555-8593"	"4,025.21"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Test Business à 70 caractères01234567890123456789012345678901234"	""	""	"CHRISTINE.PALIOTTI@videotron.ca"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-2044"	""	"2,459,034.14"	"ATHANASOPOULOS B"
"800240"	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"A"	"No"	""	""	"English"	"AUDREY AUBREY"	""	""	"ASTRID.CLARK@hotmail.com"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-7115"	""	"0.00"	"AUBREY AUDREY"
"800270"	"(450) 555-7755"	"(450) 555-7411"	"(5,643.79)"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"A"	"No"	""	""	"French"	"ARLEEN BALBUL"	""	""	"AMEDE.CARLETON@usa.net"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-0404"	""	"841,041.28"	"BALBUL ARLEEN"
"800035"	""	""	"5,660.71"	"CAD"	"10,000"	""	""	"% Other Derivatives Content"	""	""	""	"3"	"2"	"1"	""	"Yes"	""	""	"French"	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	""	""	"CANDIDE.BATEMAN@caramail.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-7794"	""	"1,453,546.96"	"BANQUE NATIONALE"
"900035"	""	""	"0.00"	"CAD"	""	"a"	"Category"	"% Other Derivatives Content"	""	"896.23"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	""	""	"Boudouaou@test.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"777 888 9999"	""	"0.00"	"BANQUE NATIONALE"
"800232"	""	""	"649.99"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CATHERIN BARBOUR"	""	""	"BARBARA.CHARITY@yahoo.com"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-4988"	""	"728,813.17"	"BARBOUR CATHERIN"
"800068"	"(450) 555-6025"	"(450) 555-5840"	"390.66"	"CAD"	""	""	"Security Number"	"Other Bonds"	""	"85.25"	""	"3"	"2"	"1"	"D"	"No"	"~M-00016-0"	"SOUS_MODELE"	"French"	"CARLSON BARKWELL"	""	""	"AYOTTE.BOEHMLER@yahoo.com"	"Yes"	"02/11/1953"	"Telephone"	"0.00"	""	"(450) 555-5028"	""	"250,286.36"	"BARKWELL CARLSON"
"800265"	"(450) 555-6934"	"(450) 555-0907"	"3,268.66"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"C"	"No"	""	""	"French"	"ARTHUR BARROWS"	""	""	"CHARBONNEAU.OVERGAARD@videotron.ca"	"Yes"	"07/28/1947"	"Telephone"	"0.00"	""	"(450) 555-2160"	""	"359,249.18"	"BARROWS ARTHUR"
"800285"	"(450) 555-5251"	"(450) 555-1671"	"1,933.46"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"C"	"No"	""	""	"French"	"CHOY BASTET"	""	""	"BOUDRIAS.CREATEAU@caramail.com"	"Yes"	"06/15/1975"	"Telephone"	"0.00"	""	"(450) 555-5182"	""	"624,993.37"	"BASTET CHOY"
"800002"	"(450) 555-7727"	"(450) 555-1322"	"276,793.46"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AUGUSTUS BEANLAND"	""	"girardkarine@croesus.com"	"mugurel.sco@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-2299"	""	"2,526,185.98"	"BEANLAND AUGUSTU"
"800238"	"(450) 555-5907"	"(450) 555-1414"	"17,044.37"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"RAYMOND BEAUCHEMIN"	""	""	"CARTERS.CHOUINIERE@videotron.ca"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-2860"	""	"1,563,718.37"	"BEAUCH RAYMOND"
"800290"	""	""	"10,505.86"	"CAD"	""	""	""	""	""	""	""	""	"2"	"1"	""	"No"	""	""	"English"	"SWAN BELLA"	""	""	"BELLA.SWAN@caramail.com"	"Yes"	"05/09/1966"	""	"0.00"	""	""	""	"402,047.14"	"BELLA SWAN"
"800202"	"(450) 555-3088"	"(450) 555-1218"	"8,192.46"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANGELA BELLEROSE"	""	""	"CHARTRAND.BROUILLARD@videotron.ca"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-9588"	""	"95,598.26"	"BELLEROSE ANGELA"
"800058"	"(450) 555-4422"	"(450) 555-6940"	"13,292.29"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"CARILYNE BELLINI"	""	""	"BINNEY.BIGNUCOLO@videotron.ca"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-6078"	""	"397,986.16"	"BELLINI CARILYNE"
"800231"	"(450) 555-2263"	"(450) 555-8913"	"(19,622.61)"	"CAD"	""	""	"Sector"	"% Index Futures Content"	""	"85.36"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BELLEROSE BELVAN ~2"	""	""	"ALUN.CHAPMAN@usa.net"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-8880"	""	"1,342,223.01"	"BELVAN BELLEROSE"
"800219"	"(450) 555-0398"	"(450) 555-7757"	"477.20"	"CAD"	""	"1"	"Subcategory"	"Other Bonds"	""	"12,345.63"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ARSENE BIANCHI"	""	""	"CATHRINE.CARDEIRO@videotron.ca"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-4364"	""	"6,173.80"	"BIANCHI ARSENE"
"800223"	"123 456 7890"	"123 456-7890"	"20,476.53"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"A"	"No"	""	""	"French"	"//2 ALISSA Mid2 BIHOUR hon2"	""	""	"TestCroesus@carmail.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-2693"	""	"984,496.19"	"BIHOUR ALISSA"
"800291"	"(416) 668-5656"	"(416) 668-0909"	"26,185.62"	"CAD"	""	""	""	""	""	""	""	"3"	"FDP_TEL2"	"FDP_TEL1"	"B"	"No"	""	""	"English"	"Mr. JACOB BLACK"	""	""	"JACOB.BLACK@caramail.com"	"Yes"	"10/09/1960"	""	"0.00"	""	"(416) 668-0909"	""	"101,871.88"	"BLACK JACOB"
"800255"	"(450) 555-2250"	"(450) 555-9406"	"13,683.24"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"C"	"No"	""	""	"French"	"CARMEN BLANCHARD"	""	""	"BIBIANNE.FAGGIONI@yahoo.com"	"Yes"	"08/12/1981"	""	"0.00"	""	"(450) 555-1419"	""	"438,387.42"	"BLANCHARD CARMEN"
"800207"	"(450) 555-7052"	"(450) 555-7611"	"12,955.51"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"D"	"No"	""	""	"French"	"BLUMARMIDON BLOOMFIELD"	""	""	"BEDARD.BUFFONE@yahoo.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-5513"	""	"1,107,309.75"	"BLOOMFIELD BLUMA"
"800075"	"1234567890"	"9876543210"	"75,359.48"	"CAD"	""	""	""	""	""	""	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"BRITES BORTOLUS"	""	""	"Kach.Haja@CROESUS.COM"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-4395"	""	"1,777,640.37"	"BORTOLUS BRITES"
"800028"	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BRAD BRACKHAUS"	""	""	"BANQUE.HILLIER@yahoo.com"	"Yes"	"07/22/1936"	""	"0.00"	""	"(450) 555-0388"	""	"0.00"	"BRACKHAUS BRAD"
"800275"	"(450) 555-1983"	"(450) 555-4522"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BRASSERIE CHEZ STAN ENR."	""	""	"CARLOS.COURTNALL@caramail.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-1950"	""	"0.00"	"BRASSERIE STAN"
"800282"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALAIN BREESE"	""	""	"BREESE.SHERMAN@yahoo.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-3334"	""	"0.00"	"BREESE ALAIN"
"800283-1"	""	""	"35,969.79"	"CAD"	""	"t"	"Security Number"	"% Preferred Equity Content"	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALAIN BREESE"	""	""	"ADOLFO.CHICHAK@usa.net"	"Yes"	"06/15/1975"	""	"0.00"	""	""	""	"35,969.79"	"BREESE ALAIN"
"800083-2"	"450 6626101B"	"1234567890"	"0.00"	"CAD"	"90,000"	""	""	""	""	""	""	"3"	"TiTi3"	"ToTo3"	""	"No"	""	""	"English"	"BéBé BREESE"	""	""	"Toto3@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"0.00"	"BREESE BÉBÉ"
"800283-2"	""	""	"35,969.79"	"CAD"	"120,000"	""	""	""	""	""	""	"3"	"2"	"1"	""	"Yes"	""	""	"English"	"BéBé BREESE"	""	""	"ADOLFO.CHICHAK@usa.net"	"Yes"	""	""	"0.00"	""	""	""	"35,969.79"	"BREESE BÉBÉ"
"900283"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BéBé BREESE"	""	""	"Boudouaou@test.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"777 888 9999"	""	"0.00"	"BREESE BéBé"
"800017"	"(450) 555-9114"	"(450) 555-8987"	"8,173.69"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"MARTIN BRODEUR VIGNEUX"	""	""	"AUBUT.BRUCE@hotmail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-9241"	""	"193,143.58"	"BRODEUR MARTIN"
"800081-1"	"450 6626101B"	"1234567890"	"2,758.48"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi1"	"ToTo1"	""	"No"	""	""	"French"	"CLARENCE BROGAN"	""	""	"Toto1@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"432,140.27"	"BROGAN CLARENCE-"
"800057"	"(450) 555-7203"	"(450) 555-8729"	"5,685.62"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"D"	"No"	""	""	"English"	"BRASSEURS BUCHER"	""	""	"ARSENE.BIANCHI@hotmail.com"	"Yes"	"12/12/1970"	"Telephone"	"0.00"	""	"(450) 555-7607"	""	"426,036.17"	"BUCHER BRASSEURS"
"800259"	"(450) 555-8616"	"(450) 555-9526"	"6,826.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"C"	"No"	""	""	"English"	"ACURA BULLETIN"	""	""	"BRUCE.KEEHN@caramail.com"	"Yes"	"08/12/1981"	"Telephone"	"0.00"	""	"(450) 555-5647"	""	"767,665.84"	"BULLETIN ACURA"
"800281"	"(450) 555-9313"	"(450) 555-9586"	"924.94"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"D"	"No"	""	""	"French"	"ALAIN BURDETT"	""	""	"BILL.SHERMAN@yahoo.com"	"Yes"	"06/15/1975"	"Telephone"	"0.00"	""	"(450) 555-3347"	""	"476,992.31"	"BURDETT ALAIN"
"800050"	"2484-4613"	"1241-2307"	"0.00"	"USD"	""	""	"Security Number"	"% Warrants Content"	""	"5,874.36"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Business1"	""	""	"Pardis@ihsam.amal"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-6910"	""	"0.00"	"BUSINESS1"
"900051"	""	""	"0.00"	"CAD"	"900,000"	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Business1"	""	""	"Boudouaou@test.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"777 888 9999"	""	"0.00"	"Business1"
"800052"	""	""	"3,918.96"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Business3"	""	""	"BAGGA.BERCIER@yahoo.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-8992"	""	"589,870.70"	"BUSINESS3"
"800053"	""	""	"9,840.14"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Business4"	""	""	"CATHERINE.BERLINGUETTE@videotron.ca"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-1298"	""	"409,968.01"	"BUSINESS4"
"800054"	""	""	"16,845.54"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Business5"	""	""	"ADRIEN.BERRROUARD@usa.net"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-8729"	""	"453,074.31"	"Business5"
"300005"	"(450) 555-4444"	"(450) 555-4441"	"49,951.27"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CALCULS ESCOMPTES"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	""	"149,707.76"	"CALCULS ESCOMPTE"
"300010"	"(450) 555-4444"	"(450) 555-4441"	"561,665.94"	"CAD"	""	""	""	""	""	""	"4"	"3"	"2"	"1"	""	"No"	""	""	"French"	"CALCULS GAINS/PERTES"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"1,031,886.31"	"CALCULS GAINS/PE"
"300006"	"(450) 555-4444"	"(450) 555-4441"	"18,845.94"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CALCULS USD"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	""	"207,974.22"	"CALCULS USD"
"800258"	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BEATRICE CANESSO"	""	""	"BRYSON.CORMIER@caramail.com"	"Yes"	"08/12/1981"	""	"0.00"	""	"(450) 555-2887"	""	"0.00"	"CANESSO BEATRICE"
"800059"	"(450) 555-3924"	"(450) 555-6516"	"5,373.05"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ADRIANA CAPEK"	""	""	"AHMED.BINDAL@usa.net"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-9312"	""	"1,805,523.66"	"CAPEK ADRIANA"
"800294-2"	"(450) 555-1057"	"(450) 555-2279"	"515.59"	"CAD"	""	""	""	""	""	""	""	"3"	"FDP_TEL2"	"FDP_TEL1"	""	"No"	""	""	"French"	"MME MIREILLE ELIE CARON PROF"	""	""	"ali.hachemi@croesus.com"	"Yes"	"01/14/1949"	""	"0.00"	""	""	""	"2,538.60"	"CARON MIREILLE"
"900999"	"4187792306F"	""	"0.00"	"CAD"	"10,000"	""	""	""	""	""	""	"3"	"2"	"OSSOTH2"	""	"No"	""	""	"French"	"MIREILLE CARON PROF"	""	""	"Boudouaou@test.com"	"Yes"	"01/14/1949"	""	"0.00"	""	"777 888 9999"	""	"0.00"	"CARON MIREILLE"
"800284"	"(450) 555-9890"	"(450) 555-4077"	"505.40"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ARDEN CASTLE"	""	""	"BALANCED.CRADDOCK@yahoo.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-4057"	""	"40,172.61"	"CASTLE ARDEN"
"800072"	"(450) 555-2128"	"(450) 555-7689"	"86,171.10"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BRAY CATANI"	""	""	"ANDREA.BONDY@hotmail.com"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-2334"	""	"653,261.86"	"CATANI BRAY"
"800200"	"(450) 555-9360"	"(450) 555-5958"	"6,062.05"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AMIR CELLARD"	""	""	"BRODEUR.DEMAERE@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-2687"	""	"117,936.67"	"CELLARD AMIR"
"800007"	"(450) 555-4475"	"(789) 555-9712"	"253,183.15"	"CAD"	""	""	""	""	""	""	""	"3"	"Type2"	"Type1"	""	"Yes"	""	""	"French"	"ANNEKE CHADILLON"	""	""	"test111@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-9951"	""	"2,979,799.54"	"CHADILLON ANNEKE"
"900007"	"(450) 555-4475"	"(789) 555-9712"	"0.00"	"CAD"	""	""	"Security Number"	"% Preferred Equity Content"	""	"40.00"	""	"3"	"Type2"	"Type1"	""	"No"	""	""	"French"	"ANNEKE CHADILLON"	""	""	"test000@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"777 888 9999"	""	"0.00"	"CHADILLON ANNEKE"
"600001"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	""	""	""	""	"No"	""	""	"French"	"CHAMPS TRF"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	""	""	"0.00"	"CHAMPS TRF"
"600002"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	""	""	""	""	"No"	""	""	"French"	"CHAMPS TRF VIDE"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	""	""	"0.00"	"CHAMPS TRF VIDE"
"800032"	"6133897715"	"123 456 7890"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"FDP_TEL2"	"OSSOTH2"	""	"No"	""	""	"French"	"CHARITABLE GIFT FUNDS QUEBEC FOUNDATION"	""	""	"CARLSON.BARKWELL@caramail.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-9310"	""	"0.00"	"CHARITABLE GIFT"
"800250-5"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"Yes"	""	""	"French"	"FILS BOURBON CHARLES"	""	""	"ed@cr.ca"	"Yes"	""	""	"0.00"	""	""	""	"0.00"	"CHARLES BOURBON"
"800244"	"(450) 555-1057"	"(450) 555-2279"	"515.59"	"CAD"	""	""	""	""	""	""	""	"3"	"FDP_TEL2"	"FDP_TEL1"	""	"No"	""	""	"French"	"ADRIAN CHATEAUNEUF"	""	""	"ali.hachemi@croesus.com"	"Yes"	"05/20/1941"	""	"0.00"	""	"(450) 555-9312"	""	"2,538.60"	"CHATEAUNEUF ADRI"
"900294"	"(450) 555-1057"	"(450) 555-2279"	"0.00"	"CAD"	"148,000"	""	""	""	""	""	""	"3"	"FDP_TEL2"	"FDP_TEL1"	""	"Yes"	""	""	"French"	"ADRIAN CHATEAUNEUF"	""	""	"ali.hachemi@croesus.com"	"Yes"	"05/20/1941"	""	"0.00"	""	"777 888 9999"	""	"0.00"	"CHATEAUNEUF ADRI"
"800008-1"	"(514) 666-4476"	"(900) 555-9713"	"253,673.78"	"CAD"	""	""	""	""	""	""	""	"3"	"tyPE22"	"TYPE21"	""	"No"	""	""	"French"	"Mr. Aya Chef DR."	""	""	"test111@croesus.com"	"Yes"	"10/10/1936"	""	"0.00"	""	""	""	"1,226,086.72"	"Chef Aya"
"800027"	"(450) 555-4476"	"(450) 555-9713"	"36,594.64"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"//1 PAUL Mid1 CHENIER hon1"	""	""	"ARIANE.BANG@hotmail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-0250"	""	"973,434.77"	"CHENIER PAUL"
"800253"	"(450) 555-8945"	"(450) 555-6431"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"DUHAMEL CICANSKY"	""	""	"ALOYSIUS.HISCOCKS@usa.net"	"Yes"	"08/12/1981"	""	"0.00"	""	"(450) 555-8676"	""	"0.00"	"CICANSKY DUHAMEL"
"800209"	"(450) 555-5562"	"(450) 555-5034"	"0.00"	"CAD"	""	""	""	""	""	"12,354.25"	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BRETT CLEMENT"	""	""	"ARLETTE.BULL@hotmail.com"	"Yes"	"10/10/1936"	""	"0.00"	""	"(450) 555-1383"	""	"0.00"	"CLEMENT BRETT"
"800033"	"5144584732"	""	"1,463.29"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"FDP_TEL1"	""	"No"	""	""	"French"	"COCO"	""	""	"ARTHUR.BARROWS@hotmail.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-1370"	""	"521,037.01"	"COCO"
"800080-1"	"450 6626101B"	"1234567890"	"5,005.94"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi"	"ToTo"	""	"No"	""	""	"French"	"BORDELEAU CONWAY"	""	""	"Toto@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"895,925.09"	"CONWAY BORDELEAU"
"800012"	"(450) 555-0007"	"(450) 555-1949"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BOURSE COUSSON"	""	""	"CARRIE.ARSENEAU@videotron.ca"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-5018"	""	"0.00"	"COUSSON BOURSE"
