"Name"	"Account No."	"IA Code"	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Status"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Full Name"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"
"APPEL BERVERLY"	"800066-LV"	"AC42"	"N -"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	"Open"	""	""	""	"05/23/2007"	""	"French"	"BERVERLY APPEL"	"12/01/2009"	""	"800066"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-NA"	"AC42"	"A - Cash"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	"Open"	""	""	""	"07/18/2008"	""	"French"	"BERVERLY APPEL"	"12/01/2009"	""	"800066"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-ZM"	"AC42"	"O -"	""	"(450) 555-4237"	"(450) 555-6129"	"2,725.53"	"CAD"	"Open"	""	""	""	"01/22/2010"	"10/17/2008"	"French"	"BERVERLY APPEL"	"12/01/2009"	""	"800066"	"n/a"	"67,885.44"
"ARAMBASICH BETTI"	"800056-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-3889"	"(450) 555-9951"	"368.09"	"CAD"	"Open"	""	""	""	"01/25/2010"	"01/13/2010"	"French"	"BETTIE ARAMBASICH"	"12/01/2009"	""	"800056"	"n/a"	"503,977.40"
"ARAMBASICH BETTI"	"800056-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-3889"	"(450) 555-9951"	"0.00"	"CAD"	"Open"	""	""	""	"01/20/2010"	""	"French"	"BETTIE ARAMBASICH"	"12/01/2009"	""	"800056"	"0.00"	"5,353.02"
"ARMAND ARVIS"	"800049-NA"	"AC42"	"A - Cash"	""	"(450) 555-9327"	"(450) 555-0037"	"4,537.76"	"CAD"	"Open"	""	""	""	"01/20/2010"	""	"French"	"ARVIS ARMAND"	"12/01/2009"	""	"800049"	"n/a"	"426,980.83"
"ARMAND ARVIS"	"800049-OB"	"AC42"	"A - Cash"	""	"(450) 555-9327"	"(450) 555-0037"	"9,180.42"	"USD"	"Open"	""	""	""	"01/25/2010"	"01/04/2010"	"French"	"ARVIS ARMAND"	"12/01/2009"	""	"800049"	"n/a"	"143,472.44"
"ARMAND ARVIS"	"800049-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-9327"	"(450) 555-0037"	"152.51"	"CAD"	"Open"	""	""	"01/25/2010"	"01/22/2010"	""	"French"	"ARVIS ARMAND"	"12/01/2009"	""	"800049"	"0.00"	"133,502.36"
"ARSENAULT ADIRON"	"800245-GT"	"AC42"	"T - Retirement Income Funds"	""	"(450) 555-8632"	"(450) 555-0609"	"2,899.34"	"CAD"	"Open"	""	""	""	"01/18/2010"	""	"French"	"ADIRONDACK ARSENAULT"	"12/01/2009"	""	"800245"	"n/a"	"129,679.18"
"ARSENAULT ADIRON"	"800245-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8632"	"(450) 555-0609"	"0.00"	"CAD"	"Open"	""	""	""	"12/31/2009"	""	"French"	"ADIRONDACK ARSENAULT"	"12/01/2009"	""	"800245"	"n/a"	"6,128.80"
"ARSENAULT ADIRON"	"800245-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-8632"	"(450) 555-0609"	"1,228.99"	"CAD"	"Open"	""	""	""	"01/18/2010"	"01/14/2010"	"French"	"ADIRONDACK ARSENAULT"	"12/01/2009"	""	"800245"	"0.00"	"276,922.13"
"ATHANASOPOULOS B"	"800252-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4265"	"(450) 555-8593"	"1,259.07"	"CAD"	"Open"	""	""	""	"01/15/2010"	"01/06/2010"	"French"	"BACHIR ATHANASOPOULOS"	"12/01/2009"	""	"800252"	"n/a"	"1,188,902.91"
"ATHANASOPOULOS B"	"800252-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-4265"	"(450) 555-8593"	"2,766.14"	"CAD"	"Open"	""	""	""	"01/25/2010"	""	"French"	"BACHIR ATHANASOPOULOS"	"12/01/2009"	""	"800252"	"0.00"	"1,270,134.60"
"AUBREY AUDREY"	"800240-NA"	"BD88"	"A - Cash"	""	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"CAD"	"Open"	""	""	""	"12/01/2009"	""	"English"	"AUDREY AUBREY"	"12/01/2009"	""	"800240"	"n/a"	"(33,638.09)"
"AUBREY AUDREY"	"800240-OB"	"BD88"	"A - Cash"	""	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"USD"	"Open"	""	""	""	"12/01/2009"	""	"English"	"AUDREY AUBREY"	"12/01/2009"	""	"800240"	"n/a"	"(54,000.00)"
"BALBUL ARLEEN"	"800270-FS"	"BD77"	"S - Retirement Savings Plan"	""	"(450) 555-7755"	"(450) 555-7411"	"(47.58)"	"CAD"	"Open"	""	""	""	"01/12/2010"	"01/12/2010"	"French"	"ARLEEN BALBUL"	"12/01/2009"	""	"800270"	"n/a"	"571,913.62"
"BALBUL ARLEEN"	"800270-NA"	"BD77"	"A - Cash"	""	"(450) 555-7755"	"(450) 555-7411"	"(5,596.21)"	"CAD"	"Open"	""	""	""	"01/22/2010"	""	"French"	"ARLEEN BALBUL"	"12/01/2009"	""	"800270"	"n/a"	"191,036.51"
"BARBOUR CATHERIN"	"800232-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-1002"	"(450) 555-1070"	"(140.49)"	"CAD"	"Open"	""	""	""	"12/01/2009"	""	"French"	"CATHERINA BARBOUR"	"12/01/2009"	""	"800232"	"n/a"	"168,096.89"
"BARBOUR CATHERIN"	"800232-JW"	"BD88"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-1002"	"(450) 555-1070"	"99.20"	"CAD"	"Open"	""	""	""	"10/07/2009"	""	"French"	"CATHERINA BARBOUR"	"12/01/2009"	""	"800232"	"n/a"	"5,158.50"
"BARBOUR CATHERIN"	"800232-NA"	"BD88"	"A - Cash"	""	"(450) 555-1002"	"(450) 555-1070"	"691.28"	"CAD"	"Open"	""	""	""	"01/25/2010"	"12/16/2009"	"French"	"CATHERINA BARBOUR"	"12/01/2009"	""	"800232"	"n/a"	"510,920.64"
"BARKWELL CARLSON"	"800068-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-6025"	"(450) 555-5840"	"0.00"	"CAD"	"Open"	""	""	""	"08/18/2009"	""	"French"	"CARLSON BARKWELL"	"12/01/2009"	""	"800068"	"n/a"	"0.00"
"BARKWELL CARLSON"	"800068-NA"	"BD66"	"A - Cash"	""	"(450) 555-6025"	"(450) 555-5840"	"390.66"	"CAD"	"Open"	""	""	""	"01/18/2010"	"12/11/2009"	"French"	"CARLSON BARKWELL"	"12/01/2009"	""	"800068"	"n/a"	"229,634.16"
"BARROWS ARTHUR"	"800265-LY"	"BD77"	"Y - Life Annuity"	""	"(450) 555-6934"	"(450) 555-0907"	"1,191.33"	"CAD"	"Open"	""	""	""	"01/15/2010"	"11/25/2009"	"French"	"ARTHUR BARROWS"	"12/01/2009"	""	"800265"	"n/a"	"192,950.85"
"BARROWS ARTHUR"	"800265-NA"	"BD77"	"A - Cash"	""	"(450) 555-6934"	"(450) 555-0907"	"2,077.33"	"CAD"	"Open"	""	""	""	"01/22/2010"	""	"French"	"ARTHUR BARROWS"	"12/01/2009"	""	"800265"	"n/a"	"166,298.33"
"BARTLEY BLAINE"	"800033-FS"	"AC44"	"S - Retirement Savings Plan"	""	"(450) 555-7498"	"(450) 555-1584"	"0.00"	"CAD"	"Open"	""	""	""	"12/28/2005"	""	"French"	"BLAINE BARTLEY"	"12/01/2009"	""	"800033"	"n/a"	"0.00"
"BARTLEY BLAINE"	"800033-GT"	"AC44"	"T - Retirement Income Funds"	""	"(450) 555-7498"	"(450) 555-1584"	"376.89"	"CAD"	"Open"	""	""	""	"01/22/2010"	"01/15/2010"	"French"	"BLAINE BARTLEY"	"12/01/2009"	""	"800033"	"n/a"	"491,542.32"
"BARTLEY BLAINE"	"800033-JW"	"AC44"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-7498"	"(450) 555-1584"	"0.00"	"CAD"	"Open"	""	""	""	""	""	"French"	"BLAINE BARTLEY"	"12/01/2009"	""	"800033"	"n/a"	"0.00"
"BARTLEY BLAINE"	"800033-RE"	"AC44"	"E - Margin Long"	""	"(450) 555-7498"	"(450) 555-1584"	"1,086.40"	"CAD"	"Open"	""	""	""	"12/31/2009"	""	"French"	"BLAINE BARTLEY"	"12/01/2009"	""	"800033"	"0.00"	"(612,739.43)"
"BASTET CHOY"	"800285-ER"	"AC42"	"V - Education Savings Plan"	""	"(450) 555-5251"	"(450) 555-1671"	"6,630.91"	"CAD"	"Open"	""	""	""	"01/22/2010"	""	"French"	"CHOY BASTET"	"12/01/2009"	""	"800285"	"n/a"	"63,040.06"
"BASTET CHOY"	"800285-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-5251"	"(450) 555-1671"	"3,917.74"	"CAD"	"Open"	""	""	""	"01/25/2010"	"12/30/2009"	"French"	"CHOY BASTET"	"12/01/2009"	""	"800285"	"n/a"	"94,557.64"
"BASTET CHOY"	"800285-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-5251"	"(450) 555-1671"	"182.50"	"CAD"	"Open"	""	""	""	"01/12/2010"	""	"French"	"CHOY BASTET"	"12/01/2009"	""	"800285"	"n/a"	"5,189.00"
"BASTET CHOY"	"800285-NA"	"AC42"	"A - Cash"	""	"(450) 555-5251"	"(450) 555-1671"	"0.00"	"CAD"	"Open"	""	""	""	"05/17/2005"	""	"French"	"CHOY BASTET"	"12/01/2009"	""	"800285"	"n/a"	"0.00"
"BASTET CHOY"	"800285-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-5251"	"(450) 555-1671"	"(8,797.69)"	"CAD"	"Open"	""	""	""	"01/25/2010"	"12/07/2009"	"French"	"CHOY BASTET"	"12/01/2009"	""	"800285"	"0.00"	"462,213.23"
"BASTET CHOY"	"800285-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-5251"	"(450) 555-1671"	"0.00"	"USD"	"Open"	""	""	""	""	""	"French"	"CHOY BASTET"	"12/01/2009"	""	"800285"	"0.00"	"0.00"
"BEANLAND AUGUSTU"	"800002-NA"	"AC42"	"A - Cash"	""	"(450) 555-7727"	"(450) 555-1322"	"32,554.52"	"CAD"	"Open"	""	""	""	"01/25/2010"	"01/19/2010"	"French"	"AUGUSTUS BEANLAND"	"12/01/2009"	""	"800002"	"n/a"	"1,662,487.46"
"BEANLAND AUGUSTU"	"800002-OB"	"AC42"	"A - Cash"	""	"(450) 555-7727"	"(450) 555-1322"	"216,828.76"	"USD"	"Open"	""	""	""	"01/18/2010"	""	"French"	"AUGUSTUS BEANLAND"	"12/01/2009"	""	"800002"	"n/a"	"571,307.13"
"BEANLAND AUGUSTU"	"800002-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-7727"	"(450) 555-1322"	"14,714.81"	"CAD"	"Open"	""	""	""	"01/20/2010"	"01/20/2010"	"French"	"AUGUSTUS BEANLAND"	"12/01/2009"	""	"800002"	"0.00"	"258,541.01"
"BEANLAND AUGUSTU"	"800002-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-7727"	"(450) 555-1322"	"10.29"	"USD"	"Open"	""	""	""	"08/21/2009"	""	"French"	"AUGUSTUS BEANLAND"	"12/01/2009"	""	"800002"	"0.00"	"10.29"
"BEAUCH RAYMOND"	"800238-DQ"	"BD88"	"Q - Stock Savings Plan"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	"Open"	""	""	""	"06/13/2007"	""	"English"	"RAYMOND BEAUCHEMIN"	"12/01/2009"	""	"800238"	"0.00"	"0.00"
"BEAUCH RAYMOND"	"800238-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	"Open"	""	""	""	"11/29/2002"	""	"English"	"RAYMOND BEAUCHEMIN"	"12/01/2009"	""	"800238"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-GT"	"BD88"	"T - Retirement Income Funds"	""	"(450) 555-5907"	"(450) 555-1414"	"7.09"	"CAD"	"Open"	""	""	""	"01/22/2010"	"01/22/2010"	"English"	"RAYMOND BEAUCHEMIN"	"12/01/2009"	""	"800238"	"n/a"	"406,069.18"
"BEAUCH RAYMOND"	"800238-NA"	"BD88"	"A - Cash"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	"Open"	""	""	""	"09/19/2007"	""	"English"	"RAYMOND BEAUCHEMIN"	"12/01/2009"	""	"800238"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-OB"	"BD88"	"A - Cash"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"USD"	"Open"	""	""	""	"07/04/2007"	""	"English"	"RAYMOND BEAUCHEMIN"	"12/01/2009"	""	"800238"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-5907"	"(450) 555-1414"	"15,191.32"	"CAD"	"Open"	""	""	""	"01/18/2010"	"12/16/2009"	"English"	"RAYMOND BEAUCHEMIN"	"12/01/2009"	""	"800238"	"0.00"	"925,364.38"
"BEAUCH RAYMOND"	"800238-SF"	"BD88"	"E - Margin Long"	""	"(450) 555-5907"	"(450) 555-1414"	"1,743.94"	"USD"	"Open"	""	""	""	"01/15/2010"	""	"English"	"RAYMOND BEAUCHEMIN"	"12/01/2009"	""	"800238"	"0.00"	"219,447.15"
"BELLEROSE ANGELA"	"800202-NA"	"AC43"	"A - Cash"	""	"(450) 555-3088"	"(450) 555-1218"	"8,192.46"	"CAD"	"Open"	""	""	""	"12/14/2009"	"12/02/2009"	"French"	"ANGELA BELLEROSE"	"12/01/2009"	""	"800202"	"n/a"	"95,601.37"
"BELLINI CARILYNE"	"800058-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4422"	"(450) 555-6940"	"2,612.16"	"CAD"	"Open"	""	""	""	"01/25/2010"	"12/14/2009"	"English"	"CARILYNE BELLINI"	"12/01/2009"	""	"800058"	"n/a"	"115,640.71"
"BELLINI CARILYNE"	"800058-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-4422"	"(450) 555-6940"	"108.75"	"CAD"	"Open"	""	""	""	"08/17/2009"	""	"English"	"CARILYNE BELLINI"	"12/01/2009"	""	"800058"	"n/a"	"5,324.76"
"BELLINI CARILYNE"	"800058-NA"	"AC42"	"A - Cash"	""	"(450) 555-4422"	"(450) 555-6940"	"3,805.49"	"CAD"	"Open"	""	""	""	"01/04/2010"	""	"English"	"CARILYNE BELLINI"	"12/01/2009"	""	"800058"	"n/a"	"159,701.01"
"BELLINI CARILYNE"	"800058-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-4422"	"(450) 555-6940"	"6,765.89"	"CAD"	"Open"	""	""	""	"01/25/2010"	"01/20/2010"	"English"	"CARILYNE BELLINI"	"12/01/2009"	""	"800058"	"0.00"	"91,948.67"
"BELVAN BELLEROSE"	"800231-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-2263"	"(450) 555-8913"	"0.00"	"CAD"	"Open"	""	""	""	"10/25/2006"	""	"French"	"FABRICE BELLEROSE BELVAN"	"12/01/2009"	""	"800231"	"n/a"	"0.00"
"BELVAN BELLEROSE"	"800231-GT"	"BD66"	"T - Retirement Income Funds"	""	"(450) 555-2263"	"(450) 555-8913"	"(22,181.23)"	"CAD"	"Open"	""	""	""	"01/19/2010"	"01/19/2010"	"French"	"FABRICE BELLEROSE BELVAN"	"12/01/2009"	""	"800231"	"n/a"	"704,087.67"
"BELVAN BELLEROSE"	"800231-NA"	"BD66"	"A - Cash"	""	"(450) 555-2263"	"(450) 555-8913"	"2,558.62"	"CAD"	"Open"	""	""	""	"01/25/2010"	""	"French"	"FABRICE BELLEROSE BELVAN"	"12/01/2009"	""	"800231"	"n/a"	"638,135.34"
"BIANCHI ARSENE"	"800219-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-0398"	"(450) 555-7757"	"0.00"	"CAD"	"Open"	""	""	""	"12/01/2009"	""	"French"	"ARSENE BIANCHI"	"12/01/2009"	""	"800219"	"n/a"	"(16,018.04)"
"BIANCHI ARSENE"	"800219-JW"	"BD66"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-0398"	"(450) 555-7757"	"437.80"	"CAD"	"Open"	""	""	""	"12/22/2009"	""	"French"	"ARSENE BIANCHI"	"12/01/2009"	""	"800219"	"n/a"	"6,134.32"
"BIANCHI ARSENE"	"800219-NA"	"BD66"	"A - Cash"	""	"(450) 555-0398"	"(450) 555-7757"	"39.40"	"CAD"	"Open"	""	""	""	"04/20/2009"	""	"French"	"ARSENE BIANCHI"	"12/01/2009"	""	"800219"	"n/a"	"39.48"
"BIHOUR ALISSA"	"800223-GT"	"BD88"	"T - Retirement Income Funds"	""	"(450) 555-2932"	"(450) 555-6137"	"1,048.90"	"CAD"	"Open"	""	""	""	"01/15/2010"	"12/18/2009"	"French"	"ALISSA BIHOUR"	"12/01/2009"	""	"800223"	"n/a"	"429,184.87"
"BIHOUR ALISSA"	"800223-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-2932"	"(450) 555-6137"	"19,427.63"	"CAD"	"Open"	""	""	""	"01/18/2010"	"01/18/2010"	"French"	"ALISSA BIHOUR"	"12/01/2009"	""	"800223"	"0.00"	"544,227.14"
"BLACK JACOB"	"800291-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"Open"	""	""	""	"06/06/2005"	""	"English"	"JACOB BLACK"	"12/01/2009"	""	"800291"	"n/a"	"0.00"
"BLACK JACOB"	"800291-GT"	"AC42"	"T - Retirement Income Funds"	""	"(416) 668-5656"	"(416) 668-0909"	"25,494.83"	"CAD"	"Open"	""	""	""	"01/25/2010"	"01/19/2010"	"English"	"JACOB BLACK"	"12/01/2009"	""	"800291"	"n/a"	"98,513.59"
"BLACK JACOB"	"800291-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"Open"	""	""	""	""	""	"English"	"JACOB BLACK"	"12/01/2009"	""	"800291"	"n/a"	"0.00"
"BLACK JACOB"	"800291-LV"	"AC42"	"N -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"Open"	""	""	""	"05/06/2005"	""	"English"	"JACOB BLACK"	"12/01/2009"	""	"800291"	"n/a"	"0.00"
"BLACK JACOB"	"800291-RE"	"AC42"	"E - Margin Long"	""	"(416) 668-5656"	"(416) 668-0909"	"3,432.32"	"CAD"	"Open"	""	""	""	"01/25/2010"	""	"English"	"JACOB BLACK"	"12/01/2009"	""	"800291"	"0.00"	"5,757.92"
"BLACK JACOB"	"800291-SF"	"AC42"	"E - Margin Long"	""	"(416) 668-5656"	"(416) 668-0909"	"(2,590.01)"	"USD"	"Open"	""	""	""	"01/25/2010"	""	"English"	"JACOB BLACK"	"12/01/2009"	""	"800291"	"0.00"	"(2,267.01)"
"BLACK JACOB"	"800291-VL"	"AC42"	"L -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"Open"	""	""	""	"07/13/2009"	""	"English"	"JACOB BLACK"	"12/01/2009"	""	"800291"	"n/a"	"0.00"
"BLACK JACOB"	"800291-ZM"	"AC42"	"O -"	""	"(416) 668-5656"	"(416) 668-0909"	"1,618.22"	"CAD"	"Open"	""	""	""	"01/15/2010"	"11/03/2008"	"English"	"JACOB BLACK"	"12/01/2009"	""	"800291"	"n/a"	"24,491.25"
"BLANCHARD CARMEN"	"800255-DQ"	"AC42"	"Q - Stock Savings Plan"	""	"(450) 555-2250"	"(450) 555-9406"	"0.00"	"CAD"	"Open"	""	""	""	"02/06/2006"	""	"French"	"CARMEN BLANCHARD"	"12/01/2009"	""	"800255"	"0.00"	"0.00"
"BLANCHARD CARMEN"	"800255-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-2250"	"(450) 555-9406"	"7,083.57"	"CAD"	"Open"	""	""	""	"01/15/2010"	""	"French"	"CARMEN BLANCHARD"	"12/01/2009"	""	"800255"	"n/a"	"105,130.88"
"BLANCHARD CARMEN"	"800255-KX"	"AC42"	"X - Locked-in Income Fund"	""	"(450) 555-2250"	"(450) 555-9406"	"0.00"	"CAD"	"Open"	""	""	""	"09/08/2003"	""	"French"	"CARMEN BLANCHARD"	"12/01/2009"	""	"800255"	"n/a"	"0.00"
"BLANCHARD CARMEN"	"800255-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-2250"	"(450) 555-9406"	"6,599.67"	"CAD"	"Open"	""	""	""	"01/22/2010"	"12/11/2009"	"French"	"CARMEN BLANCHARD"	"12/01/2009"	""	"800255"	"0.00"	"320,595.98"
"BLOOMFIELD BLUMA"	"800207-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-7052"	"(450) 555-7611"	"551.23"	"CAD"	"Open"	""	""	""	"01/25/2010"	"01/14/2010"	"French"	"BLUMARMIDON BLOOMFIELD"	"12/01/2009"	""	"800207"	"n/a"	"406,346.89"
"BLOOMFIELD BLUMA"	"800207-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-7052"	"(450) 555-7611"	"0.00"	"CAD"	"Open"	""	""	""	"01/06/2010"	"01/06/2010"	"French"	"BLUMARMIDON BLOOMFIELD"	"12/01/2009"	""	"800207"	"n/a"	"10,084.47"
"BLOOMFIELD BLUMA"	"800207-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-7052"	"(450) 555-7611"	"12,404.28"	"CAD"	"Open"	""	""	""	"01/25/2010"	""	"French"	"BLUMARMIDON BLOOMFIELD"	"12/01/2009"	""	"800207"	"0.00"	"690,878.39"
"BOMBARDIER FRAN"	"800055-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-8078"	"(450) 555-6495"	"0.00"	"CAD"	"Open"	""	""	""	"12/01/2009"	""	"French"	"FRANCOIS BOMBARDIER"	"12/01/2009"	""	"800055"	"n/a"	"(65,632.67)"
"BOMBARDIER FRAN"	"800055-JJ"	"AC42"	"J -"	""	"(450) 555-8078"	"(450) 555-6495"	"0.00"	"CAD"	"Open"	""	""	""	"12/03/2009"	""	"French"	"FRANCOIS BOMBARDIER"	"12/01/2009"	""	"800055"	"n/a"	"0.00"
"BOMBARDIER FRAN"	"800055-NA"	"AC42"	"A - Cash"	""	"(450) 555-8078"	"(450) 555-6495"	"0.00"	"CAD"	"Open"	""	""	""	"12/01/2009"	""	"French"	"FRANCOIS BOMBARDIER"	"12/01/2009"	""	"800055"	"n/a"	"161,676.52"
