"Account No."	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Feuille A"	"Withdrawal frequency 2"	"Withdrawal frequency 1"	"Withdrawal amount 2"	"Withdrawal amount 1"	"Withdr. freq. start date 2"	"Withdr. freq. start date 1"	"Status"	"Sleeves"	"Reserves"	"Pro"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Joint Account"	"Full Name"	"Discretionary"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"	"Name"
"800241-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8327"	"(450) 555-6713"	"232.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"01/01/2009"	""	"800241"	"n/a"	"5,732.00"	"ALARY ANNY"
"800241-RE"	"E - Margin Long"	""	"(450) 555-8327"	"(450) 555-6713"	"6,341.43"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"03/16/1993"	""	"800241"	"0.00"	"53,771.76"	"ALARY ANNY"
"800241-SF"	"E - Margin Long"	""	"(450) 555-8327"	"(450) 555-6713"	"0.06"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"02/18/2005"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"01/01/2009"	""	"800241"	"0.00"	"0.06"	"ALARY ANNY"
"800066-FS"	"S - Retirement Savings Plan"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"07/04/2007"	""	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"0.00"	"APPEL BERVERLY"
"800066-GT"	"T - Retirement Income Funds"	""	"(450) 555-4237"	"(450) 555-6129"	"13,445.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"292,733.55"	"APPEL BERVERLY"
"800066-LV"	"N -"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/23/2007"	""	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"0.00"	"APPEL BERVERLY"
"800066-NA"	"A - Cash"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"07/18/2008"	""	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"0.00"	"APPEL BERVERLY"
"800066-ZM"	"O -"	""	"(450) 555-4237"	"(450) 555-6129"	"2,725.53"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	"10/17/2008"	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"67,883.35"	"APPEL BERVERLY"
"800056-FS"	"S - Retirement Savings Plan"	""	"(450) 555-3889"	"(450) 555-9951"	"368.09"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BETTIE ARAMBASICH"	"Yes"	"01/01/2009"	""	"800056"	"n/a"	"503,977.40"	"ARAMBASICH BETTI"
"800056-RE"	"E - Margin Long"	""	"(450) 555-3889"	"(450) 555-9951"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"BETTIE ARAMBASICH"	"Yes"	"01/01/2009"	""	"800056"	"0.00"	"5,353.02"	"ARAMBASICH BETTI"
"800049-NA"	"A - Cash"	""	"(450) 555-9327"	"(450) 555-0037"	"4,537.76"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/20/2010"	""	"French"	"No"	"ARVIS ARMAND"	"Yes"	"01/01/2009"	""	"800049"	"n/a"	"426,980.83"	"ARMAND ARVIS"
"800049-OB"	"A - Cash"	""	"(450) 555-9327"	"(450) 555-0037"	"9,180.42"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"ARVIS ARMAND"	"Yes"	"01/01/2009"	""	"800049"	"n/a"	"143,472.44"	"ARMAND ARVIS"
"800049-RE"	"E - Margin Long"	""	"(450) 555-9327"	"(450) 555-0037"	"152.51"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"ARVIS ARMAND"	"Yes"	"01/01/2009"	""	"800049"	"0.00"	"133,502.36"	"ARMAND ARVIS"
"800245-GT"	"T - Retirement Income Funds"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"2,899.34"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"ADIRONDACK ARSENAULT"	"Yes"	"01/01/2009"	""	"800245"	"n/a"	"129,679.18"	"ARSENAULT ADIRON"
"800245-JW"	"W - Spousal - Retirement Income Funds"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"ADIRONDACK ARSENAULT"	"Yes"	"01/01/2009"	""	"800245"	"n/a"	"6,128.80"	"ARSENAULT ADIRON"
"800245-RE"	"E - Margin Long"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"1,228.99"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"ADIRONDACK ARSENAULT"	"Yes"	"01/01/2009"	""	"800245"	"0.00"	"276,922.13"	"ARSENAULT ADIRON"
"800252-FS"	"S - Retirement Savings Plan"	""	"(450) 555-4265"	"(450) 555-8593"	"1,259.07"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"BACHIR ATHANASOPOULOS"	"Yes"	"01/01/2009"	""	"800252"	"n/a"	"1,188,902.91"	"ATHANASOPOULOS B"
"800252-RE"	"E - Margin Long"	""	"(450) 555-4265"	"(450) 555-8593"	"2,766.14"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BACHIR ATHANASOPOULOS"	"Yes"	"01/01/2009"	""	"800252"	"0.00"	"1,270,131.23"	"ATHANASOPOULOS B"
"800240-NA"	"A - Cash"	""	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/01/2009"	""	"English"	"No"	"AUDREY AUBREY"	"Yes"	"01/01/2009"	""	"800240"	"n/a"	"0.00"	"AUBREY AUDREY"
"800240-OB"	"A - Cash"	""	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"English"	"No"	"AUDREY AUBREY"	"Yes"	"01/01/2009"	""	"800240"	"n/a"	"0.00"	"AUBREY AUDREY"
"800270-FS"	"S - Retirement Savings Plan"	""	"(450) 555-7755"	"(450) 555-7411"	"(47.58)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/12/2010"	""	"French"	"No"	"ARLEEN BALBUL"	"Yes"	"01/01/2009"	""	"800270"	"n/a"	"571,913.62"	"BALBUL ARLEEN"
"800270-NA"	"A - Cash"	""	"(450) 555-7755"	"(450) 555-7411"	"(5,596.21)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/22/2010"	""	"French"	"No"	"ARLEEN BALBUL"	"Yes"	"01/01/2009"	""	"800270"	"n/a"	"269,127.66"	"BALBUL ARLEEN"
"800232-FS"	"S - Retirement Savings Plan"	""	""	""	"(140.49)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"No"	"CATHERINA BARBOUR"	"Yes"	"01/01/2009"	""	"800232"	"n/a"	"174,234.15"	"BARBOUR CATHERIN"
"800232-JW"	"W - Spousal - Retirement Income Funds"	""	""	""	"99.20"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/07/2009"	""	"French"	"No"	"CATHERINA BARBOUR"	"Yes"	"01/01/2009"	""	"800232"	"n/a"	"5,158.50"	"BARBOUR CATHERIN"
"800232-NA"	"A - Cash"	""	""	""	"691.28"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"CATHERINA BARBOUR"	"Yes"	"01/01/2009"	""	"800232"	"n/a"	"549,420.52"	"BARBOUR CATHERIN"
"800068-FS"	"S - Retirement Savings Plan"	""	"(450) 555-6025"	"(450) 555-5840"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"08/18/2009"	""	"French"	"No"	"CARLSON BARKWELL"	"Yes"	"01/01/2009"	""	"800068"	"n/a"	"0.00"	"BARKWELL CARLSON"
"800068-NA"	"A - Cash"	""	"(450) 555-6025"	"(450) 555-5840"	"390.66"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/18/2010"	""	"French"	"No"	"CARLSON BARKWELL"	"Yes"	"01/01/2009"	""	"800068"	"n/a"	"250,286.36"	"BARKWELL CARLSON"
"800265-LY"	"Y - Life Annuity"	""	"(450) 555-6934"	"(450) 555-0907"	"1,191.33"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"ARTHUR BARROWS"	"Yes"	"01/01/2009"	""	"800265"	"n/a"	"192,950.85"	"BARROWS ARTHUR"
"800265-NA"	"A - Cash"	""	"(450) 555-6934"	"(450) 555-0907"	"2,077.33"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/22/2010"	""	"French"	"No"	"ARTHUR BARROWS"	"Yes"	"01/01/2009"	""	"800265"	"n/a"	"166,298.33"	"BARROWS ARTHUR"
"800033-FS"	"S - Retirement Savings Plan"	""	"5144584732"	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/28/2005"	""	"French"	"No"	"BLAINE BARTLEY"	"Yes"	"01/01/2009"	""	"800033"	"n/a"	"0.00"	"BARTLEY BLAINE"
"800033-GT"	"T - Retirement Income Funds"	""	"5144584732"	""	"376.89"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BLAINE BARTLEY"	"Yes"	"01/01/2009"	""	"800033"	"n/a"	"491,542.32"	"BARTLEY BLAINE"
"800033-JW"	"W - Spousal - Retirement Income Funds"	""	"5144584732"	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"BLAINE BARTLEY"	"Yes"	"01/01/2009"	""	"800033"	"n/a"	"0.00"	"BARTLEY BLAINE"
"800033-RE"	"E - Margin Long"	""	"5144584732"	""	"1,086.40"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"BLAINE BARTLEY"	"Yes"	"01/01/2009"	""	"800033"	"0.00"	"29,494.69"	"BARTLEY BLAINE"
"800285-ER"	"V - Education Savings Plan"	""	"(450) 555-5251"	"(450) 555-1671"	"6,630.91"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"n/a"	"63,040.06"	"BASTET CHOY"
"800285-FS"	"S - Retirement Savings Plan"	""	"(450) 555-5251"	"(450) 555-1671"	"3,917.74"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"n/a"	"94,557.64"	"BASTET CHOY"
"800285-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-5251"	"(450) 555-1671"	"182.50"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/12/2010"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"n/a"	"5,189.00"	"BASTET CHOY"
"800285-NA"	"A - Cash"	""	"(450) 555-5251"	"(450) 555-1671"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"05/17/2005"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"n/a"	"0.00"	"BASTET CHOY"
"800285-RE"	"E - Margin Long"	""	"(450) 555-5251"	"(450) 555-1671"	"(8,797.69)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"0.00"	"462,206.67"	"BASTET CHOY"
"800285-SF"	"E - Margin Long"	""	"(450) 555-5251"	"(450) 555-1671"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"0.00"	"0.00"	"BASTET CHOY"
"800002-NA"	"A - Cash"	""	"(450) 555-7727"	"(450) 555-1322"	"32,554.52"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"AUGUSTUS BEANLAND"	"Yes"	"01/01/2009"	""	"800002"	"n/a"	"1,662,484.62"	"BEANLAND AUGUSTU"
"800002-OB"	"A - Cash"	""	"(450) 555-7727"	"(450) 555-1322"	"216,828.76"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"AUGUSTUS BEANLAND"	"Yes"	"01/01/2009"	""	"800002"	"n/a"	"571,704.73"	"BEANLAND AUGUSTU"
"800002-RE"	"E - Margin Long"	""	"(450) 555-7727"	"(450) 555-1322"	"14,714.81"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"AUGUSTUS BEANLAND"	"Yes"	"01/01/2009"	""	"800002"	"0.00"	"258,541.01"	"BEANLAND AUGUSTU"
"800002-SF"	"E - Margin Long"	""	"(450) 555-7727"	"(450) 555-1322"	"10.29"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"08/21/2009"	""	"French"	"No"	"AUGUSTUS BEANLAND"	"Yes"	"01/01/2009"	""	"800002"	"0.00"	"10.29"	"BEANLAND AUGUSTU"
"800238-DQ"	"Q - Stock Savings Plan"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/13/2007"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"0.00"	"0.00"	"BEAUCH RAYMOND"
"800238-FS"	"S - Retirement Savings Plan"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/29/2002"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"n/a"	"0.00"	"BEAUCH RAYMOND"
"800238-GT"	"T - Retirement Income Funds"	""	"(450) 555-5907"	"(450) 555-1414"	"7.09"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/23/2013"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"n/a"	"406,069.18"	"BEAUCH RAYMOND"
"800238-NA"	"A - Cash"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"09/19/2007"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"n/a"	"0.00"	"BEAUCH RAYMOND"
"800238-OB"	"A - Cash"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"07/04/2007"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"n/a"	"0.00"	"BEAUCH RAYMOND"
"800238-RE"	"E - Margin Long"	""	"(450) 555-5907"	"(450) 555-1414"	"15,191.32"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"0.00"	"925,364.38"	"BEAUCH RAYMOND"
"800238-SF"	"E - Margin Long"	""	"(450) 555-5907"	"(450) 555-1414"	"1,743.94"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"0.00"	"219,447.15"	"BEAUCH RAYMOND"
"800202-NA"	"A - Cash"	""	"(450) 555-3088"	"(450) 555-1218"	"8,192.46"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/14/2009"	""	"French"	"No"	"ANGELA BELLEROSE"	"Yes"	"01/01/2009"	""	"800202"	"n/a"	"95,598.26"	"BELLEROSE ANGELA"
"800058-FS"	"S - Retirement Savings Plan"	""	"(450) 555-4422"	"(450) 555-6940"	"2,612.16"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"CARILYNE BELLINI"	"Yes"	"01/01/2009"	""	"800058"	"n/a"	"141,011.72"	"BELLINI CARILYNE"
"800058-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-4422"	"(450) 555-6940"	"108.75"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"08/17/2009"	""	"English"	"No"	"CARILYNE BELLINI"	"Yes"	"01/01/2009"	""	"800058"	"n/a"	"5,324.76"	"BELLINI CARILYNE"
"800058-NA"	"A - Cash"	""	"(450) 555-4422"	"(450) 555-6940"	"3,805.49"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/04/2010"	""	"English"	"No"	"CARILYNE BELLINI"	"Yes"	"01/01/2009"	""	"800058"	"n/a"	"159,701.01"	"BELLINI CARILYNE"
"800058-RE"	"E - Margin Long"	""	"(450) 555-4422"	"(450) 555-6940"	"6,765.89"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"CARILYNE BELLINI"	"Yes"	"01/01/2009"	""	"800058"	"0.00"	"91,948.67"	"BELLINI CARILYNE"
"800231-FS"	"S - Retirement Savings Plan"	""	"(450) 555-2263"	"(450) 555-8913"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/25/2006"	""	"French"	"No"	"FABRICE BELLEROSE BELVAN"	"Yes"	"01/01/2009"	""	"800231"	"n/a"	"0.00"	"BELVAN BELLEROSE"
"800231-GT"	"T - Retirement Income Funds"	""	"(450) 555-2263"	"(450) 555-8913"	"(22,181.23)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/19/2010"	""	"French"	"No"	"FABRICE BELLEROSE BELVAN"	"Yes"	"01/01/2009"	""	"800231"	"n/a"	"704,087.67"	"BELVAN BELLEROSE"
"800231-NA"	"A - Cash"	""	"(450) 555-2263"	"(450) 555-8913"	"2,558.62"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"FABRICE BELLEROSE BELVAN"	"Yes"	"01/01/2009"	""	"800231"	"n/a"	"638,135.34"	"BELVAN BELLEROSE"
"800219-FS"	"S - Retirement Savings Plan"	""	"(450) 555-0398"	"(450) 555-7757"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"No"	"ARSENE BIANCHI"	"Yes"	"01/01/2009"	""	"800219"	"n/a"	"0.00"	"BIANCHI ARSENE"
"800219-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-0398"	"(450) 555-7757"	"437.80"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/22/2009"	""	"French"	"No"	"ARSENE BIANCHI"	"Yes"	"01/01/2009"	""	"800219"	"n/a"	"6,134.32"	"BIANCHI ARSENE"
"800219-NA"	"A - Cash"	""	"(450) 555-0398"	"(450) 555-7757"	"39.40"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"04/20/2009"	""	"French"	"No"	"ARSENE BIANCHI"	"Yes"	"01/01/2009"	""	"800219"	"n/a"	"39.48"	"BIANCHI ARSENE"
"800223-GT"	"T - Retirement Income Funds"	""	"123 456 7890"	"123 456-7890"	"1,048.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"ALISSA BIHOUR"	"Yes"	"01/01/2009"	""	"800223"	"n/a"	"429,184.87"	"BIHOUR ALISSA"
"800223-RE"	"E - Margin Long"	""	"123 456 7890"	"123 456-7890"	"19,427.63"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	"~M-0000E-0"	"SUBS_PRORATA"	""	"01/18/2010"	""	"French"	"No"	"ALISSA BIHOUR"	"Yes"	"01/01/2009"	""	"800223"	"0.00"	"555,311.32"	"BIHOUR ALISSA"
"800291-FS"	"S - Retirement Savings Plan"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/06/2005"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"0.00"	"BLACK JACOB"
