"Name"	"Account No."	"IA Code"	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Feuille A"	"Withdrawal frequency 2"	"Withdrawal frequency 1"	"Withdrawal amount 2"	"Withdrawal amount 1"	"Withdr. freq. start date 2"	"Withdr. freq. start date 1"	"Status"	"Sleeves"	"Reserves"	"Pro"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Joint Account"	"Full Name"	"Discretionary"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"
"BALBUL ARLEEN"	"800270-NA"	"BD77"	"A - Cash"	""	"(450) 555-7755"	"(450) 555-7411"	"(5,596.21)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/22/2010"	""	"French"	"No"	"ARLEEN BALBUL"	"Yes"	"01/01/2009"	""	"800270"	"n/a"	"269,127.66"
"BARBOUR CATHERIN"	"800232-FS"	"BD88"	"S - Retirement Savings Plan"	""	""	""	"(140.49)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"No"	"CATHERINA BARBOUR"	"Yes"	"01/01/2009"	""	"800232"	"n/a"	"174,234.15"
"BARBOUR CATHERIN"	"800232-JW"	"BD88"	"W - Spousal - Retirement Income Funds"	""	""	""	"99.20"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/07/2009"	""	"French"	"No"	"CATHERINA BARBOUR"	"Yes"	"01/01/2009"	""	"800232"	"n/a"	"5,158.50"
"BARBOUR CATHERIN"	"800232-NA"	"BD88"	"A - Cash"	""	""	""	"691.28"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"CATHERINA BARBOUR"	"Yes"	"01/01/2009"	""	"800232"	"n/a"	"549,420.52"
"BARKWELL CARLSON"	"800068-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-6025"	"(450) 555-5840"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"08/18/2009"	""	"French"	"No"	"CARLSON BARKWELL"	"Yes"	"01/01/2009"	""	"800068"	"n/a"	"0.00"
"BARKWELL CARLSON"	"800068-NA"	"BD66"	"A - Cash"	""	"(450) 555-6025"	"(450) 555-5840"	"390.66"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/18/2010"	""	"French"	"No"	"CARLSON BARKWELL"	"Yes"	"01/01/2009"	""	"800068"	"n/a"	"250,286.36"
"BARROWS ARTHUR"	"800265-LY"	"BD77"	"Y - Life Annuity"	""	"(450) 555-6934"	"(450) 555-0907"	"1,191.33"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"ARTHUR BARROWS"	"Yes"	"01/01/2009"	""	"800265"	"n/a"	"192,950.85"
"BARROWS ARTHUR"	"800265-NA"	"BD77"	"A - Cash"	""	"(450) 555-6934"	"(450) 555-0907"	"2,077.33"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/22/2010"	""	"French"	"No"	"ARTHUR BARROWS"	"Yes"	"01/01/2009"	""	"800265"	"n/a"	"166,298.33"
"BARTLEY BLAINE"	"800033-FS"	"AC44"	"S - Retirement Savings Plan"	""	"5144584732"	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/28/2005"	""	"French"	"No"	"BLAINE BARTLEY"	"Yes"	"01/01/2009"	""	"800033"	"n/a"	"0.00"
"BARTLEY BLAINE"	"800033-GT"	"AC44"	"T - Retirement Income Funds"	""	"5144584732"	""	"376.89"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BLAINE BARTLEY"	"Yes"	"01/01/2009"	""	"800033"	"n/a"	"491,542.32"
"BARTLEY BLAINE"	"800033-JW"	"AC44"	"W - Spousal - Retirement Income Funds"	""	"5144584732"	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"BLAINE BARTLEY"	"Yes"	"01/01/2009"	""	"800033"	"n/a"	"0.00"
"BARTLEY BLAINE"	"800033-RE"	"AC44"	"E - Margin Long"	""	"5144584732"	""	"1,086.40"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"BLAINE BARTLEY"	"Yes"	"01/01/2009"	""	"800033"	"0.00"	"29,494.69"
"BASTET CHOY"	"800285-ER"	"AC42"	"V - Education Savings Plan"	""	"(450) 555-5251"	"(450) 555-1671"	"6,630.91"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"n/a"	"63,040.06"
"BASTET CHOY"	"800285-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-5251"	"(450) 555-1671"	"3,917.74"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"n/a"	"94,557.64"
"BASTET CHOY"	"800285-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-5251"	"(450) 555-1671"	"182.50"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/12/2010"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"n/a"	"5,189.00"
"BASTET CHOY"	"800285-NA"	"AC42"	"A - Cash"	""	"(450) 555-5251"	"(450) 555-1671"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"05/17/2005"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"n/a"	"0.00"
"BASTET CHOY"	"800285-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-5251"	"(450) 555-1671"	"(8,797.69)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"0.00"	"462,206.67"
"BASTET CHOY"	"800285-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-5251"	"(450) 555-1671"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"CHOY BASTET"	"Yes"	"01/01/2009"	""	"800285"	"0.00"	"0.00"
"BEANLAND AUGUSTU"	"800002-NA"	"AC42"	"A - Cash"	""	"(450) 555-7727"	"(450) 555-1322"	"32,554.52"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"AUGUSTUS BEANLAND"	"Yes"	"01/01/2009"	""	"800002"	"n/a"	"1,662,484.62"
"BEANLAND AUGUSTU"	"800002-OB"	"AC42"	"A - Cash"	""	"(450) 555-7727"	"(450) 555-1322"	"216,828.76"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"AUGUSTUS BEANLAND"	"Yes"	"01/01/2009"	""	"800002"	"n/a"	"571,704.73"
"BEANLAND AUGUSTU"	"800002-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-7727"	"(450) 555-1322"	"14,714.81"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"AUGUSTUS BEANLAND"	"Yes"	"01/01/2009"	""	"800002"	"0.00"	"258,541.01"
"BEANLAND AUGUSTU"	"800002-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-7727"	"(450) 555-1322"	"10.29"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"08/21/2009"	""	"French"	"No"	"AUGUSTUS BEANLAND"	"Yes"	"01/01/2009"	""	"800002"	"0.00"	"10.29"
"BEAUCH RAYMOND"	"800238-DQ"	"BD88"	"Q - Stock Savings Plan"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/13/2007"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"0.00"	"0.00"
"BEAUCH RAYMOND"	"800238-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/29/2002"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-GT"	"BD88"	"T - Retirement Income Funds"	""	"(450) 555-5907"	"(450) 555-1414"	"7.09"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/23/2013"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"n/a"	"406,069.18"
"BEAUCH RAYMOND"	"800238-NA"	"BD88"	"A - Cash"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"09/19/2007"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-OB"	"BD88"	"A - Cash"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"07/04/2007"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-5907"	"(450) 555-1414"	"15,191.32"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"0.00"	"925,364.38"
"BEAUCH RAYMOND"	"800238-SF"	"BD88"	"E - Margin Long"	""	"(450) 555-5907"	"(450) 555-1414"	"1,743.94"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"English"	"No"	"RAYMOND BEAUCHEMIN"	"Yes"	"01/01/2009"	""	"800238"	"0.00"	"219,447.15"
"BELLEROSE ANGELA"	"800202-NA"	"AC43"	"A - Cash"	""	"(450) 555-3088"	"(450) 555-1218"	"8,192.46"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/14/2009"	""	"French"	"No"	"ANGELA BELLEROSE"	"Yes"	"01/01/2009"	""	"800202"	"n/a"	"95,598.26"
"BELLINI CARILYNE"	"800058-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4422"	"(450) 555-6940"	"2,612.16"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"CARILYNE BELLINI"	"Yes"	"01/01/2009"	""	"800058"	"n/a"	"141,011.72"
"BELLINI CARILYNE"	"800058-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-4422"	"(450) 555-6940"	"108.75"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"08/17/2009"	""	"English"	"No"	"CARILYNE BELLINI"	"Yes"	"01/01/2009"	""	"800058"	"n/a"	"5,324.76"
"BELLINI CARILYNE"	"800058-NA"	"AC42"	"A - Cash"	""	"(450) 555-4422"	"(450) 555-6940"	"3,805.49"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/04/2010"	""	"English"	"No"	"CARILYNE BELLINI"	"Yes"	"01/01/2009"	""	"800058"	"n/a"	"159,701.01"
"BELLINI CARILYNE"	"800058-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-4422"	"(450) 555-6940"	"6,765.89"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"CARILYNE BELLINI"	"Yes"	"01/01/2009"	""	"800058"	"0.00"	"91,948.67"
"BELVAN BELLEROSE"	"800231-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-2263"	"(450) 555-8913"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/25/2006"	""	"French"	"No"	"FABRICE BELLEROSE BELVAN"	"Yes"	"01/01/2009"	""	"800231"	"n/a"	"0.00"
"BELVAN BELLEROSE"	"800231-GT"	"BD66"	"T - Retirement Income Funds"	""	"(450) 555-2263"	"(450) 555-8913"	"(22,181.23)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/19/2010"	""	"French"	"No"	"FABRICE BELLEROSE BELVAN"	"Yes"	"01/01/2009"	""	"800231"	"n/a"	"704,087.67"
"BELVAN BELLEROSE"	"800231-NA"	"BD66"	"A - Cash"	""	"(450) 555-2263"	"(450) 555-8913"	"2,558.62"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"FABRICE BELLEROSE BELVAN"	"Yes"	"01/01/2009"	""	"800231"	"n/a"	"638,135.34"
"BIANCHI ARSENE"	"800219-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-0398"	"(450) 555-7757"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"No"	"ARSENE BIANCHI"	"Yes"	"01/01/2009"	""	"800219"	"n/a"	"0.00"
"BIANCHI ARSENE"	"800219-JW"	"BD66"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-0398"	"(450) 555-7757"	"437.80"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/22/2009"	""	"French"	"No"	"ARSENE BIANCHI"	"Yes"	"01/01/2009"	""	"800219"	"n/a"	"6,134.32"
"BIANCHI ARSENE"	"800219-NA"	"BD66"	"A - Cash"	""	"(450) 555-0398"	"(450) 555-7757"	"39.40"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"04/20/2009"	""	"French"	"No"	"ARSENE BIANCHI"	"Yes"	"01/01/2009"	""	"800219"	"n/a"	"39.48"
