"Nom"	"No compte"	"Code de CP"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"PFSfrench_1"	"PFSfrench"	"Feuille F"	"Segments"	"Réserves"	"Pro"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Montant retrait 2"	"Montant retrait 1"	"Langue"	"Fréquence retrait 2"	"Fréquence retrait 1"	"État"	"Discrétionnaire"	"Dernier achat/vente"	"Dern. trans."	"Début fréq. retrait 2"	"Début fréq. retrait 1"	"Début de gestion"	"Date de fermeture"	"Création"	"Compte conjoint"	"Marge"	"Valeur totale"
"ALARY ANNY"	"800241-JW"	"0AED"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8327"	"(450) 555-6713"	"232,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ANNY ALARY"	""	"800241"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 732,00"
"ALARY ANNY"	"800241-RE"	"0AED"	"E - Marge couvert"	""	"(450) 555-8327"	"(450) 555-6713"	"6 341,43"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ANNY ALARY"	""	"800241"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/22"	""	""	""	""	"1993/03/16"	"Non"	"0,00"	"53 771,76"
"ALARY ANNY"	"800241-SF"	"0AED"	"E - Marge couvert"	""	"(450) 555-8327"	"(450) 555-6713"	"0,06"	"USD"	""	""	""	"Non"	""	"Non"	""	"ANNY ALARY"	""	"800241"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2005/02/18"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,06"
"APPEL BERVERLY"	"800066-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BERVERLY APPEL"	""	"800066"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2007/07/04"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"APPEL BERVERLY"	"800066-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-4237"	"(450) 555-6129"	"13 445,90"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BERVERLY APPEL"	""	"800066"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"292 733,55"
"APPEL BERVERLY"	"800066-LV"	"AC42"	"N -"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BERVERLY APPEL"	""	"800066"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2007/05/23"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"APPEL BERVERLY"	"800066-NA"	"AC42"	"A - Comptant"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"BERVERLY APPEL"	""	"800066"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2008/07/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"APPEL BERVERLY"	"800066-ZM"	"AC42"	"O -"	""	"(450) 555-4237"	"(450) 555-6129"	"2 725,53"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BERVERLY APPEL"	""	"800066"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	"2008/10/17"	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"67 883,35"
"ARAMBASICH BETTI"	"800056-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-3889"	"(450) 555-9951"	"368,09"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BETTIE ARAMBASICH"	""	"800056"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"503 977,40"
"ARAMBASICH BETTI"	"800056-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-3889"	"(450) 555-9951"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BETTIE ARAMBASICH"	""	"800056"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"5 353,02"
"ARMAND ARVIS"	"800049-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9327"	"(450) 555-0037"	"4 537,76"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"ARVIS ARMAND"	""	"800049"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"426 980,83"
"ARMAND ARVIS"	"800049-OB"	"AC42"	"A - Comptant"	""	"(450) 555-9327"	"(450) 555-0037"	"9 180,42"	"USD"	""	""	""	"Non"	""	"Non"	""	"ARVIS ARMAND"	""	"800049"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"143 472,44"
"ARMAND ARVIS"	"800049-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-9327"	"(450) 555-0037"	"152,51"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ARVIS ARMAND"	""	"800049"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"133 502,36"
"ARSENAULT ADIRON"	"800245-GT"	"AC42"	"T - Fonds de revenu de retraite"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"2 899,34"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ADIRONDACK ARSENAULT"	""	"800245"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"129 679,18"
"ARSENAULT ADIRON"	"800245-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ADIRONDACK ARSENAULT"	""	"800245"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"6 128,80"
"ARSENAULT ADIRON"	"800245-RE"	"AC42"	"E - Marge couvert"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"1 228,99"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ADIRONDACK ARSENAULT"	""	"800245"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"276 922,13"
"ATHANASOPOULOS B"	"800252-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4265"	"(450) 555-8593"	"1 259,07"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BACHIR ATHANASOPOULOS"	""	"800252"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"1 188 902,91"
"ATHANASOPOULOS B"	"800252-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-4265"	"(450) 555-8593"	"2 766,14"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BACHIR ATHANASOPOULOS"	""	"800252"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"1 270 131,23"
"AUBREY AUDREY"	"800240-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4284"	"(450) 555-3001"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"AUDREY AUBREY"	""	"800240"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"AUBREY AUDREY"	"800240-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4284"	"(450) 555-3001"	"0,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"AUDREY AUBREY"	""	"800240"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BALBUL ARLEEN"	"800270-FS"	"BD77"	"S - Régime d'épargne-retraite"	""	"(450) 555-7755"	"(450) 555-7411"	"(47,58)"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ARLEEN BALBUL"	""	"800270"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/12"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"571 913,62"
"BALBUL ARLEEN"	"800270-NA"	"BD77"	"A - Comptant"	""	"(450) 555-7755"	"(450) 555-7411"	"(5 596,21)"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"ARLEEN BALBUL"	""	"800270"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"269 127,66"
"BARBOUR CATHERIN"	"800232-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	""	""	"(140,49)"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CATHERINA BARBOUR"	""	"800232"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"174 234,15"
"BARBOUR CATHERIN"	"800232-JW"	"BD88"	"W - Fonds de revenus de retraite - Conjoint"	""	""	""	"99,20"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CATHERINA BARBOUR"	""	"800232"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/10/07"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 158,50"
"BARBOUR CATHERIN"	"800232-NA"	"BD88"	"A - Comptant"	""	""	""	"691,28"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"CATHERINA BARBOUR"	""	"800232"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"549 420,52"
"BARKWELL CARLSON"	"800068-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-6025"	"(450) 555-5840"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CARLSON BARKWELL"	""	"800068"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/08/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BARKWELL CARLSON"	"800068-NA"	"BD66"	"A - Comptant"	""	"(450) 555-6025"	"(450) 555-5840"	"390,66"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"CARLSON BARKWELL"	""	"800068"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"250 286,36"
"BARROWS ARTHUR"	"800265-LY"	"BD77"	"Y - Rente viagère"	""	"(450) 555-6934"	"(450) 555-0907"	"1 191,33"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ARTHUR BARROWS"	""	"800265"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"192 950,85"
"BARROWS ARTHUR"	"800265-NA"	"BD77"	"A - Comptant"	""	"(450) 555-6934"	"(450) 555-0907"	"2 077,33"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"ARTHUR BARROWS"	""	"800265"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"166 298,33"
"BARTLEY BLAINE"	"800033-FS"	"AC44"	"S - Régime d'épargne-retraite"	""	"5144584732"	""	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BLAINE BARTLEY"	""	"800033"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2005/12/28"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BARTLEY BLAINE"	"800033-GT"	"AC44"	"T - Fonds de revenu de retraite"	""	"5144584732"	""	"376,89"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BLAINE BARTLEY"	""	"800033"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"491 542,32"
"BARTLEY BLAINE"	"800033-JW"	"AC44"	"W - Fonds de revenus de retraite - Conjoint"	""	"5144584732"	""	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BLAINE BARTLEY"	""	"800033"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BARTLEY BLAINE"	"800033-RE"	"AC44"	"E - Marge couvert"	""	"5144584732"	""	"1 086,40"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BLAINE BARTLEY"	""	"800033"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"29 494,69"
"BASTET CHOY"	"800285-ER"	"AC42"	"V - Régime d'épargne-études"	""	"(450) 555-5251"	"(450) 555-1671"	"6 630,91"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CHOY BASTET"	""	"800285"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"63 040,06"
"BASTET CHOY"	"800285-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-5251"	"(450) 555-1671"	"3 917,74"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CHOY BASTET"	""	"800285"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"94 557,64"
"BASTET CHOY"	"800285-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5251"	"(450) 555-1671"	"182,50"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CHOY BASTET"	""	"800285"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/12"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 189,00"
"BASTET CHOY"	"800285-NA"	"AC42"	"A - Comptant"	""	"(450) 555-5251"	"(450) 555-1671"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"CHOY BASTET"	""	"800285"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2005/05/17"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BASTET CHOY"	"800285-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-5251"	"(450) 555-1671"	"(8 797,69)"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CHOY BASTET"	""	"800285"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"462 206,67"
"BASTET CHOY"	"800285-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-5251"	"(450) 555-1671"	"0,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"CHOY BASTET"	""	"800285"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"
"BEANLAND AUGUSTU"	"800002-NA"	"AC42"	"A - Comptant"	""	"(450) 555-7727"	"(450) 555-1322"	"32 554,52"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"AUGUSTUS BEANLAND"	""	"800002"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"1 662 484,62"
"BEANLAND AUGUSTU"	"800002-OB"	"AC42"	"A - Comptant"	""	"(450) 555-7727"	"(450) 555-1322"	"216 828,76"	"USD"	""	""	""	"Non"	""	"Non"	""	"AUGUSTUS BEANLAND"	""	"800002"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"571 704,73"
"BEANLAND AUGUSTU"	"800002-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-7727"	"(450) 555-1322"	"14 714,81"	"CAD"	""	""	""	"Non"	""	"Non"	""	"AUGUSTUS BEANLAND"	""	"800002"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"258 541,01"
"BEANLAND AUGUSTU"	"800002-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-7727"	"(450) 555-1322"	"10,29"	"USD"	""	"AccountPF"	""	"Non"	""	"Non"	""	"AUGUSTUS BEANLAND"	""	"800002"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/08/21"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"10,29"
"BEAUCH RAYMOND"	"800238-DQ"	"BD88"	"Q - Régime d'épargne-actions"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	""	"AccountPF"	""	"Non"	""	"Non"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2007/06/13"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"
"BEAUCH RAYMOND"	"800238-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2002/11/29"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BEAUCH RAYMOND"	"800238-GT"	"BD88"	"T - Fonds de revenu de retraite"	""	"(450) 555-5907"	"(450) 555-1414"	"7,09"	"CAD"	""	""	""	"Non"	""	"Non"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2013/12/23"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"406 069,18"
"BEAUCH RAYMOND"	"800238-NA"	"BD88"	"A - Comptant"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2007/09/19"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BEAUCH RAYMOND"	"800238-OB"	"BD88"	"A - Comptant"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2007/07/04"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BEAUCH RAYMOND"	"800238-RE"	"BD88"	"E - Marge couvert"	""	"(450) 555-5907"	"(450) 555-1414"	"15 191,32"	"CAD"	""	""	""	"Non"	""	"Non"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"925 364,38"
"BEAUCH RAYMOND"	"800238-SF"	"BD88"	"E - Marge couvert"	""	"(450) 555-5907"	"(450) 555-1414"	"1 743,94"	"USD"	""	"AccountPF"	""	"Non"	""	"Non"	""	"RAYMOND BEAUCHEMIN"	""	"800238"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"219 447,15"
"BELLEROSE ANGELA"	"800202-NA"	"AC43"	"A - Comptant"	""	"(450) 555-3088"	"(450) 555-1218"	"8 192,46"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"ANGELA BELLEROSE"	""	"800202"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/14"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"95 598,26"
"BELLINI CARILYNE"	"800058-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4422"	"(450) 555-6940"	"2 612,16"	"CAD"	"AccPF_1"	"AccPF"	""	"Non"	""	"Non"	""	"CARILYNE BELLINI"	""	"800058"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"141 011,72"
"BELLINI CARILYNE"	"800058-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-4422"	"(450) 555-6940"	"108,75"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CARILYNE BELLINI"	""	"800058"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/08/17"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 324,76"
"BELLINI CARILYNE"	"800058-NA"	"AC42"	"A - Comptant"	""	"(450) 555-4422"	"(450) 555-6940"	"3 805,49"	"CAD"	"AccountPF_1"	"Account PF"	""	"Non"	""	"Oui"	""	"CARILYNE BELLINI"	""	"800058"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/04"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"159 701,01"
"BELLINI CARILYNE"	"800058-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-4422"	"(450) 555-6940"	"6 765,89"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CARILYNE BELLINI"	""	"800058"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"91 948,67"
"BELVAN BELLEROSE"	"800231-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-2263"	"(450) 555-8913"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"FABRICE BELLEROSE BELVAN"	""	"800231"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2006/10/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
