"Nom"	"No compte"	"Code de CP"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Marge"	"Valeur totale"
"ARMAND ARVIS"	"800049-OB"	"AC42"	"A - Comptant"	""	"(450) 555-9327"	"(450) 555-0037"	"9 180,42"	"USD"	"n/d"	"143 472,44"
"ARMAND ARVIS"	"800049-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-9327"	"(450) 555-0037"	"152,51"	"CAD"	"0,00"	"133 502,36"
"ARSENAULT ADIRON"	"800245-GT"	"AC42"	"T - Fonds de revenu de retraite"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"2 899,34"	"CAD"	"n/d"	"129 679,18"
"ARSENAULT ADIRON"	"800245-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"0,00"	"CAD"	"n/d"	"6 128,80"
"ARSENAULT ADIRON"	"800245-RE"	"AC42"	"E - Marge couvert"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"1 228,99"	"CAD"	"0,00"	"276 922,13"
"ATHANASOPOULOS B"	"800252-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4265"	"(450) 555-8593"	"1 259,07"	"CAD"	"n/d"	"1 188 902,91"
"ATHANASOPOULOS B"	"800252-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-4265"	"(450) 555-8593"	"2 766,14"	"CAD"	"0,00"	"1 270 131,23"
"AUBREY AUDREY"	"800240-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4284"	"(450) 555-3001"	"0,00"	"CAD"	"n/d"	"0,00"
"AUBREY AUDREY"	"800240-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4284"	"(450) 555-3001"	"0,00"	"USD"	"n/d"	"0,00"
"BALBUL ARLEEN"	"800270-FS"	"BD77"	"S - Régime d'épargne-retraite"	""	"(450) 555-7755"	"(450) 555-7411"	"(47,58)"	"CAD"	"n/d"	"571 913,62"
"BALBUL ARLEEN"	"800270-NA"	"BD77"	"A - Comptant"	""	"(450) 555-7755"	"(450) 555-7411"	"(5 596,21)"	"CAD"	"n/d"	"269 127,66"
"BARBOUR CATHERIN"	"800232-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	""	""	"(140,49)"	"CAD"	"n/d"	"174 234,15"
"BARBOUR CATHERIN"	"800232-JW"	"BD88"	"W - Fonds de revenus de retraite - Conjoint"	""	""	""	"99,20"	"CAD"	"n/d"	"5 158,50"
"BARBOUR CATHERIN"	"800232-NA"	"BD88"	"A - Comptant"	""	""	""	"691,28"	"CAD"	"n/d"	"549 420,52"
"BARKWELL CARLSON"	"800068-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-6025"	"(450) 555-5840"	"0,00"	"CAD"	"n/d"	"0,00"
"BARKWELL CARLSON"	"800068-NA"	"BD66"	"A - Comptant"	""	"(450) 555-6025"	"(450) 555-5840"	"390,66"	"CAD"	"n/d"	"250 286,36"
"BARROWS ARTHUR"	"800265-LY"	"BD77"	"Y - Rente viagère"	""	"(450) 555-6934"	"(450) 555-0907"	"1 191,33"	"CAD"	"n/d"	"192 950,85"
"BARROWS ARTHUR"	"800265-NA"	"BD77"	"A - Comptant"	""	"(450) 555-6934"	"(450) 555-0907"	"2 077,33"	"CAD"	"n/d"	"166 298,33"
"BARTLEY BLAINE"	"800033-FS"	"AC44"	"S - Régime d'épargne-retraite"	""	"5144584732"	""	"0,00"	"CAD"	"n/d"	"0,00"
"BARTLEY BLAINE"	"800033-GT"	"AC44"	"T - Fonds de revenu de retraite"	""	"5144584732"	""	"376,89"	"CAD"	"n/d"	"491 542,32"
"BARTLEY BLAINE"	"800033-JW"	"AC44"	"W - Fonds de revenus de retraite - Conjoint"	""	"5144584732"	""	"0,00"	"CAD"	"n/d"	"0,00"
"BARTLEY BLAINE"	"800033-RE"	"AC44"	"E - Marge couvert"	""	"5144584732"	""	"1 086,40"	"CAD"	"0,00"	"29 494,69"
"BASTET CHOY"	"800285-ER"	"AC42"	"V - Régime d'épargne-études"	""	"(450) 555-5251"	"(450) 555-1671"	"6 630,91"	"CAD"	"n/d"	"63 040,06"
"BASTET CHOY"	"800285-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-5251"	"(450) 555-1671"	"3 917,74"	"CAD"	"n/d"	"94 557,64"
"BASTET CHOY"	"800285-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5251"	"(450) 555-1671"	"182,50"	"CAD"	"n/d"	"5 189,00"
"BASTET CHOY"	"800285-NA"	"AC42"	"A - Comptant"	""	"(450) 555-5251"	"(450) 555-1671"	"0,00"	"CAD"	"n/d"	"0,00"
"BASTET CHOY"	"800285-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-5251"	"(450) 555-1671"	"(8 797,69)"	"CAD"	"0,00"	"462 206,67"
"BASTET CHOY"	"800285-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-5251"	"(450) 555-1671"	"0,00"	"USD"	"0,00"	"0,00"
"BEANLAND AUGUSTU"	"800002-NA"	"AC42"	"A - Comptant"	""	"(450) 555-7727"	"(450) 555-1322"	"32 554,52"	"CAD"	"n/d"	"1 662 484,62"
"BEANLAND AUGUSTU"	"800002-OB"	"AC42"	"A - Comptant"	""	"(450) 555-7727"	"(450) 555-1322"	"216 828,76"	"USD"	"n/d"	"571 704,73"
"BEANLAND AUGUSTU"	"800002-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-7727"	"(450) 555-1322"	"14 714,81"	"CAD"	"0,00"	"258 541,01"
"BEANLAND AUGUSTU"	"800002-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-7727"	"(450) 555-1322"	"10,29"	"USD"	"0,00"	"10,29"
"BEAUCH RAYMOND"	"800238-DQ"	"BD88"	"Q - Régime d'épargne-actions"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	"0,00"	"0,00"
"BEAUCH RAYMOND"	"800238-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	"n/d"	"0,00"
"BEAUCH RAYMOND"	"800238-GT"	"BD88"	"T - Fonds de revenu de retraite"	""	"(450) 555-5907"	"(450) 555-1414"	"7,09"	"CAD"	"n/d"	"406 069,18"
"BEAUCH RAYMOND"	"800238-NA"	"BD88"	"A - Comptant"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"CAD"	"n/d"	"0,00"
"BEAUCH RAYMOND"	"800238-OB"	"BD88"	"A - Comptant"	""	"(450) 555-5907"	"(450) 555-1414"	"0,00"	"USD"	"n/d"	"0,00"
"BEAUCH RAYMOND"	"800238-RE"	"BD88"	"E - Marge couvert"	""	"(450) 555-5907"	"(450) 555-1414"	"15 191,32"	"CAD"	"0,00"	"925 364,38"
"BEAUCH RAYMOND"	"800238-SF"	"BD88"	"E - Marge couvert"	""	"(450) 555-5907"	"(450) 555-1414"	"1 743,94"	"USD"	"0,00"	"219 447,15"
"BELLEROSE ANGELA"	"800202-NA"	"AC43"	"A - Comptant"	""	"(450) 555-3088"	"(450) 555-1218"	"8 192,46"	"CAD"	"n/d"	"95 598,26"
"BELLINI CARILYNE"	"800058-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4422"	"(450) 555-6940"	"2 612,16"	"CAD"	"n/d"	"141 011,72"
"BELLINI CARILYNE"	"800058-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-4422"	"(450) 555-6940"	"108,75"	"CAD"	"n/d"	"5 324,76"
"BELLINI CARILYNE"	"800058-NA"	"AC42"	"A - Comptant"	""	"(450) 555-4422"	"(450) 555-6940"	"3 805,49"	"CAD"	"n/d"	"159 701,01"
"BELLINI CARILYNE"	"800058-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-4422"	"(450) 555-6940"	"6 765,89"	"CAD"	"0,00"	"91 948,67"
"BELVAN BELLEROSE"	"800231-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-2263"	"(450) 555-8913"	"0,00"	"CAD"	"n/d"	"0,00"
"BELVAN BELLEROSE"	"800231-GT"	"BD66"	"T - Fonds de revenu de retraite"	""	"(450) 555-2263"	"(450) 555-8913"	"(22 181,23)"	"CAD"	"n/d"	"704 087,67"
"BELVAN BELLEROSE"	"800231-NA"	"BD66"	"A - Comptant"	""	"(450) 555-2263"	"(450) 555-8913"	"2 558,62"	"CAD"	"n/d"	"638 135,34"
"BIANCHI ARSENE"	"800219-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-0398"	"(450) 555-7757"	"0,00"	"CAD"	"n/d"	"0,00"
"BIANCHI ARSENE"	"800219-JW"	"BD66"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0398"	"(450) 555-7757"	"437,80"	"CAD"	"n/d"	"6 134,32"
"BIANCHI ARSENE"	"800219-NA"	"BD66"	"A - Comptant"	""	"(450) 555-0398"	"(450) 555-7757"	"39,40"	"CAD"	"n/d"	"39,48"
"BIHOUR ALISSA"	"800223-GT"	"BD88"	"T - Fonds de revenu de retraite"	""	"123 456 7890"	"123 456-7890"	"1 048,90"	"CAD"	"n/d"	"429 184,87"
"BIHOUR ALISSA"	"800223-RE"	"BD88"	"E - Marge couvert"	""	"123 456 7890"	"123 456-7890"	"19 427,63"	"CAD"	"0,00"	"555 311,32"
"BLACK JACOB"	"800291-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	"n/d"	"0,00"
"BLACK JACOB"	"800291-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(416) 668-5656"	"(416) 668-0909"	"25 494,83"	"CAD"	"n/d"	"98 513,59"
"BLACK JACOB"	"800291-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	"n/d"	"0,00"
"BLACK JACOB"	"800291-LV"	"AC42"	"N -"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	"n/d"	"0,00"
"BLACK JACOB"	"800291-RE"	"AC42"	"E - Marge couvert"	""	"(416) 668-5656"	"(416) 668-0909"	"3 432,32"	"CAD"	"0,00"	"5 757,92"
"BLACK JACOB"	"800291-SF"	"AC42"	"E - Marge couvert"	""	"(416) 668-5656"	"(416) 668-0909"	"(2 590,01)"	"USD"	"0,00"	"(2 267,01)"
"BLACK JACOB"	"800291-VL"	"AC42"	"L -"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	"n/d"	"0,00"
"BLACK JACOB"	"800291-ZM"	"AC42"	"O -"	""	"(416) 668-5656"	"(416) 668-0909"	"1 618,22"	"CAD"	"n/d"	"24 491,25"
"BLANCHARD CARMEN"	"800255-DQ"	"AC42"	"Q - Régime d'épargne-actions"	""	"(450) 555-2250"	"(450) 555-9406"	"0,00"	"CAD"	"0,00"	"0,00"
"BLANCHARD CARMEN"	"800255-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-2250"	"(450) 555-9406"	"7 083,57"	"CAD"	"n/d"	"105 124,00"
"BLANCHARD CARMEN"	"800255-KX"	"AC42"	"X - Fonds revenus viager"	""	"(450) 555-2250"	"(450) 555-9406"	"0,00"	"CAD"	"n/d"	"0,00"
"BLANCHARD CARMEN"	"800255-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-2250"	"(450) 555-9406"	"6 599,67"	"CAD"	"0,00"	"333 263,42"
"BLOOMFIELD BLUMA"	"800207-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-7052"	"(450) 555-7611"	"551,23"	"CAD"	"n/d"	"406 346,89"
"BLOOMFIELD BLUMA"	"800207-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-7052"	"(450) 555-7611"	"0,00"	"CAD"	"n/d"	"10 084,47"
"BLOOMFIELD BLUMA"	"800207-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-7052"	"(450) 555-7611"	"12 404,28"	"CAD"	"0,00"	"690 878,39"
"BNC PRIVATE"	"900035-NA"	"AC42"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"BNC PRIVATE"	"900035-OB"	"AC42"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	"0,00"	"0,00"
"BOMBARDIER FRAN"	"800055-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"123456789"	"987654321"	"0,00"	"CAD"	"n/d"	"0,00"
"BOMBARDIER FRAN"	"800055-JJ"	"AC42"	"J -"	""	"123456789"	"987654321"	"0,00"	"CAD"	"n/d"	"0,00"
"BOMBARDIER FRAN"	"800055-NA"	"AC42"	"A - Comptant"	""	"123456789"	"987654321"	"0,00"	"CAD"	"n/d"	"161 676,52"
"BORTOLUS BRITES"	"800075-JJ"	"BD88"	"J -"	""	"1234567890"	"9876543210"	"4 230,94"	"CAD"	"n/d"	"4 230,94"
"BORTOLUS BRITES"	"800075-RE"	"BD88"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"69 818,98"	"CAD"	"0,00"	"1 464 975,72"
"BORTOLUS BRITES"	"800075-SF"	"BD88"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"85,00"	"USD"	"0,00"	"280 999,00"
"BOWMAN BARBEL"	"800034-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9271"	"(450) 555-2623"	"21 517,30"	"CAD"	"n/d"	"131 493,44"
"BOWMAN BARBEL"	"800034-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-9271"	"(450) 555-2623"	"5 108,90"	"CAD"	"n/d"	"9 264,10"
"BOWMAN BARBEL"	"800034-LV"	"AC42"	"N -"	""	"(450) 555-9271"	"(450) 555-2623"	"16,20"	"CAD"	"n/d"	"2 267,81"
"BOWMAN BARBEL"	"800034-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9271"	"(450) 555-2623"	"0,00"	"CAD"	"n/d"	"0,00"
"BOWMAN BARBEL"	"800034-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-9271"	"(450) 555-2623"	"2 033,48"	"CAD"	"0,00"	"77 970,29"
"BRABANTB BERVERL"	"800225-NA"	"BD66"	"A - Comptant"	""	"4506626101"	"5146626101"	"0,00"	"CAD"	"n/d"	"0,00"
"BRABANTB BERVERL"	"800225-OB"	"BD66"	"A - Comptant"	""	"4506626101"	"5146626101"	"0,00"	"USD"	"n/d"	"0,00"
"BRABANTB BERVERL"	"800225-RE"	"BD66"	"E - Marge couvert"	""	"4506626101"	"5146626101"	"(1 345,57)"	"CAD"	"0,00"	"785 942,89"
"BRABANTB BERVERL"	"800225-SF"	"BD66"	"E - Marge couvert"	""	"4506626101"	"5146626101"	"3 497,46"	"USD"	"0,00"	"109 439,18"
"BRACKHAUS BRAD"	"800028-JJ"	"AC44"	"J -"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	"n/d"	"0,00"
"BRACKHAUS BRAD"	"800028-NA"	"AC44"	"A - Comptant"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	"n/d"	"0,00"
"BRACKHAUS BRAD"	"800028-OB"	"AC44"	"A - Comptant"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"USD"	"n/d"	"0,00"
"BRASSERIE STAN"	"800275-NA"	"BD77"	"A - Comptant"	""	"(450) 555-1983"	"(450) 555-4522"	"0,00"	"CAD"	"n/d"	"0,00"
"BREESE ALAIN"	"800282-NA"	"BD66"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"BREESE ALAIN"	"800283-HU"	"BD88"	"R - RER Immobilisé (Lock-in et CRI)"	""	""	""	"35 969,79"	"CAD"	"n/d"	"35 969,79"
"BREESE ALAIN"	"800283-RE"	"BD88"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	"0,00"	"0,00"
"BREESE BÉBÉ"	"900283-NA"	"BD66"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"BREESE BÉBÉ"	"900283-OB"	"BD66"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	"0,00"	"0,00"
"BRODEUR MARTIN"	"800017-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9114"	"(450) 555-8987"	"4 953,12"	"CAD"	"n/d"	"184 401,01"
"BRODEUR MARTIN"	"800017-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9114"	"(450) 555-8987"	"3 220,57"	"CAD"	"n/d"	"8 742,57"
"BROGAN CLARENCE"	"800081-HU"	"BD66"	"R - RER Immobilisé (Lock-in et CRI)"	""	"450 6626101B"	"1234567890"	"0,00"	"CAD"	"n/d"	"0,00"
"BROGAN CLARENCE"	"800081-LY"	"BD66"	"Y - Rente viagère"	""	"450 6626101B"	"1234567890"	"1 958,90"	"CAD"	"n/d"	"150 642,31"
"BROGAN CLARENCE"	"800081-RE"	"BD66"	"E - Marge couvert"	""	"450 6626101B"	"1234567890"	"799,58"	"CAD"	"0,00"	"281 497,96"
"BUCHER BRASSEURS"	"800057-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-7203"	"(450) 555-8729"	"4 837,12"	"CAD"	"n/d"	"312 917,80"
"BUCHER BRASSEURS"	"800057-NA"	"AC42"	"A - Comptant"	""	"(450) 555-7203"	"(450) 555-8729"	"0,00"	"CAD"	"n/d"	"0,00"
"BUCHER BRASSEURS"	"800057-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-7203"	"(450) 555-8729"	"848,50"	"CAD"	"0,00"	"113 118,37"
"BULLETIN ACURA"	"800259-FS"	"AC43"	"S - Régime d'épargne-retraite"	"111577689300"	"(450) 555-8616"	"(450) 555-9526"	"0,00"	"CAD"	"n/d"	"0,00"
"BULLETIN ACURA"	"800259-GT"	"AC43"	"T - Fonds de revenu de retraite"	""	"(450) 555-8616"	"(450) 555-9526"	"218,03"	"CAD"	"n/d"	"534 864,72"
"BULLETIN ACURA"	"800259-JW"	"AC43"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8616"	"(450) 555-9526"	"5 000,00"	"CAD"	"n/d"	"5 000,00"
"BULLETIN ACURA"	"800259-NA"	"AC43"	"A - Comptant"	""	"(450) 555-8616"	"(450) 555-9526"	"1 607,97"	"CAD"	"n/d"	"227 801,12"
"BURDETT ALAIN"	"800281-NA"	"BD66"	"A - Comptant"	""	"(450) 555-9313"	"(450) 555-9586"	"924,94"	"CAD"	"n/d"	"476 992,31"
"Business1"	"900051-NA"	"AC44"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"Business1"	"900051-OB"	"AC44"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	"0,00"	"0,00"
"CALCUL SCORE"	"800303-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	"n/d"	"0,00"
"CALCULS ESCOMPTE"	"300005-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"49 951,27"	"CAD"	"n/d"	"149 707,76"
"CALCULS GAINS/PE"	"300010-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"268 852,65"	"CAD"	"n/d"	"517 131,15"
"CALCULS GAINS/PE"	"300010-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"276 630,41"	"USD"	"n/d"	"486 306,24"
"CALCULS USD"	"300006-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"17 804,38"	"USD"	"n/d"	"196 480,13"
"CALDER CARILYNE"	"800274-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"1234567891"	"9876543211"	"1 436,85"	"CAD"	"n/d"	"60 482,00"
"CALDER CARILYNE"	"800274-RE"	"BD88"	"E - Marge couvert"	""	"1234567891"	"9876543211"	"0,00"	"CAD"	"0,00"	"0,00"
"CANESSO BEATRICE"	"800258-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-1070"	"(450) 555-0523"	"0,00"	"CAD"	"n/d"	"0,00"
"CANESSO BEATRICE"	"800258-RE"	"AC42"	"E - Marge couvert"	"112577689308"	"(450) 555-1070"	"(450) 555-0523"	"0,00"	"CAD"	"0,00"	"0,00"
"CAPEK ADRIANA"	"800059-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-3924"	"(450) 555-6516"	"5 393,06"	"CAD"	"n/d"	"1 028 680,13"
"CAPEK ADRIANA"	"800059-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-3924"	"(450) 555-6516"	"0,00"	"CAD"	"n/d"	"5 205,15"
"CAPEK ADRIANA"	"800059-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-3924"	"(450) 555-6516"	"(20,01)"	"CAD"	"0,00"	"687 757,79"
"CAPEK ADRIANA"	"800059-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-3924"	"(450) 555-6516"	"0,00"	"USD"	"0,00"	"79 244,77"
"CARON MIREILLE"	"900999-NA"	"BD88"	"A - Comptant"	""	"4187792306F"	""	"0,00"	"CAD"	"n/d"	"0,00"
"CASTLE ARDEN"	"800284-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-9890"	"(450) 555-4077"	"505,40"	"CAD"	"n/d"	"40 172,61"
"CASTLE ARDEN"	"800284-HU"	"BD66"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"CAD"	"n/d"	"0,00"
"CASTLE ARDEN"	"800284-NA"	"BD66"	"A - Comptant"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"CAD"	"n/d"	"0,00"
"CASTLE ARDEN"	"800284-OB"	"BD66"	"A - Comptant"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"USD"	"n/d"	"0,00"
"CATANI BRAY"	"800072-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-2128"	"(450) 555-7689"	"(1 208,31)"	"CAD"	"0,00"	"482 318,11"
"CATANI BRAY"	"800072-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-2128"	"(450) 555-7689"	"82 550,22"	"USD"	"0,00"	"161 496,22"
"CELLARD AMIR"	"800200-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9360"	"(450) 555-5958"	"6 043,91"	"CAD"	"n/d"	"117 917,16"
"CELLARD AMIR"	"800200-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-9360"	"(450) 555-5958"	"18,14"	"CAD"	"0,00"	"19,51"
"CHADILLON ANNEKE"	"800007-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4475"	"(789) 555-9712"	"320,91"	"CAD"	"n/d"	"521 426,42"
"CHADILLON ANNEKE"	"800007-NA"	"AC42"	"A - Comptant"	""	"(450) 555-4475"	"(789) 555-9712"	"(811,54)"	"CAD"	"n/d"	"1 232 286,40"
"CHADILLON ANNEKE"	"800008-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(514) 666-4476"	"(900) 555-9713"	"0,00"	"CAD"	"n/d"	"0,00"
"CHADILLON ANNEKE"	"800008-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(514) 666-4476"	"(900) 555-9713"	"106,19"	"CAD"	"n/d"	"5 570,67"
"CHADILLON ANNEKE"	"800008-NA"	"AC42"	"A - Comptant"	""	"(514) 666-4476"	"(900) 555-9713"	"5 943,20"	"CAD"	"n/d"	"383 986,92"
"CHADILLON ANNEKE"	"800008-OB"	"AC42"	"A - Comptant"	""	"(514) 666-4476"	"(900) 555-9713"	"233 938,96"	"USD"	"n/d"	"790 296,77"
